"var","categoria","La capacitación para atender a la gente","La infraestructura y equipamiento de la fuerza","La formación técnica y profesional","La cantidad y distribución de los efectivos","La velocidad de respuesta ante las denuncias","Otros","No sabe"
"P08","Siempre",0.306,0.207,0.177,0.19,0.131,0.206,0.138
"P08","Casi siempre",0.317,0.392,0.435,0.269,0.359,0.447,0.207
"P08","Casi nunca",0.218,0.26,0.298,0.334,0.373,0.266,0.379
"P08","Nunca, pero esta es una excepción",0.159,0.141,0.09,0.207,0.137,0.081,0.276
"P09","Muy buena",0.238,0.086,0.163,0.103,0.096,0.082,0.091
"P09","Buena",0.307,0.306,0.219,0.311,0.247,0.297,0.319
"P09","Ni buena ni mala",0.323,0.358,0.379,0.341,0.432,0.288,0.49
"P09","Mala",0.108,0.177,0.154,0.199,0.193,0.153,0.016
"P09","Muy mala",0.016,0.061,0.071,0.046,0.032,0.145,0.032
"P09","No sabe",0.008,0.012,0.014,0,0,0.035,0.052
"P10","Muy buena",0.323,0.177,0.171,0.217,0.171,0.06,0.231
"P10","Buena",0.342,0.294,0.338,0.281,0.262,0.413,0.189
"P10","Ni buena ni mala",0.241,0.348,0.289,0.185,0.428,0.23,0.46
"P10","Mala",0.071,0.136,0.09,0.237,0.079,0.106,0.09
"P10","Muy mala",0.015,0.042,0.089,0.044,0.019,0.141,0.02
"P10","No sabe",0.008,0.003,0.023,0.036,0.041,0.05,0.01
"P13","Si",0.55,0.742,0.649,0.599,0.689,0.677,0.366
"P13","No",0.229,0.116,0.181,0.159,0.058,0.1,0.027
"P13","No sabe",0.221,0.142,0.17,0.242,0.253,0.223,0.607
"P14","Si",0.702,0.771,0.685,0.515,0.762,0.66,0.608
"P14","No",0.115,0.123,0.188,0.155,0.038,0.1,0
"P14","No sabe",0.183,0.106,0.127,0.33,0.2,0.24,0.392
"P15","Si",0.64,0.81,0.752,0.811,0.783,0.746,0.608
"P15","No",0.202,0.113,0.138,0.125,0.202,0.11,0.032
"P15","No sabe",0.158,0.077,0.11,0.064,0.015,0.144,0.36
"P16","Si",0.578,0.48,0.636,0.498,0.602,0.634,0.253
"P16","No",0.278,0.38,0.298,0.451,0.286,0.309,0.204
"P16","No sabe",0.144,0.14,0.066,0.051,0.112,0.057,0.543
"P17","El gobierno nacional",0.345,0.134,0.209,0.106,0.102,0.203,0.143
"P17","El gobierno provincial anterior del MPN",0.518,0.609,0.47,0.534,0.437,0.357,0.303
"P17","El actual gobierno provincial de Rolo Figueroa",0.036,0.111,0.08,0.143,0.128,0.149,0.133
"P17","Todos igual",0.064,0.108,0.205,0.148,0.163,0.236,0.185
"P17","No sabe",0.037,0.038,0.036,0.069,0.17,0.055,0.236
"P18","Es un logro muy importante del Gobierno provincial",0.443,0.156,0.215,0.194,0.228,0.224,0.204
"P18","Está bien, pero es insuficiente para resolver la situación de emergencia",0.421,0.628,0.553,0.43,0.489,0.377,0.451
"P18","No alcanza para nada y son negocios del gobierno Provincial",0.101,0.112,0.153,0.301,0.108,0.234,0.1
"P18","No alcanza para nada porque el gobierno gestionó mal la compra",0.01,0.03,0.027,0.056,0.038,0.024,0
"P18","No sabe",0.025,0.074,0.052,0.019,0.137,0.141,0.245
"P19","Si",0.632,0.539,0.542,0.491,0.543,0.534,0.51
"P19","No",0.194,0.268,0.176,0.283,0.185,0.195,0.068
"P19","No sabe",0.174,0.193,0.282,0.226,0.272,0.271,0.422
