"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.132,0.127,0.136,0.166,0.115,0.116,0.156,0.157,0.12,0.125,0.199,0.102,0.072,0.033,0.185,0.075,0.151,0.113,6
"Buena",0.254,0.241,0.268,0.19,0.259,0.305,0.272,0.345,0.217,0.22,0.317,0.217,0.258,0.158,0.289,0.286,0.253,0.255,6
"Ni buena ni mala",0.366,0.364,0.368,0.321,0.369,0.403,0.375,0.295,0.377,0.419,0.302,0.476,0.444,0.337,0.319,0.401,0.333,0.397,6
"Mala",0.157,0.177,0.137,0.187,0.16,0.122,0.153,0.137,0.179,0.146,0.129,0.159,0.102,0.278,0.151,0.152,0.171,0.145,6
"Muy mala",0.071,0.072,0.07,0.104,0.08,0.04,0.028,0.039,0.098,0.063,0.048,0.037,0.036,0.194,0.049,0.055,0.078,0.065,6
"No sabe",0.02,0.019,0.021,0.032,0.017,0.014,0.016,0.027,0.009,0.027,0.005,0.009,0.088,0,0.007,0.031,0.014,0.025,6
"Positiva",0.386,0.368,0.404,0.356,0.374,0.421,0.428,0.502,0.337,0.345,0.516,0.319,0.33,0.191,0.474,0.361,0.404,0.368,4
"Neutra",0.366,0.364,0.368,0.321,0.369,0.403,0.375,0.295,0.377,0.419,0.302,0.476,0.444,0.337,0.319,0.401,0.333,0.397,4
"Negativa",0.228,0.249,0.207,0.291,0.24,0.162,0.181,0.176,0.277,0.209,0.177,0.196,0.138,0.472,0.2,0.207,0.249,0.21,4
"No sabe",0.02,0.019,0.021,0.032,0.017,0.014,0.016,0.027,0.009,0.027,0.005,0.009,0.088,0,0.007,0.031,0.014,0.025,4
