"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.156,0.155,0.158,0.137,0.146,0.168,0.208,0.246,0.132,0.11,0.161,0.069,0.407,0.028,0.245,0.058,0.146,0.166,6
"Buena",0.165,0.167,0.163,0.169,0.142,0.198,0.181,0.158,0.157,0.183,0.16,0.183,0.332,0.082,0.273,0.128,0.134,0.194,6
"Ni buena ni mala",0.302,0.29,0.315,0.295,0.299,0.326,0.276,0.33,0.303,0.275,0.34,0.324,0.149,0.31,0.289,0.295,0.305,0.299,6
"Mala",0.226,0.239,0.211,0.277,0.243,0.179,0.167,0.174,0.258,0.229,0.204,0.291,0.084,0.344,0.12,0.264,0.235,0.218,6
"Muy mala",0.115,0.133,0.095,0.111,0.134,0.083,0.111,0.065,0.104,0.173,0.101,0.12,0.011,0.236,0.046,0.211,0.124,0.107,6
"No sabe",0.036,0.016,0.058,0.011,0.036,0.046,0.057,0.027,0.046,0.03,0.034,0.013,0.017,0,0.027,0.044,0.056,0.016,6
"Positiva",0.321,0.322,0.321,0.306,0.288,0.366,0.389,0.404,0.289,0.293,0.321,0.252,0.739,0.11,0.518,0.186,0.28,0.36,4
"Neutra",0.302,0.29,0.315,0.295,0.299,0.326,0.276,0.33,0.303,0.275,0.34,0.324,0.149,0.31,0.289,0.295,0.305,0.299,4
"Negativa",0.341,0.372,0.306,0.388,0.377,0.262,0.278,0.239,0.362,0.402,0.305,0.411,0.095,0.58,0.166,0.475,0.359,0.325,4
"No sabe",0.036,0.016,0.058,0.011,0.036,0.046,0.057,0.027,0.046,0.03,0.034,0.013,0.017,0,0.027,0.044,0.056,0.016,4
