"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.367,0.381,0.351,0.389,0.376,0.332,0.365,0.376,0.397,0.321,0.327,0.37,0.261,0.644,0.133,0.381,0.348,0.385,6
"Buena",0.146,0.149,0.143,0.15,0.125,0.16,0.187,0.132,0.148,0.155,0.155,0.165,0.075,0.147,0.089,0.259,0.153,0.139,6
"Ni buena ni mala",0.121,0.104,0.141,0.124,0.131,0.1,0.124,0.157,0.13,0.079,0.166,0.092,0.042,0.053,0.1,0.159,0.113,0.13,6
"Mala",0.169,0.173,0.164,0.227,0.135,0.202,0.127,0.199,0.177,0.132,0.185,0.179,0.186,0.132,0.28,0.113,0.194,0.145,6
"Muy mala",0.188,0.178,0.199,0.11,0.217,0.203,0.185,0.117,0.143,0.308,0.154,0.178,0.436,0.024,0.391,0.061,0.188,0.187,6
"No sabe",0.009,0.015,0.002,0,0.016,0.003,0.012,0.019,0.005,0.005,0.013,0.016,0,0,0.007,0.027,0.004,0.014,6
"Positiva",0.513,0.53,0.494,0.539,0.501,0.492,0.552,0.508,0.545,0.476,0.482,0.535,0.336,0.791,0.222,0.64,0.501,0.524,4
"Neutra",0.121,0.104,0.141,0.124,0.131,0.1,0.124,0.157,0.13,0.079,0.166,0.092,0.042,0.053,0.1,0.159,0.113,0.13,4
"Negativa",0.357,0.351,0.363,0.337,0.352,0.405,0.312,0.316,0.32,0.44,0.339,0.357,0.622,0.156,0.671,0.174,0.382,0.332,4
"No sabe",0.009,0.015,0.002,0,0.016,0.003,0.012,0.019,0.005,0.005,0.013,0.016,0,0,0.007,0.027,0.004,0.014,4
