"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.119,0.132,0.106,0.17,0.094,0.107,0.149,0.154,0.11,0.099,0.147,0.162,0.091,0.035,0.201,0.089,0.14,0.099,6
"Buena",0.192,0.187,0.197,0.164,0.22,0.169,0.182,0.218,0.182,0.182,0.198,0.322,0.251,0.112,0.304,0.116,0.219,0.167,6
"Ni buena ni mala",0.35,0.319,0.383,0.356,0.338,0.395,0.293,0.38,0.322,0.358,0.35,0.291,0.406,0.31,0.28,0.342,0.304,0.393,6
"Mala",0.218,0.22,0.215,0.198,0.212,0.231,0.244,0.168,0.247,0.224,0.196,0.107,0.19,0.334,0.147,0.3,0.209,0.225,6
"Muy mala",0.078,0.084,0.072,0.085,0.092,0.059,0.054,0.011,0.103,0.107,0.075,0.07,0.012,0.08,0.03,0.118,0.108,0.05,6
"No sabe",0.043,0.058,0.027,0.027,0.044,0.039,0.078,0.069,0.036,0.03,0.034,0.048,0.05,0.129,0.038,0.035,0.02,0.066,6
"Positiva",0.311,0.319,0.303,0.334,0.314,0.276,0.331,0.372,0.292,0.281,0.345,0.484,0.342,0.147,0.505,0.205,0.359,0.266,4
"Neutra",0.35,0.319,0.383,0.356,0.338,0.395,0.293,0.38,0.322,0.358,0.35,0.291,0.406,0.31,0.28,0.342,0.304,0.393,4
"Negativa",0.296,0.304,0.287,0.283,0.304,0.29,0.298,0.179,0.35,0.331,0.271,0.177,0.202,0.414,0.177,0.418,0.317,0.275,4
"No sabe",0.043,0.058,0.027,0.027,0.044,0.039,0.078,0.069,0.036,0.03,0.034,0.048,0.05,0.129,0.038,0.035,0.02,0.066,4
