"var","categoria","Si","No","No sabe"
"P08","Siempre",0.325,0.208,0.125
"P08","Casi siempre",0.382,0.343,0.448
"P08","Casi nunca",0.159,0.317,0.307
"P08","Nunca, pero esta es una excepción",0.134,0.132,0.12
"P09","Muy buena",0.323,0.095,0.12
"P09","Buena",0.286,0.21,0.312
"P09","Ni buena ni mala",0.241,0.337,0.44
"P09","Mala",0.131,0.239,0.056
"P09","Muy mala",0.019,0.106,0.034
"P09","No sabe",0,0.013,0.038
"P10","Muy buena",0.339,0.146,0.118
"P10","Buena",0.36,0.27,0.346
"P10","Ni buena ni mala",0.237,0.272,0.408
"P10","Mala",0.041,0.219,0.063
"P10","Muy mala",0.023,0.068,0.015
"P10","No sabe",0,0.025,0.05
"P11","Muy buena",0.45,0.046,0.031
"P11","Buena",0.348,0.136,0.308
"P11","Ni buena ni mala",0.17,0.161,0.461
"P11","Mala",0.03,0.358,0.128
"P11","Muy mala",0,0.288,0.008
"P11","No sabe",0.002,0.011,0.064
"P12","Muy buena",0.427,0.017,0.073
"P12","Buena",0.283,0.114,0.236
"P12","Ni buena ni mala",0.211,0.212,0.519
"P12","Mala",0.068,0.366,0.082
"P12","Muy mala",0,0.276,0.038
"P12","No sabe",0.011,0.015,0.052
"P13","Si",0.552,0.778,0.481
"P13","No",0.331,0.113,0.123
"P13","No sabe",0.117,0.109,0.396
"P14","Si",0.51,0.857,0.586
"P14","No",0.323,0.09,0.163
"P14","No sabe",0.167,0.053,0.251
"P15","Si",0.555,0.852,0.586
"P15","No",0.395,0.089,0.142
"P15","No sabe",0.05,0.059,0.272
"P16","Si",0.609,0.576,0.46
"P16","No",0.323,0.372,0.36
"P16","No sabe",0.068,0.052,0.18
"P17","El gobierno nacional",0.377,0.139,0.172
"P17","El gobierno provincial anterior del MPN",0.357,0.608,0.391
"P17","El actual gobierno provincial de Rolo Figueroa",0.13,0.108,0.083
"P17","Todos igual",0.052,0.126,0.22
"P17","No sabe",0.084,0.019,0.134
"P18","Es un logro muy importante del Gobierno provincial",0.391,0.193,0.14
"P18","Está bien, pero es insuficiente para resolver la situación de emergencia",0.504,0.461,0.532
"P18","No alcanza para nada y son negocios del gobierno Provincial",0.059,0.246,0.125
"P18","No alcanza para nada porque el gobierno gestionó mal la compra",0.002,0.054,0.062
"P18","No sabe",0.044,0.046,0.141
"P19","Si",0.691,0.432,0.515
"P19","No",0.214,0.331,0.132
"P19","No sabe",0.095,0.237,0.353
"P20","Si",0.796,0.285,0.304
"P20","No",0.095,0.442,0.144
"P20","No sabe",0.109,0.273,0.552
"P21","Si",0.892,0.144,0.355
"P21","No",0.078,0.78,0.183
"P21","No sabe",0.03,0.076,0.462
"P23","Buena",0.325,0.228,0.149
"P23","Regular",0.421,0.424,0.567
"P23","Mala",0.244,0.327,0.214
"P23","No sabe",0.01,0.021,0.07
"P24","Buena",0.319,0.185,0.157
"P24","Regular",0.478,0.485,0.55
"P24","Mala",0.178,0.31,0.193
"P24","No sabe",0.025,0.02,0.1
"P25","Buena",0.277,0.195,0.146
"P25","Regular",0.336,0.438,0.43
"P25","Mala",0.25,0.247,0.153
"P25","No sabe",0.137,0.12,0.271
"P26","La capacitación para atender a la gente",0.367,0.17,0.186
"P26","La infraestructura y equipamiento de la fuerza",0.16,0.205,0.163
"P26","La formación técnica y profesional",0.309,0.308,0.347
"P26","La cantidad y distribución de los efectivos",0.085,0.143,0.063
"P26","La velocidad de respuesta ante las denuncias",0.028,0.076,0.13
"P26","Otros",0.029,0.077,0.051
"P26","No sabe",0.022,0.021,0.06
"P27","Alto",0.297,0.192,0.124
"P27","Regular",0.41,0.447,0.432
"P27","Bajo",0.253,0.341,0.391
"P27","No sabe",0.04,0.02,0.053
"P28","El gobierno de Javier Milei",0.453,0.188,0.273
"P28","El gobierno de Alberto Fernández",0.394,0.712,0.467
"P28","Ambos",0.153,0.092,0.217
"P28","No sabe",0,0.008,0.043
"P29","Dividirla en partes y transformarlas en varios decretos de necesidad y urgencia",0.193,0.201,0.179
"P29","Dividirlas en diferentes leyes que se puedan ir votando paulatinamente",0.292,0.329,0.369
"P29","Realizar un plebiscito sobre la necesidad del tratamiento de la ley ómnibus",0.123,0.186,0.111
"P29","Retirarla y no presentar nada",0.332,0.164,0.223
"P29","Volverla a presentar igual",0.014,0.083,0.049
"P29","No sabe",0.046,0.037,0.069
"P30","Javier Milei",0.322,0.614,0.389
"P30","Los gobernadores",0.579,0.303,0.509
"P30","No sabe",0.099,0.083,0.102
"P31","Muy buena",0.452,0.151,0.151
"P31","Buena",0.339,0.293,0.278
"P31","Ni buena ni mala",0.187,0.283,0.482
"P31","Mala",0.011,0.182,0.058
"P31","Muy mala",0.009,0.078,0.022
"P31","No sabe",0.002,0.013,0.009
"P32","Muy buena",0.484,0.019,0.021
"P32","Buena",0.369,0.113,0.276
"P32","Ni buena ni mala",0.124,0.222,0.592
"P32","Mala",0.023,0.385,0.051
"P32","Muy mala",0,0.249,0.017
"P32","No sabe",0,0.012,0.043
"P33","Muy buena",0.264,0.014,0.013
"P33","Buena",0.267,0.082,0.145
"P33","Ni buena ni mala",0.192,0.169,0.455
"P33","Mala",0.184,0.409,0.277
"P33","Muy mala",0.075,0.313,0.049
"P33","No sabe",0.018,0.013,0.061
"P34","Muy buena",0.163,0.034,0.019
"P34","Buena",0.235,0.099,0.069
"P34","Ni buena ni mala",0.441,0.37,0.621
"P34","Mala",0.084,0.275,0.179
"P34","Muy mala",0.053,0.187,0.019
"P34","No sabe",0.024,0.035,0.093
"P35","Muy buena",0.236,0.086,0.137
"P35","Buena",0.214,0.091,0.11
"P35","Ni buena ni mala",0.306,0.25,0.363
