"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.135,0.154,0.117,0.162,0.111,0.139,0.169,0.215,0.111,0.114,0.17,0.248,0.063,0,0.207,0.139,0.135,0,6
"Buena",0.171,0.177,0.165,0.085,0.161,0.245,0.209,0.144,0.167,0.191,0.187,0.237,0.144,0.055,0.237,0.146,0.171,0,6
"Ni buena ni mala",0.295,0.282,0.307,0.298,0.313,0.287,0.239,0.333,0.284,0.283,0.27,0.249,0.315,0.327,0.262,0.265,0.295,0,6
"Mala",0.217,0.204,0.231,0.249,0.211,0.175,0.27,0.155,0.259,0.209,0.21,0.157,0.288,0.299,0.19,0.246,0.217,0,6
"Muy mala",0.148,0.153,0.142,0.164,0.18,0.121,0.056,0.118,0.146,0.168,0.147,0.088,0.092,0.273,0.084,0.171,0.148,0,6
"No sabe",0.034,0.03,0.038,0.042,0.024,0.033,0.057,0.035,0.033,0.035,0.016,0.021,0.098,0.046,0.02,0.033,0.034,0,6
"Positiva",0.306,0.331,0.282,0.247,0.272,0.384,0.378,0.359,0.278,0.305,0.357,0.485,0.207,0.055,0.444,0.285,0.306,0,4
"Neutra",0.295,0.282,0.307,0.298,0.313,0.287,0.239,0.333,0.284,0.283,0.27,0.249,0.315,0.327,0.262,0.265,0.295,0,4
"Negativa",0.365,0.357,0.373,0.413,0.391,0.296,0.326,0.273,0.405,0.377,0.357,0.245,0.38,0.572,0.274,0.417,0.365,0,4
"No sabe",0.034,0.03,0.038,0.042,0.024,0.033,0.057,0.035,0.033,0.035,0.016,0.021,0.098,0.046,0.02,0.033,0.034,0,4
