"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.097,0.09,0.104,0.13,0.093,0.08,0.09,0.154,0.062,0.092,0.094,0.04,0.061,0.251,0.069,0.074,0.09,0.103,6
"Buena",0.184,0.18,0.188,0.25,0.155,0.173,0.199,0.164,0.201,0.18,0.158,0.278,0.135,0.23,0.121,0.218,0.196,0.172,6
"Ni buena ni mala",0.409,0.425,0.392,0.395,0.411,0.438,0.364,0.384,0.451,0.376,0.48,0.445,0.302,0.31,0.334,0.496,0.413,0.405,6
"Mala",0.17,0.182,0.157,0.141,0.171,0.193,0.169,0.186,0.14,0.194,0.16,0.094,0.26,0.187,0.274,0.105,0.175,0.165,6
"Muy mala",0.101,0.092,0.112,0.055,0.129,0.087,0.111,0.051,0.102,0.144,0.065,0.12,0.17,0.022,0.169,0.079,0.086,0.117,6
"No sabe",0.039,0.031,0.047,0.029,0.041,0.029,0.067,0.061,0.044,0.014,0.043,0.023,0.072,0,0.033,0.028,0.04,0.038,6
"Positiva",0.281,0.27,0.292,0.38,0.248,0.253,0.289,0.318,0.263,0.272,0.252,0.318,0.196,0.481,0.19,0.292,0.286,0.275,4
"Neutra",0.409,0.425,0.392,0.395,0.411,0.438,0.364,0.384,0.451,0.376,0.48,0.445,0.302,0.31,0.334,0.496,0.413,0.405,4
"Negativa",0.271,0.274,0.269,0.196,0.3,0.28,0.28,0.237,0.242,0.338,0.225,0.214,0.43,0.209,0.443,0.184,0.261,0.282,4
"No sabe",0.039,0.031,0.047,0.029,0.041,0.029,0.067,0.061,0.044,0.014,0.043,0.023,0.072,0,0.033,0.028,0.04,0.038,4
