"var","categoria","Seguro lo votaria","Quizás lo votaría","Nunca lo votaría"
"P04","Tengo trabajo estable",0.421,0.439,0.466
"P04","Realizo changas o trabajos de vez en cuando",0.184,0.147,0.172
"P04","No tengo trabajo",0.207,0.295,0.151
"P04","Soy jubilado o pensionado",0.188,0.119,0.211
"P05","Derecha",0.324,0.358,0.229
"P05","Centro derecha",0.201,0.245,0.298
"P05","Centro izquierda",0.095,0.093,0.119
"P05","Izquierda",0.026,0.061,0.037
"P05","No sabe",0.354,0.243,0.317
"P06","Alta",0.335,0.26,0.236
"P06","Media",0.294,0.32,0.316
"P06","Baja",0.371,0.42,0.448
"P07","Estoy de acuerdo",0.28,0.26,0.271
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.557,0.56,0.483
"P07","No estoy de acuerdo",0.125,0.147,0.165
"P07","No sabe",0.038,0.033,0.081
"P12","A Horacio Rodriguez Larreta",0.375,0.16,0.238
"P12","A Mauricio Macri",0.25,0.412,0.298
"P12","A Patricia Bullrich",0.203,0.28,0.283
"P12","A Facundo Manes",0.128,0.086,0.073
"P12","A Gerardo Morales",0.044,0.062,0.108
"P14","Lo votaría",0.484,0.493,0.499
"P14","Puede que lo vote",0.273,0.331,0.225
"P14","Nunca lo votaría",0.228,0.166,0.238
"P14","No sabe",0.015,0.01,0.038
"P15","Lo votaría",0.112,0.063,0.026
"P15","Puede que lo vote",0.064,0.11,0.042
"P15","Nunca lo votaría",0.784,0.814,0.902
"P15","No sabe",0.04,0.013,0.03
"P16","Lo votaría",0.015,0.049,0.023
"P16","Puede que lo vote",0.06,0.05,0.035
"P16","Nunca lo votaría",0.875,0.866,0.929
"P16","No sabe",0.05,0.035,0.013
"P17","La votaría",0.106,0.024,0.031
"P17","Puede que la vote",0.059,0.08,0.023
"P17","Nunca la votaría",0.833,0.88,0.941
"P17","No sabe",0.002,0.016,0.005
"P18","Lo votaría",0.548,0.346,0.35
"P18","Puede que lo vote",0.251,0.41,0.386
"P18","Nunca lo votaría",0.171,0.167,0.249
"P18","No sabe",0.03,0.077,0.015
"P19","Lo votaría",0.259,0.199,0.21
"P19","Puede que lo vote",0.294,0.448,0.301
"P19","Nunca lo votaría",0.368,0.325,0.428
"P19","No sabe",0.079,0.028,0.061
"P20","La votaría",0.514,0.552,0.528
"P20","Puede que la vote",0.225,0.23,0.22
"P20","Nunca la votaría",0.203,0.18,0.241
"P20","No sabe",0.058,0.038,0.011
"P21","Lo votaría",0.2,0.022,0.027
"P21","Puede que lo vote",0.342,0.547,0.082
"P21","Nunca lo votaría",0.355,0.33,0.874
"P21","No sabe",0.103,0.101,0.017
"P22","La votaría",0.438,0.302,0.272
"P22","Puede que la vote",0.294,0.385,0.366
"P22","Nunca la votaría",0.222,0.228,0.306
"P22","No sabe",0.046,0.085,0.056
"P23","Lo votaría",0.095,0.019,0.012
"P23","Puede que lo vote",0.062,0.044,0.029
"P23","Nunca lo votaría",0.813,0.896,0.937
"P23","No sabe",0.03,0.041,0.022
"P24","Lo votaría",0.127,0.073,0.083
"P24","Puede que lo vote",0.3,0.269,0.287
"P24","Nunca lo votaría",0.403,0.521,0.536
"P24","No sabe",0.17,0.137,0.094
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.441,0.59,0.535
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.296,0.25,0.26
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0,0.015,0.008
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.034,0.004,0.034
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.12,0.051,0.015
"P25","Otros candidatos",0.109,0.09,0.148
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.02,0.074,0.052
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.601,0.692,0.698
"P29","Javier Milei – José Luis Espert por los liberales",0.204,0.071,0.039
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.06,0.061,0.015
"P29","Otro candidato",0.115,0.102,0.196
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.593,0.636,0.578
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.035,0.018,0.044
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.221,0.113,0.039
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.014,0.004,0.011
"P31","Otro candidato",0.137,0.229,0.328
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.095,0.052,0.065
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.692,0.737,0.748
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.147,0.064,0.02
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.002,0,0.007
"P33","Otro candidato",0.064,0.147,0.16
"P35","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.095,0.023,0.068
"P35","Mauricio Macri presidente – María Eugenia Vidal vice",0.747,0.827,0.825
"P35","No sabe",0.158,0.15,0.107
"P36","Alberto Fernández presidente – Daniel Scioli vice",0.055,0.025,0.045
"P36","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.812,0.707,0.769
"P36","No sabe",0.133,0.268,0.186
"P37","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.042,0.026,0.052
"P37","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.836,0.818,0.813
"P37","No sabe",0.122,0.156,0.135
"P38","Muy buena",0.04,0.002,0.018
"P38","Buena",0.111,0.079,0.099
"P38","Ni buena ni mala",0.084,0.05,0.03
"P38","Mala",0.048,0.053,0.054
"P38","Muy mala",0.717,0.816,0.799
"P38","No sabe",0,0,0
"P39","Muy buena",0.015,0.003,0.008
"P39","Buena",0.006,0,0.028
"P39","Ni buena ni mala",0.118,0.073,0.029
"P39","Mala",0.104,0.052,0.051
"P39","Muy mala",0.757,0.872,0.884
"P39","No sabe",0,0,0
"P40","Muy buena",0.008,0.003,0.015
"P40","Buena",0.006,0.008,0.025
"P40","Ni buena ni mala",0.066,0.069,0.019
"P40","Mala",0.072,0.015,0.017
"P40","Muy mala",0.848,0.891,0.922
"P40","No sabe",0,0.014,0.002
"P41","Muy buena",0.262,0.304,0.358
"P41","Buena",0.339,0.277,0.256
"P41","Ni buena ni mala",0.181,0.223,0.159
"P41","Mala",0.125,0.035,0.095
"P41","Muy mala",0.09,0.137,0.132
"P41","No sabe",0.003,0.024,0
"P42","Muy buena",0.392,0.326,0.33
"P42","Buena",0.358,0.41,0.38
"P42","Ni buena ni mala",0.191,0.188,0.181
"P42","Mala",0.024,0.021,0.056
"P42","Muy mala",0.035,0.031,0.044
"P42","No sabe",0,0.024,0.009
"P43","Muy buena",0.016,0.025,0.031
"P43","Buena",0.028,0.047,0.049
"P43","Ni buena ni mala",0.112,0.077,0.046
"P43","Mala",0.257,0.094,0.144
"P43","Muy mala",0.573,0.733,0.719
"P43","No sabe",0.014,0.024,0.011
"P44","Muy buena",0.145,0.011,0.007
"P44","Buena",0.219,0.209,0.07
"P44","Ni buena ni mala",0.303,0.503,0.252
"P44","Mala",0.152,0.088,0.246
"P44","Muy mala",0.177,0.162,0.42
"P44","No sabe",0.004,0.027,0.005
"P45","Muy buena",0.484,0.343,0.344
"P45","Buena",0.258,0.411,0.322
"P45","Ni buena ni mala",0.203,0.19,0.151
"P45","Mala",0.031,0.016,0.087
"P45","Muy mala",0.024,0.037,0.091
"P45","No sabe",0,0.003,0.005
"P46","Muy buena",0.049,0.036,0.033
"P46","Buena",0.07,0.031,0.063
"P46","Ni buena ni mala",0.157,0.133,0.043
"P46","Mala",0.133,0.127,0.126
"P46","Muy mala",0.591,0.673,0.721
"P46","No sabe",0,0,0.014
"P47","Muy buena",0.044,0.03,0.09
"P47","Buena",0.199,0.227,0.199
"P47","Ni buena ni mala",0.486,0.373,0.358
"P47","Mala",0.083,0.073,0.136
"P47","Muy mala",0.153,0.241,0.186
"P47","No sabe",0.035,0.056,0.031
