"var","categoria","Los robos","El narcotráfico","La ausencia de patrulleros y personal policial","Otro","Ninguno"
"P06","Al candidato del Frente de Todos",0.307,0.199,0.239,0.359,0.628
"P06","Al candidato de Juntos por el Cambio",0.348,0.444,0.18,0.203,0.082
"P06","Al candidato de la Izquierda",0.049,0.095,0.054,0.039,0.016
"P06","A otro candidato",0.158,0.172,0.204,0.193,0.068
"P06","No sabe",0.138,0.09,0.323,0.206,0.206
"P07","A Gustavo Menéndez",0.641,0.955,0.098,0.933,0.244
"P07","A Karina Menéndez",0.327,0.018,0.077,0.022,0.044
"P07","A Florencia Lizaraso",0.002,0,0.806,0,0.011
"P07","No sabe",0.03,0.027,0.019,0.045,0.701
"P08","A Gustavo Menéndez por el Frente de Todos",0.232,0.147,0.103,0.3,0.211
"P08","A Raúl Othacehé por el Frente de Todos",0.125,0.29,0.253,0.229,0.138
"P08","A David Zencich por Juntos por el Cambio",0.235,0.239,0.167,0.129,0.077
"P08","A Pablo Cocuzza por Juntos por el Cambio",0.091,0.123,0.047,0.074,0
"P08","Al candidato de Javier Milei por La Libertad Avanza",0.184,0.106,0.16,0.031,0.459
"P08","Al candidato del Frente de Izquierda",0.046,0.058,0.047,0.147,0.016
"P08","En blanco",0.027,0.006,0.028,0.034,0
"P08","No sabe",0.06,0.031,0.195,0.056,0.099
"P10","A Gustavo Menéndez por el Frente de Todos",0.282,0.149,0.177,0.299,0.226
"P10","A Raúl Othacehé por un partido vecinal",0.09,0.106,0.231,0.206,0.122
"P10","A David Zencich por Juntos por el Cambio",0.254,0.261,0.117,0.167,0.05
"P10","A Pablo Cocuzza por Juntos por el Cambio",0.08,0.221,0.044,0.07,0.028
"P10","Al candidato de Javier Milei por La Libertad Avanza",0.167,0.114,0.162,0.031,0.403
"P10","Al candidato del Frente de Izquierda",0.03,0.099,0.047,0.147,0.016
"P10","En blanco",0.027,0.007,0.049,0.034,0
"P10","No sabe",0.07,0.043,0.173,0.046,0.155
"P12","Lo votaría",0.241,0.162,0.133,0.309,0.362
"P12","Puede que lo vote",0.106,0.143,0.168,0.214,0.095
"P12","Nunca lo votaría",0.558,0.56,0.589,0.326,0.543
"P12","No sabe",0.095,0.135,0.11,0.151,0
"P13","Lo votaría",0.199,0.116,0.177,0.249,0.276
"P13","Puede que lo vote",0.128,0.185,0.098,0.22,0.111
"P13","Nunca lo votaría",0.599,0.572,0.559,0.518,0.568
"P13","No sabe",0.074,0.127,0.166,0.013,0.045
"P14","Lo votaría",0.256,0.211,0.105,0.154,0.166
"P14","Puede que lo vote",0.201,0.294,0.122,0.112,0.075
"P14","Nunca lo votaría",0.43,0.325,0.44,0.549,0.658
"P14","No sabe",0.113,0.17,0.333,0.185,0.101
"P15","Lo votaría",0.156,0.232,0.087,0.066,0.044
"P15","Puede que lo vote",0.252,0.233,0.129,0.149,0.092
"P15","Nunca lo votaría",0.439,0.387,0.436,0.621,0.64
"P15","No sabe",0.153,0.148,0.348,0.164,0.224
"P16","Lo votaría",0.105,0.146,0.048,0.129,0.367
"P16","Puede que lo vote",0.106,0.175,0.218,0.287,0.294
"P16","Nunca lo votaría",0.649,0.59,0.613,0.544,0.339
"P16","No sabe",0.14,0.089,0.121,0.04,0
"P17","Lo votaría",0.064,0.059,0.068,0.039,0.248
"P17","Puede que lo vote",0.133,0.1,0.107,0.203,0.294
"P17","Nunca lo votaría",0.575,0.666,0.559,0.534,0.38
"P17","No sabe",0.228,0.175,0.266,0.224,0.078
"P18","Lo votaría",0.019,0.005,0.022,0.132,0.028
"P18","Puede que lo vote",0.163,0.072,0.036,0.016,0.092
"P18","Nunca lo votaría",0.539,0.683,0.565,0.635,0.259
"P18","No sabe",0.279,0.24,0.377,0.217,0.621
"P19","Lo votaría",0.064,0.064,0.044,0.182,0.028
"P19","Puede que lo vote",0.152,0.107,0.101,0.087,0.112
"P19","Nunca lo votaría",0.518,0.51,0.559,0.43,0.334
"P19","No sabe",0.266,0.319,0.296,0.301,0.526
"P20","La seguridad",0.113,0.015,0.009,0.063,0.028
"P20","El tránsito",0.036,0.026,0.004,0.024,0
"P20","El arreglo de las calles",0.176,0.144,0.111,0.285,0.115
"P20","El estado de las escuelas y la educación",0.249,0.276,0.219,0.142,0.504
"P20","El sistema de salud",0.024,0.079,0.032,0.055,0
"P20","El deporte y la cultura",0.023,0.029,0,0.031,0.024
"P20","La obra pública",0.062,0.117,0.127,0.152,0.024
"P20","La luminaria",0.037,0.032,0.03,0,0.032
"P20","No sabe",0.28,0.282,0.468,0.248,0.273
"P21","La seguridad",0.488,0.405,0.344,0.194,0.114
"P21","El tránsito",0.018,0.014,0.037,0.086,0
"P21","El arreglo de las calles",0.239,0.14,0.218,0.094,0.054
"P21","El estado de las escuelas y la educación",0.087,0.031,0.047,0.012,0.391
"P21","El sistema de salud",0.076,0.207,0.107,0.196,0.044
"P21","El deporte y la cultura",0.021,0.011,0.034,0.011,0
"P21","La obra pública",0.001,0.035,0.017,0.131,0
"P21","La luminaria",0.012,0.046,0.02,0.031,0.032
"P21","No sabe",0.058,0.111,0.176,0.245,0.365
"P22","Agua corriente y cloacas",0.593,0.413,0.552,0.366,0.069
"P22","Energía eléctrica",0.071,0.129,0.086,0.018,0
"P22","Red de gas natural",0.131,0.083,0.109,0.088,0
"P22","Recolección de residuos",0.122,0.267,0.114,0.491,0.054
"P22","Ninguno",0.083,0.108,0.139,0.037,0.877
"P24","Muy buena",0.184,0.03,0.007,0.139,0.165
"P24","Buena",0.095,0.317,0.094,0.053,0.087
"P24","Ni buena ni mala",0.307,0.207,0.394,0.19,0.165
"P24","Mala",0.166,0.294,0.288,0.419,0.065
"P24","Muy mala",0.185,0.152,0.159,0.102,0.371
"P24","No sabe",0.063,0,0.058,0.097,0.147
"P25","Muy buena",0.102,0.037,0.022,0.122,0.123
"P25","Buena",0.113,0.202,0.044,0.094,0.167
"P25","Ni buena ni mala",0.263,0.269,0.38,0.307,0.265
"P25","Mala",0.231,0.189,0.149,0.227,0.086
"P25","Muy mala",0.225,0.269,0.356,0.237,0.285
"P25","No sabe",0.066,0.034,0.049,0.013,0.074
"P26","Muy buena",0.094,0.073,0.034,0.193,0.143
"P26","Buena",0.098,0.084,0.081,0.091,0.121
"P26","Ni buena ni mala",0.22,0.232,0.231,0.249,0.178
"P26","Mala",0.213,0.254,0.196,0.207,0.166
"P26","Muy mala",0.353,0.352,0.416,0.236,0.318
"P26","No sabe",0.022,0.005,0.042,0.024,0.074
"P27","Muy buena",0.103,0.08,0.064,0.059,0.075
"P27","Buena",0.118,0.132,0.065,0.065,0
"P27","Ni buena ni mala",0.286,0.27,0.358,0.459,0.153
"P27","Mala",0.117,0.248,0.111,0.063,0.22
"P27","Muy mala",0.173,0.205,0.112,0.289,0.295
"P27","No sabe",0.203,0.065,0.29,0.065,0.257
"P28","Muy buena",0.081,0.036,0.009,0.095,0.134
"P28","Buena",0.15,0.058,0.075,0.029,0.027
"P28","Ni buena ni mala",0.23,0.302,0.284,0.437,0.407
"P28","Mala",0.184,0.213,0.301,0.09,0.153
"P28","Muy mala",0.256,0.367,0.259,0.299,0.002
"P28","No sabe",0.099,0.024,0.072,0.05,0.277
"P29","Muy buena",0.042,0.074,0.033,0.04,0.019
"P29","Buena",0.109,0.121,0.12,0.053,0.065
"P29","Ni buena ni mala",0.419,0.283,0.499,0.46,0.138
"P29","Mala",0.138,0.159,0.113,0.061,0.195
"P29","Muy mala",0.147,0.18,0.123,0.35,0.334
"P29","No sabe",0.145,0.183,0.112,0.036,0.249
"P30","Muy buena",0.072,0.063,0.118,0.064,0.02
"P30","Buena",0.079,0.078,0.085,0.081,0.167
"P30","Ni buena ni mala",0.299,0.201,0.304,0.287,0.046
"P30","Mala",0.217,0.331,0.167,0.154,0.235
"P30","Muy mala",0.251,0.295,0.274,0.4,0.353
"P30","No sabe",0.082,0.032,0.052,0.014,0.179
"P31","Muy buena",0.067,0.051,0.054,0.084,0.02
"P31","Buena",0.082,0.016,0.064,0.083,0.151
"P31","Ni buena ni mala",0.355,0.342,0.481,0.282,0.065
"P31","Mala",0.088,0.169,0.157,0.13,0.218
"P31","Muy mala",0.161,0.185,0.104,0.322,0.29
"P31","No sabe",0.247,0.237,0.14,0.099,0.256
"P32","Muy buena",0.012,0,0.019,0,0.022
"P32","Buena",0.056,0,0.011,0.03,0.155
"P32","Ni buena ni mala",0.392,0.413,0.533,0.261,0.358
"P32","Mala",0.07,0.058,0.154,0.41,0.161
"P32","Muy mala",0.087,0.174,0.094,0.037,0
"P32","No sabe",0.383,0.355,0.189,0.262,0.304
"P33","Muy buena",0.006,0,0,0,0.064
"P33","Buena",0.036,0,0.004,0,0.101
"P33","Ni buena ni mala",0.437,0.387,0.592,0.332,0.347
"P33","Mala",0.084,0.122,0.091,0.297,0.13
"P33","Muy mala",0.106,0.145,0.1,0.036,0
"P33","No sabe",0.331,0.346,0.213,0.335,0.358
"P34","Muy buena",0.056,0.067,0.057,0.023,0.04
"P34","Buena",0.085,0.035,0.103,0.066,0.438
"P34","Ni buena ni mala",0.225,0.213,0.254,0.233,0.051
"P34","Mala",0.208,0.141,0.114,0.269,0.163
"P34","Muy mala",0.349,0.429,0.419,0.343,0.062
"P34","No sabe",0.077,0.115,0.053,0.066,0.246
"P35","Muy buena",0.054,0.096,0.148,0.11,0
"P35","Buena",0.172,0.193,0.107,0.13,0.45
"P35","Ni buena ni mala",0.144,0.274,0.121,0.273,0.071
"P35","Mala",0.225,0.13,0.09,0.02,0.173
"P35","Muy mala",0.391,0.255,0.498,0.454,0.191
"P35","No sabe",0.014,0.052,0.036,0.013,0.115
"P36","Muy buena",0.191,0.204,0.221,0.363,0.445
"P36","Buena",0.073,0.066,0.04,0.054,0.135
"P36","Ni buena ni mala",0.08,0.115,0.069,0.011,0.071
"P36","Mala",0.179,0.067,0.107,0.112,0.265
"P36","Muy mala",0.467,0.548,0.55,0.435,0.021
"P36","No sabe",0.01,0,0.013,0.025,0.063
"P37","Muy buena",0.103,0.048,0.162,0.222,0.314
"P37","Buena",0.131,0.201,0.065,0.036,0.065
"P37","Ni buena ni mala",0.215,0.344,0.382,0.197,0.147
"P37","Mala",0.169,0.158,0.13,0.077,0.252
"P37","Muy mala",0.367,0.249,0.236,0.443,0.159
"P37","No sabe",0.015,0,0.025,0.025,0.063
"P38","Muy buena",0.062,0.048,0.097,0.04,0.078
"P38","Buena",0.175,0.285,0.109,0.114,0.159
"P38","Ni buena ni mala",0.223,0.18,0.142,0.179,0.461
"P38","Mala",0.17,0.138,0.226,0.081,0.167
"P38","Muy mala",0.362,0.349,0.393,0.573,0.072
"P38","No sabe",0.008,0,0.033,0.013,0.063
"P39","Muy buena",0.162,0.206,0.267,0.093,0.128
"P39","Buena",0.155,0.188,0.055,0.123,0.194
"P39","Ni buena ni mala",0.161,0.152,0.08,0.151,0.315
"P39","Mala",0.148,0.087,0.258,0.02,0.151
"P39","Muy mala",0.361,0.301,0.307,0.6,0.131
"P39","No sabe",0.013,0.066,0.033,0.013,0.081
"P40","Muy buena",0.124,0.213,0.196,0.078,0.09
"P40","Buena",0.116,0.084,0.083,0.144,0.134
"P40","Ni buena ni mala",0.229,0.275,0.165,0.121,0.072
"P40","Mala",0.187,0.135,0.252,0.081,0.155
"P40","Muy mala",0.313,0.272,0.278,0.518,0.485
"P40","No sabe",0.031,0.021,0.026,0.058,0.064
