"var","categoria","Agua corriente y cloacas","Energía eléctrica","Red de gas natural","Recolección de residuos","Ninguno"
"P06","Al candidato del Frente de Todos",0.296,0.145,0.356,0.227,0.445
"P06","Al candidato de Juntos por el Cambio",0.314,0.276,0.312,0.428,0.178
"P06","Al candidato de la Izquierda",0.052,0.042,0.029,0.088,0.048
"P06","A otro candidato",0.148,0.339,0.247,0.174,0.055
"P06","No sabe",0.19,0.198,0.056,0.083,0.274
"P07","A Gustavo Menéndez",0.58,0.386,0.702,0.87,0.427
"P07","A Karina Menéndez",0.269,0,0.288,0.037,0.049
"P07","A Florencia Lizaraso",0.119,0.575,0,0.019,0.016
"P07","No sabe",0.032,0.039,0.01,0.074,0.508
"P08","A Gustavo Menéndez por el Frente de Todos",0.2,0.104,0.313,0.174,0.255
"P08","A Raúl Othacehé por el Frente de Todos",0.158,0.101,0.144,0.201,0.299
"P08","A David Zencich por Juntos por el Cambio",0.194,0.266,0.189,0.3,0.145
"P08","A Pablo Cocuzza por Juntos por el Cambio",0.102,0.066,0.102,0.069,0.019
"P08","Al candidato de Javier Milei por La Libertad Avanza",0.175,0.347,0.152,0.047,0.174
"P08","Al candidato del Frente de Izquierda",0.041,0.026,0.04,0.149,0.013
"P08","En blanco",0.023,0.028,0.008,0.043,0.012
"P08","No sabe",0.107,0.062,0.052,0.017,0.083
"P10","A Gustavo Menéndez por el Frente de Todos",0.274,0.163,0.3,0.149,0.283
"P10","A Raúl Othacehé por un partido vecinal",0.111,0.101,0.099,0.089,0.265
"P10","A David Zencich por Juntos por el Cambio",0.188,0.213,0.294,0.334,0.113
"P10","A Pablo Cocuzza por Juntos por el Cambio",0.122,0.05,0.018,0.123,0.018
"P10","Al candidato de Javier Milei por La Libertad Avanza",0.136,0.337,0.191,0.112,0.148
"P10","Al candidato del Frente de Izquierda",0.037,0.042,0.04,0.101,0.054
"P10","En blanco",0.018,0.049,0.008,0.075,0.012
"P10","No sabe",0.114,0.045,0.05,0.017,0.107
"P12","Lo votaría",0.222,0.104,0.292,0.167,0.333
"P12","Puede que lo vote",0.148,0.053,0.075,0.185,0.065
"P12","Nunca lo votaría",0.519,0.738,0.588,0.567,0.461
"P12","No sabe",0.111,0.105,0.045,0.081,0.141
"P13","Lo votaría",0.218,0.148,0.151,0.174,0.203
"P13","Puede que lo vote",0.151,0.117,0.069,0.214,0.049
"P13","Nunca lo votaría",0.521,0.599,0.732,0.59,0.628
"P13","No sabe",0.11,0.136,0.048,0.022,0.12
"P14","Lo votaría",0.219,0.202,0.223,0.26,0.107
"P14","Puede que lo vote",0.192,0.247,0.083,0.318,0.071
"P14","Nunca lo votaría",0.396,0.479,0.589,0.396,0.498
"P14","No sabe",0.193,0.072,0.105,0.026,0.324
"P15","Lo votaría",0.169,0.088,0.107,0.188,0.055
"P15","Puede que lo vote",0.225,0.259,0.21,0.277,0.06
"P15","Nunca lo votaría",0.382,0.574,0.591,0.505,0.498
"P15","No sabe",0.224,0.079,0.092,0.03,0.387
"P16","Lo votaría",0.121,0.152,0.107,0.045,0.21
"P16","Puede que lo vote",0.119,0.076,0.151,0.297,0.158
"P16","Nunca lo votaría",0.605,0.671,0.705,0.636,0.484
"P16","No sabe",0.155,0.101,0.037,0.022,0.148
"P17","Lo votaría",0.075,0.131,0.023,0.043,0.142
"P17","Puede que lo vote",0.124,0.09,0.197,0.15,0.113
"P17","Nunca lo votaría",0.524,0.6,0.701,0.664,0.498
"P17","No sabe",0.277,0.179,0.079,0.143,0.247
"P18","Lo votaría",0.025,0.034,0.006,0.055,0.07
"P18","Puede que lo vote",0.152,0.091,0.101,0.058,0.047
"P18","Nunca lo votaría",0.482,0.626,0.767,0.734,0.404
"P18","No sabe",0.341,0.249,0.126,0.153,0.479
"P19","Lo votaría",0.071,0.126,0.011,0.097,0.096
"P19","Puede que lo vote",0.155,0.083,0.143,0.121,0.051
"P19","Nunca lo votaría",0.464,0.597,0.632,0.571,0.439
"P19","No sabe",0.31,0.194,0.214,0.211,0.414
"P20","La seguridad",0.113,0.082,0.018,0.026,0.085
"P20","El tránsito",0.009,0.007,0.113,0.053,0
"P20","El arreglo de las calles",0.15,0.119,0.333,0.113,0.159
"P20","El estado de las escuelas y la educación",0.26,0.176,0.239,0.219,0.274
"P20","El sistema de salud",0.035,0,0.013,0.072,0.023
"P20","El deporte y la cultura",0.023,0.036,0.008,0,0.038
"P20","La obra pública",0.076,0.046,0.039,0.189,0.054
"P20","La luminaria",0.049,0.012,0.013,0.011,0.017
"P20","No sabe",0.285,0.522,0.224,0.317,0.35
"P21","La seguridad",0.523,0.406,0.207,0.353,0.298
"P21","El tránsito",0.028,0.038,0.015,0.032,0
"P21","El arreglo de las calles",0.17,0.217,0.58,0.126,0.104
"P21","El estado de las escuelas y la educación",0.08,0.058,0.057,0.034,0.138
"P21","El sistema de salud",0.089,0.067,0.06,0.21,0.112
"P21","El deporte y la cultura",0.016,0.092,0.007,0.017,0.012
"P21","La obra pública",0.007,0.026,0.021,0.055,0.006
