clave	texto
encuesta_especial	Posicionamiento Político - Neuquén, Febrero 2024 BIS
bajada_encuesta_especial	Encuesta Sincrónica
bajada_encuesta_especial_fecha	27/02/2024
ficha_Población objeto de estudio	Población mayor de 16 años.
ficha_Unidad de muestreo	Télefonos celulares de empresas Personal, Movistar y Claro, complementados con un 13% de teléfonos fijos para optimizar cobertura geográfica.
ficha_Ámbito	Provincia de Neuquén
ficha_Estratificación	Región 1: Municipio de Neuquén. Región 2: Interior de la Provincia.
ficha_Técnicas de recolección de información	ES - Encuesta Sincrónica (IVR) a teléfonos móviles y fijos
ficha_Diseño muestral	Aleatorio simple
ficha_Tamaño muestral	La captura de datos abarca 1016 casos efectivos en Provincia de Neuquén, de los cuáles 625 pertenecen a la Ciudad de Neuquén.
ficha_Calibración de la muestra	En función de datos paramétricos censales de sexo, edad y nivel educativo.
ficha_Margen de error	+/- 3.07% Provincia de Neuquén; +/- 3.8492% Ciudad de Neuquén
