"var","categoria","Sergio Massa por el Frente de Todos","Mauricio Macri por Juntos por el Cambio","No sabe"
"P04","Tengo trabajo estable",0.527,0.436,0.429
"P04","Realizo changas o trabajos de vez en cuando",0.154,0.194,0.22
"P04","No tengo trabajo",0.128,0.148,0.192
"P04","Soy jubilado o pensionado",0.191,0.222,0.159
"P05","1",0.208,0.389,0.296
"P05","2",0.051,0.099,0.078
"P05","3",0.02,0.084,0.045
"P05","4",0.039,0.108,0.078
"P05","5",0.162,0.187,0.225
"P05","6",0.066,0.029,0.055
"P05","7",0.142,0.03,0.061
"P05","8",0.098,0.015,0.038
"P05","9",0.214,0.059,0.124
"P06","1",0.4,0.128,0.274
"P06","2",0.08,0.039,0.041
"P06","3",0.095,0.028,0.049
"P06","4",0.047,0.031,0.041
"P06","5",0.174,0.177,0.208
"P06","6",0.042,0.062,0.055
"P06","7",0.041,0.101,0.053
"P06","8",0.021,0.107,0.059
"P06","9",0.1,0.327,0.22
"P07","1",0.569,0.201,0.333
"P07","2",0.054,0.035,0.034
"P07","3",0.044,0.029,0.024
"P07","4",0.013,0.02,0.023
"P07","5",0.066,0.125,0.088
"P07","6",0.018,0.038,0.026
"P07","7",0.013,0.052,0.041
"P07","8",0.018,0.059,0.057
"P07","9",0.205,0.441,0.374
"P09","Del Frente de Todos y el peronismo",0.796,0.046,0.216
"P09","De Juntos por el cambio",0.052,0.661,0.167
"P09","De los Liberales libertarios",0.026,0.231,0.287
"P09","De la Izquierda",0.03,0.005,0.063
"P09","No sabe",0.096,0.057,0.267
"P10","A Alberto Fernández",0.149,0.101,0.221
"P10","A Sergio Massa",0.294,0.071,0.054
"P10","A algún candidato del peronismo",0.103,0.669,0.153
"P10","A algún candidato del kirchnerismo",0.454,0.159,0.572
"P11","A Alberto Fernández",0.1,0.14,0.162
"P11","A Sergio Massa",0.174,0.075,0.036
"P11","A algún candidato del peronismo",0.081,0.683,0.121
"P11","A Cristina Fernández de Kirchner",0.645,0.102,0.681
"P12","A Horacio Rodriguez Larreta",0.431,0.181,0.342
"P12","A Mauricio Macri",0.015,0.372,0.117
"P12","A Patricia Bullrich",0.089,0.38,0.384
"P12","A Facundo Manes",0.385,0.038,0.081
"P12","A Gerardo Morales",0.08,0.029,0.076
"P13","Seguro lo votaria",0.086,0.187,0.193
"P13","Quizás lo votaría",0.158,0.381,0.339
"P13","Nunca lo votaría",0.756,0.432,0.468
"P14","Lo votaría",0.023,0.477,0.044
"P14","Puede que lo vote",0.033,0.356,0.155
"P14","Nunca lo votaría",0.869,0.125,0.657
"P14","No sabe",0.075,0.042,0.144
"P15","Lo votaría",0.29,0.052,0.041
"P15","Puede que lo vote",0.439,0.085,0.1
"P15","Nunca lo votaría",0.207,0.843,0.705
"P15","No sabe",0.064,0.02,0.154
"P16","Lo votaría",0.284,0.017,0.091
"P16","Puede que lo vote",0.418,0.022,0.128
"P16","Nunca lo votaría",0.228,0.953,0.682
"P16","No sabe",0.07,0.008,0.099
"P17","La votaría",0.711,0.014,0.221
"P17","Puede que la vote",0.126,0.008,0.068
"P17","Nunca la votaría",0.127,0.971,0.642
"P17","No sabe",0.036,0.007,0.069
"P18","Lo votaría",0.108,0.213,0.075
"P18","Puede que lo vote",0.075,0.403,0.235
"P18","Nunca lo votaría",0.77,0.328,0.577
"P18","No sabe",0.047,0.056,0.113
"P19","Lo votaría",0.051,0.086,0.08
"P19","Puede que lo vote",0.139,0.326,0.219
"P19","Nunca lo votaría",0.665,0.498,0.519
"P19","No sabe",0.145,0.09,0.182
"P20","La votaría",0.024,0.536,0.148
"P20","Puede que la vote",0.048,0.316,0.183
"P20","Nunca la votaría",0.882,0.121,0.564
"P20","No sabe",0.046,0.027,0.105
"P21","Lo votaría",0.042,0.31,0.279
"P21","Puede que lo vote",0.055,0.299,0.167
"P21","Nunca lo votaría",0.849,0.344,0.461
"P21","No sabe",0.054,0.047,0.093
"P22","La votaría",0.029,0.251,0.079
"P22","Puede que la vote",0.043,0.366,0.166
"P22","Nunca la votaría",0.869,0.302,0.583
"P22","No sabe",0.059,0.081,0.172
"P23","Lo votaría",0.343,0.035,0.081
"P23","Puede que lo vote",0.263,0.086,0.122
"P23","Nunca lo votaría",0.304,0.808,0.605
"P23","No sabe",0.09,0.071,0.192
"P24","Lo votaría",0.057,0.073,0.048
"P24","Puede que lo vote",0.109,0.268,0.112
"P24","Nunca lo votaría",0.709,0.553,0.619
"P24","No sabe",0.125,0.106,0.221
"P25","Mauricio Macri por Juntos por el Cambio",0.008,0.297,0.019
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.02,0.119,0.103
"P25","Patricia Bullrich por Juntos por el Cambio",0.01,0.33,0.104
"P25","Facundo Manes por Juntos por el Cambio",0.03,0.031,0.061
"P25","Alberto Fernández por el Frente de Todos",0.103,0.006,0.058
"P25","Cristina Fernández de Kirchner por el Frente de Todos",0.703,0.006,0.174
"P25","Javier Milei por los liberales libertarios",0.018,0.17,0.265
"P25","Nicolás del Caño por la izquierda",0.014,0.004,0.02
"P25","Otros candidatos",0.048,0.014,0.064
"P25","Aún no lo tengo decidido",0.046,0.023,0.132
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.024,0.193,0.1
"P26","Patricia Bullrich por Juntos por el Cambio",0.013,0.462,0.131
"P26","Facundo Manes por Juntos por el Cambio",0.026,0.107,0.083
"P26","Wado de Pedro por el Frente de Todos",0.356,0.003,0.119
"P26","Sergio Massa por el Frente de Todos",0.424,0.007,0.041
"P26","Javier Milei por los liberales libertarios",0.04,0.167,0.236
"P26","Nicolás del Caño por la izquierda",0.016,0.024,0.054
"P26","Otros candidatos",0.041,0.011,0.062
"P26","Aún no lo tengo decidido",0.06,0.026,0.174
"P27","Cristina Fernández de Kirchner por el Frente de Todos",0.8,0.015,0.227
"P27","Mauricio Macri por Juntos por el Cambio",0.016,0.618,0.026
"P27","Javier Milei por los liberales libertarios",0.037,0.251,0.326
"P27","Nicolás del Caño por la izquierda",0.021,0.003,0.044
"P27","Otro candidato",0.072,0.07,0.164
"P27","Aún no lo tengo decidido",0.054,0.043,0.213
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.107,0.457,0.11
"P29","Wado de Pedro por el Frente de Todos",0.619,0.066,0.121
"P29","Javier Milei por los liberales libertarios",0.046,0.315,0.331
"P29","Nicolás del Caño por la izquierda",0.026,0.004,0.037
"P29","Otro candidato",0.108,0.093,0.162
"P29","Aún no lo tengo decidido",0.094,0.065,0.239
"P31","Sergio Massa por el Frente de Todos",0.741,0.031,0.052
"P31","Patricia Bullrich por Juntos por el Cambio",0.05,0.643,0.15
"P31","Javier Milei por los liberales libertarios",0.025,0.233,0.298
"P31","Nicolás del Caño por la izquierda",0.031,0.005,0.055
"P31","Otro candidato",0.096,0.048,0.2
"P31","Aún no lo tengo decidido",0.057,0.04,0.245
"P33","Sergio Massa por el Frente de Todos",0.678,0.057,0.04
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.109,0.488,0.115
"P33","Javier Milei por los liberales libertarios",0.026,0.305,0.339
"P33","Nicolás del Caño por la izquierda",0.033,0.006,0.056
"P33","Otro candidato",0.097,0.084,0.219
"P33","Aún no lo tengo decidido",0.057,0.06,0.231
"P35","Cristina Fernández de Kirchner por el Frente de Todos",0.789,0.048,0.202
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.073,0.493,0.13
"P35","Javier Milei por los liberales libertarios",0.024,0.331,0.317
"P35","Nicolás del Caño por la izquierda",0.025,0.001,0.037
"P35","Otro candidato",0.058,0.086,0.14
"P35","Aún no lo tengo decidido",0.031,0.041,0.174
"P36","Sergio Massa por el Frente de Todos",0.776,0.026,0.037
"P36","Mauricio Macri por Juntos por el Cambio",0.028,0.611,0.042
"P36","Javier Milei por los liberales libertarios",0.019,0.274,0.331
"P36","Nicolás del Caño por la izquierda",0.029,0.002,0.063
"P36","Otro candidato",0.095,0.056,0.277
"P36","Aún no lo tengo decidido",0.053,0.031,0.25
"P37","Wado de Pedro por el Frente de Todos",0.712,0.012,0.116
"P37","Mauricio Macri por Juntos por el Cambio",0.031,0.638,0.031
"P37","Javier Milei por los liberales libertarios",0.03,0.259,0.342
"P37","Nicolás del Caño por la izquierda",0.029,0.004,0.049
"P37","Otro candidato",0.118,0.053,0.215
"P37","Aún no lo tengo decidido",0.08,0.034,0.247
"P38","Wado de Pedro por el Frente de Todos",0.712,0.018,0.129
"P38","Patricia Bullrich por Juntos por el Cambio",0.037,0.671,0.14
"P38","Javier Milei por los liberales libertarios",0.028,0.22,0.303
"P38","Nicolás del Caño por la izquierda",0.031,0.003,0.04
"P38","Otro candidato",0.12,0.05,0.157
"P38","Aún no lo tengo decidido",0.072,0.038,0.231
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.799,0.013,0.218
"P39","Patricia Bullrich por Juntos por el Cambio",0.032,0.681,0.154
"P39","Javier Milei por los liberales libertarios",0.029,0.225,0.294
"P39","Nicolás del Caño por la izquierda",0.023,0.005,0.043
"P39","Otro candidato",0.084,0.041,0.117
"P39","Aún no lo tengo decidido",0.033,0.035,0.174
"P40","Cristina Fernández de Kirchner por el Frente de Todos",0.81,0.088,0.251
"P40","Mauricio Macri por Juntos por el Cambio",0.106,0.837,0.104
"P40","No sabe",0.084,0.075,0.645
"P41","Wado de Pedro por el Frente de Todos",0.779,0.022,0.157
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.066,0.775,0.178
"P41","No sabe",0.155,0.203,0.665
"P42","Sergio Massa por el Frente de Todos",0.895,0.013,0.061
"P42","Patricia Bullrich por Juntos por el Cambio",0.033,0.911,0.193
"P42","No sabe",0.072,0.076,0.746
"P44","Sergio Massa por el Frente de Todos",0.905,0.017,0.051
"P44","Javier Milei por los liberales libertarios",0.043,0.684,0.306
"P44","No sabe",0.052,0.299,0.643
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.481,0.261,0.118
"P45","Javier Milei por los liberales libertarios",0.063,0.517,0.339
"P45","No sabe",0.456,0.222,0.543
