"var","categoria","Patricia Bullrich por Juntos por el Cambio","Wado de Pedro por el Frente de Todos","No sabe"
"P04","Tengo trabajo estable",0.454,0.544,0.401
"P04","Realizo changas o trabajos de vez en cuando",0.177,0.15,0.261
"P04","No tengo trabajo",0.146,0.132,0.157
"P04","Soy jubilado o pensionado",0.223,0.174,0.181
"P05","1",0.388,0.215,0.278
"P05","2",0.092,0.073,0.066
"P05","3",0.081,0.037,0.034
"P05","4",0.103,0.039,0.082
"P05","5",0.191,0.145,0.245
"P05","6",0.027,0.06,0.066
"P05","7",0.038,0.143,0.046
"P05","8",0.022,0.094,0.032
"P05","9",0.058,0.194,0.151
"P06","1",0.136,0.385,0.266
"P06","2",0.033,0.088,0.052
"P06","3",0.03,0.104,0.034
"P06","4",0.036,0.043,0.04
"P06","5",0.193,0.126,0.229
"P06","6",0.061,0.041,0.057
"P06","7",0.098,0.04,0.054
"P06","8",0.094,0.045,0.06
"P06","9",0.319,0.128,0.208
"P07","1",0.202,0.578,0.333
"P07","2",0.036,0.042,0.046
"P07","3",0.032,0.034,0.035
"P07","4",0.018,0.007,0.033
"P07","5",0.123,0.075,0.077
"P07","6",0.029,0.01,0.049
"P07","7",0.052,0.018,0.039
"P07","8",0.056,0.028,0.049
"P07","9",0.452,0.208,0.339
"P09","Del Frente de Todos y el peronismo",0.071,0.713,0.286
"P09","De Juntos por el cambio",0.626,0.087,0.167
"P09","De los Liberales libertarios",0.226,0.092,0.222
"P09","De la Izquierda",0.004,0.042,0.056
"P09","No sabe",0.073,0.066,0.269
"P10","A Alberto Fernández",0.277,0.115,0.226
"P10","A Sergio Massa",0.146,0.235,0.308
"P10","A algún candidato del peronismo",0.376,0.102,0.187
"P10","A algún candidato del kirchnerismo",0.201,0.548,0.279
"P11","A Alberto Fernández",0.153,0.069,0.196
"P11","A Sergio Massa",0.206,0.117,0.17
"P11","A algún candidato del peronismo",0.407,0.083,0.176
"P11","A Cristina Fernández de Kirchner",0.234,0.731,0.458
"P12","A Horacio Rodriguez Larreta",0.199,0.249,0.324
"P12","A Mauricio Macri",0.338,0.186,0.298
"P12","A Patricia Bullrich",0.399,0.371,0.163
"P12","A Facundo Manes",0.04,0.129,0.117
"P12","A Gerardo Morales",0.024,0.065,0.098
"P13","Seguro lo votaria",0.192,0.182,0.12
"P13","Quizás lo votaría",0.367,0.18,0.383
"P13","Nunca lo votaría",0.441,0.638,0.497
"P14","Lo votaría",0.424,0.053,0.083
"P14","Puede que lo vote",0.335,0.071,0.167
"P14","Nunca lo votaría",0.183,0.818,0.622
"P14","No sabe",0.058,0.058,0.128
"P15","Lo votaría",0.062,0.216,0.12
"P15","Puede que lo vote",0.079,0.395,0.174
"P15","Nunca lo votaría",0.832,0.323,0.569
"P15","No sabe",0.027,0.066,0.137
"P16","Lo votaría",0.03,0.21,0.149
"P16","Puede que lo vote",0.031,0.377,0.161
"P16","Nunca lo votaría",0.929,0.332,0.608
"P16","No sabe",0.01,0.081,0.082
"P17","La votaría",0.047,0.652,0.23
"P17","Puede que la vote",0.008,0.103,0.094
"P17","Nunca la votaría",0.937,0.212,0.602
"P17","No sabe",0.008,0.033,0.074
"P18","Lo votaría",0.209,0.086,0.108
"P18","Puede que lo vote",0.393,0.089,0.229
"P18","Nunca lo votaría",0.347,0.786,0.534
"P18","No sabe",0.051,0.039,0.129
"P19","Lo votaría",0.082,0.045,0.086
"P19","Puede que lo vote",0.324,0.159,0.203
"P19","Nunca lo votaría",0.509,0.67,0.498
"P19","No sabe",0.085,0.126,0.213
"P20","La votaría",0.553,0.062,0.079
"P20","Puede que la vote",0.304,0.078,0.145
"P20","Nunca la votaría",0.121,0.83,0.635
"P20","No sabe",0.022,0.03,0.141
"P21","Lo votaría",0.292,0.108,0.243
"P21","Puede que lo vote",0.295,0.08,0.126
"P21","Nunca lo votaría",0.36,0.783,0.521
"P21","No sabe",0.053,0.029,0.11
"P22","La votaría",0.24,0.049,0.085
"P22","Puede que la vote",0.341,0.076,0.164
"P22","Nunca la votaría",0.322,0.822,0.601
"P22","No sabe",0.097,0.053,0.15
"P23","Lo votaría",0.053,0.363,0.05
"P23","Puede que lo vote",0.085,0.285,0.107
"P23","Nunca lo votaría",0.793,0.263,0.636
"P23","No sabe",0.069,0.089,0.207
"P24","Lo votaría",0.082,0.053,0.04
"P24","Puede que lo vote",0.267,0.102,0.106
"P24","Nunca lo votaría",0.541,0.741,0.591
"P24","No sabe",0.11,0.104,0.263
"P25","Mauricio Macri por Juntos por el Cambio",0.264,0.02,0.054
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.113,0.033,0.102
"P25","Patricia Bullrich por Juntos por el Cambio",0.343,0.047,0.046
"P25","Facundo Manes por Juntos por el Cambio",0.03,0.023,0.069
"P25","Alberto Fernández por el Frente de Todos",0.011,0.057,0.09
"P25","Cristina Fernández de Kirchner por el Frente de Todos",0.033,0.649,0.208
"P25","Javier Milei por los liberales libertarios",0.153,0.083,0.217
"P25","Nicolás del Caño por la izquierda",0.003,0.016,0.021
"P25","Otros candidatos",0.017,0.031,0.083
"P25","Aún no lo tengo decidido",0.033,0.041,0.11
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.175,0.025,0.128
"P26","Patricia Bullrich por Juntos por el Cambio",0.479,0.037,0.065
"P26","Facundo Manes por Juntos por el Cambio",0.097,0.039,0.089
"P26","Wado de Pedro por el Frente de Todos",0.016,0.395,0.059
"P26","Sergio Massa por el Frente de Todos",0.022,0.291,0.181
"P26","Javier Milei por los liberales libertarios",0.158,0.067,0.213
"P26","Nicolás del Caño por la izquierda",0.018,0.052,0.028
"P26","Otros candidatos",0.009,0.042,0.066
"P26","Aún no lo tengo decidido",0.026,0.052,0.171
"P27","Cristina Fernández de Kirchner por el Frente de Todos",0.046,0.721,0.265
"P27","Mauricio Macri por Juntos por el Cambio",0.552,0.06,0.095
"P27","Javier Milei por los liberales libertarios",0.245,0.116,0.242
"P27","Nicolás del Caño por la izquierda",0.004,0.025,0.042
"P27","Otro candidato",0.087,0.046,0.164
"P27","Aún no lo tengo decidido",0.066,0.032,0.192
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.439,0.097,0.164
"P29","Wado de Pedro por el Frente de Todos",0.071,0.626,0.107
"P29","Javier Milei por los liberales libertarios",0.298,0.13,0.267
"P29","Nicolás del Caño por la izquierda",0.004,0.027,0.041
"P29","Otro candidato",0.111,0.073,0.167
"P29","Aún no lo tengo decidido",0.077,0.047,0.254
"P31","Sergio Massa por el Frente de Todos",0.062,0.564,0.222
"P31","Patricia Bullrich por Juntos por el Cambio",0.651,0.08,0.085
"P31","Javier Milei por los liberales libertarios",0.206,0.107,0.254
"P31","Nicolás del Caño por la izquierda",0.003,0.051,0.037
"P31","Otro candidato",0.039,0.125,0.195
"P31","Aún no lo tengo decidido",0.039,0.073,0.207
"P33","Sergio Massa por el Frente de Todos",0.069,0.536,0.205
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.468,0.097,0.166
"P33","Javier Milei por los liberales libertarios",0.296,0.119,0.239
"P33","Nicolás del Caño por la izquierda",0.006,0.048,0.04
