"var","categoria","Si","No"
"P04","Tengo trabajo estable",0.479,0.444
"P04","Realizo changas o trabajos de vez en cuando",0.191,0.191
"P04","No tengo trabajo",0.13,0.164
"P04","Soy jubilado o pensionado",0.2,0.201
"P05","1",0.32,0.314
"P05","2",0.081,0.08
"P05","3",0.064,0.052
"P05","4",0.077,0.086
"P05","5",0.168,0.208
"P05","6",0.044,0.051
"P05","7",0.071,0.071
"P05","8",0.051,0.028
"P05","9",0.124,0.11
"P06","1",0.24,0.234
"P06","2",0.052,0.059
"P06","3",0.059,0.044
"P06","4",0.042,0.036
"P06","5",0.182,0.18
"P06","6",0.055,0.053
"P06","7",0.074,0.073
"P06","8",0.073,0.07
"P06","9",0.223,0.251
"P07","1",0.334,0.348
"P07","2",0.045,0.031
"P07","3",0.032,0.035
"P07","4",0.017,0.021
"P07","5",0.098,0.095
"P07","6",0.031,0.027
"P07","7",0.038,0.043
"P07","8",0.047,0.047
"P07","9",0.358,0.353
"P09","Del Frente de Todos y el peronismo",0.326,0.262
"P09","De Juntos por el cambio",0.364,0.375
"P09","De los Liberales libertarios",0.187,0.191
"P09","De la Izquierda",0.03,0.023
"P09","No sabe",0.093,0.149
"P10","A Alberto Fernández",0.128,0.189
"P10","A Sergio Massa",0.229,0.239
"P10","A algún candidato del peronismo",0.165,0.144
"P10","A algún candidato del kirchnerismo",0.478,0.428
"P11","A Alberto Fernández",0.101,0.133
"P11","A Sergio Massa",0.117,0.132
"P11","A algún candidato del peronismo",0.156,0.133
"P11","A Cristina Fernández de Kirchner",0.626,0.602
"P12","A Horacio Rodriguez Larreta",0.219,0.207
"P12","A Mauricio Macri",0.33,0.328
"P12","A Patricia Bullrich",0.355,0.386
"P12","A Facundo Manes",0.056,0.05
"P12","A Gerardo Morales",0.04,0.029
"P13","Seguro lo votaria",0.201,0.161
"P13","Quizás lo votaría",0.334,0.373
"P13","Nunca lo votaría",0.465,0.466
"P14","Lo votaría",0.245,0.239
"P14","Puede que lo vote",0.209,0.245
"P14","Nunca lo votaría",0.479,0.439
"P14","No sabe",0.067,0.077
"P15","Lo votaría",0.129,0.112
"P15","Puede que lo vote",0.188,0.179
"P15","Nunca lo votaría",0.62,0.648
"P15","No sabe",0.063,0.061
"P16","Lo votaría",0.119,0.084
"P16","Puede que lo vote",0.166,0.151
"P16","Nunca lo votaría",0.674,0.711
"P16","No sabe",0.041,0.054
"P17","La votaría",0.288,0.212
"P17","Puede que la vote",0.059,0.053
"P17","Nunca la votaría",0.624,0.704
"P17","No sabe",0.029,0.031
"P18","Lo votaría",0.139,0.161
"P18","Puede que lo vote",0.273,0.275
"P18","Nunca lo votaría",0.524,0.501
"P18","No sabe",0.064,0.063
"P19","Lo votaría",0.067,0.075
"P19","Puede que lo vote",0.26,0.235
"P19","Nunca lo votaría",0.556,0.556
"P19","No sabe",0.117,0.134
"P20","La votaría",0.31,0.304
"P20","Puede que la vote",0.193,0.212
"P20","Nunca la votaría",0.449,0.428
"P20","No sabe",0.048,0.056
"P21","Lo votaría",0.234,0.222
"P21","Puede que lo vote",0.182,0.221
"P21","Nunca lo votaría",0.524,0.5
"P21","No sabe",0.06,0.057
"P22","La votaría",0.162,0.148
"P22","Puede que la vote",0.223,0.213
"P22","Nunca la votaría",0.53,0.525
"P22","No sabe",0.085,0.114
"P23","Lo votaría",0.153,0.114
"P23","Puede que lo vote",0.139,0.148
"P23","Nunca lo votaría",0.589,0.648
"P23","No sabe",0.119,0.09
"P24","Lo votaría",0.067,0.056
"P24","Puede que lo vote",0.185,0.184
"P24","Nunca lo votaría",0.597,0.625
"P24","No sabe",0.151,0.135
"P25","Mauricio Macri por Juntos por el Cambio",0.152,0.143
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.083,0.103
"P25","Patricia Bullrich por Juntos por el Cambio",0.174,0.213
"P25","Facundo Manes por Juntos por el Cambio",0.038,0.034
"P25","Alberto Fernández por el Frente de Todos",0.047,0.038
"P25","Cristina Fernández de Kirchner por el Frente de Todos",0.274,0.206
"P25","Javier Milei por los liberales libertarios",0.149,0.149
"P25","Nicolás del Caño por la izquierda",0.01,0.013
"P25","Otros candidatos",0.033,0.037
"P25","Aún no lo tengo decidido",0.04,0.064
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.11,0.14
"P26","Patricia Bullrich por Juntos por el Cambio",0.264,0.258
"P26","Facundo Manes por Juntos por el Cambio",0.075,0.083
"P26","Wado de Pedro por el Frente de Todos",0.147,0.111
"P26","Sergio Massa por el Frente de Todos",0.145,0.115
"P26","Javier Milei por los liberales libertarios",0.144,0.153
"P26","Nicolás del Caño por la izquierda",0.025,0.036
"P26","Otros candidatos",0.033,0.028
"P26","Aún no lo tengo decidido",0.057,0.076
"P27","Cristina Fernández de Kirchner por el Frente de Todos",0.321,0.239
"P27","Mauricio Macri por Juntos por el Cambio",0.306,0.313
"P27","Javier Milei por los liberales libertarios",0.203,0.218
"P27","Nicolás del Caño por la izquierda",0.017,0.022
"P27","Otro candidato",0.083,0.109
"P27","Aún no lo tengo decidido",0.07,0.099
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.277,0.289
"P29","Wado de Pedro por el Frente de Todos",0.256,0.202
"P29","Javier Milei por los liberales libertarios",0.24,0.255
"P29","Nicolás del Caño por la izquierda",0.016,0.023
"P29","Otro candidato",0.11,0.117
"P29","Aún no lo tengo decidido",0.101,0.114
"P31","Sergio Massa por el Frente de Todos",0.259,0.219
"P31","Patricia Bullrich por Juntos por el Cambio",0.345,0.376
"P31","Javier Milei por los liberales libertarios",0.195,0.188
"P31","Nicolás del Caño por la izquierda",0.02,0.028
"P31","Otro candidato",0.101,0.098
"P31","Aún no lo tengo decidido",0.08,0.091
"P33","Sergio Massa por el Frente de Todos",0.252,0.202
