"var","categoria","Axel Kicillof a gobernador por Unión por la Patria.","Néstor Grindetti a gobernador por Juntos por el Cambio","Carolina Piparo a gobernadora por la Libertad Avanza","El candidato a gobernador de la Izquierda","En blanco"
"P05","Mucho",0.531,0.41,0.544,0.433,0.267
"P05","Bastante",0.282,0.347,0.245,0.09,0.437
"P05","Poco",0.161,0.148,0.163,0.249,0.163
"P05","Nada",0.007,0.082,0.048,0.228,0
"P05","No sabe",0.019,0.013,0,0,0.133
"P06","Siempre",0.2,0.221,0.155,0.133,0.358
"P06","Casi siempre",0.322,0.412,0.239,0.254,0.287
"P06","Casi nunca",0.366,0.275,0.401,0.411,0.186
"P06","Nunca, pero esta es una excepción",0.112,0.092,0.205,0.202,0.169
"P10","Unión por la Patria",0.777,0.114,0.126,0.081,0.282
"P10","Juntos por el Cambio",0.053,0.625,0.098,0.028,0.237
"P10","De los Liberales libertarios",0.041,0.158,0.661,0,0.122
"P10","De la Izquierda",0.021,0.015,0.057,0.235,0.074
"P10","Hacemos por nuestro país",0.004,0.019,0.028,0.262,0.035
"P10","En blanco",0.022,0.009,0.005,0.008,0.25
"P10","No sabe",0.082,0.06,0.025,0.386,0
"P16","Si",0.29,0.536,0.518,0.827,0.735
"P16","No",0.71,0.464,0.482,0.173,0.265
"P26","Totalmente seguro.",0.748,0.607,0.721,0.459,0.336
"P26","Bastante seguro",0.144,0.277,0.212,0.233,0.589
"P26","Algo seguro",0.053,0.09,0.055,0.052,0.06
"P26","Para nada seguro",0.055,0.026,0.012,0.256,0.015
"P27","Tiene Decidido que va a ir a votar.",0.95,0.87,0.934,0.543,0.964
"P27","Tiene dudas sobre si va a ir a  votar",0.046,0.101,0.054,0.457,0.022
"P27","Tiene Decidido que no va a ir a votar",0.004,0.029,0.012,0,0.014
"P28","Si",0.501,0.448,0.367,0.275,0.484
"P28","No",0.499,0.552,0.633,0.725,0.516
"P13_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria.",0.91,0.067,0.053,0.109,0.11
"P13_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.011,0.761,0.114,0.181,0.248
"P13_imputada","Javier Milei a presidente, Carolina Piparo a gobernadora y Claudio Baumgarten a intendente por la Libertad Avanza",0.053,0.115,0.788,0,0.027
"P13_imputada","Myriam Bregman a presidenta, Rubén Sobrero a gobernador y Paula Akerfeld a intendenta por el Frente de Izquierda",0.01,0.022,0.005,0.477,0.013
"P13_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.004,0.006,0.04,0.225,0.425
"P13_imputada","En blanco",0.012,0.029,0,0.008,0.177
"P17_imputada","Sergio Massa a presidente por Unión por la Patria.",0.695,0.053,0.124,0.233,0.177
"P17_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.058,0.652,0.258,0.044,0.331
"P17_imputada","Javier Milei a presidente por la Libertad Avanza",0.144,0.238,0.616,0.549,0.03
"P17_imputada","Myriam Bregman a presidenta por el Frente de Izquierda",0.051,0.032,0.002,0.147,0
"P17_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.014,0.012,0,0,0.443
"P17_imputada","En blanco",0.038,0.013,0,0.027,0.019
"P20_imputada","Axel Kicillof a gobernador por Unión por la Patria.",1,0,0,0,0
"P20_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0,1,0,0,0
"P20_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0,0,1,0,0
"P20_imputada","El candidato a gobernador de la Izquierda",0,0,0,1,0
"P20_imputada","En blanco",0,0,0,0,1
"P23_imputada","Julio Zamora a intendente por Unión por la Patria.",0.721,0.421,0.341,0.581,0.582
"P23_imputada","Segundo Cernadas a intendente por Juntos por el Cambio",0.083,0.455,0.501,0.044,0.097
"P23_imputada","Claudio Baumgarten a intendente por la Libertad Avanza",0.068,0.101,0.139,0,0
"P23_imputada","Paula Akerfeld a intendenta por el Frente de Izquierda",0.08,0.01,0.015,0.375,0
"P23_imputada","En blanco",0.048,0.013,0.004,0,0.321
"PRESIDENTE_imputada","Sergio Massa a presidente por Unión por la Patria.",0.916,0.027,0.065,0.14,0.123
"PRESIDENTE_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.016,0.808,0.133,0.032,0.219
"PRESIDENTE_imputada","Javier Milei a presidente por la Libertad Avanza",0.042,0.132,0.801,0.528,0.015
"PRESIDENTE_imputada","Myriam Bregman a presidenta por el Frente de Izquierda",0.014,0.02,0.001,0.283,0
"PRESIDENTE_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.003,0.005,0,0,0.466
"PRESIDENTE_imputada","En blanco",0.009,0.008,0,0.017,0.177
"INTENDENTE_imputada","Julio Zamora a intendente por Unión por la Patria.",0.927,0.218,0.166,0.468,0.402
"INTENDENTE_imputada","Segundo Cernadas a intendente por Juntos por el Cambio",0.022,0.715,0.234,0.032,0.051
"INTENDENTE_imputada","Claudio Baumgarten a intendente por la Libertad Avanza",0.019,0.054,0.587,0,0
"INTENDENTE_imputada","Paula Akerfeld a intendenta por el Frente de Izquierda",0.021,0.006,0.011,0.5,0
"INTENDENTE_imputada","En blanco",0.011,0.007,0.002,0,0.547
