"var","categoria","Los robos","El narcotráfico","La ausencia de patrulleros y personal policial","Otro","Ninguno"
"P7","Muy buena",0.126,0.102,0.106,0.144,0.237
"P7","Buena",0.185,0.297,0.157,0.028,0.337
"P7","Ni buena ni mala",0.214,0.19,0.236,0.263,0.08
"P7","Mala",0.17,0.097,0.17,0.146,0.161
"P7","Muy mala",0.29,0.301,0.317,0.391,0.132
"P7","No sabe",0.015,0.013,0.014,0.028,0.053
"P8","Muy buena",0.072,0.21,0.045,0.153,0.091
"P8","Buena",0.133,0.129,0.183,0.067,0
"P8","Ni buena ni mala",0.421,0.378,0.378,0.355,0.371
"P8","Mala",0.091,0.055,0.042,0.086,0.192
"P8","Muy mala",0.156,0.149,0.098,0.197,0.116
"P8","No sabe",0.127,0.079,0.254,0.142,0.23
"P9","Muy buena",0.085,0.168,0.096,0.128,0.161
"P9","Buena",0.165,0.225,0.107,0.101,0.363
"P9","Ni buena ni mala",0.275,0.288,0.278,0.238,0.076
"P9","Mala",0.118,0.102,0.114,0.226,0.096
"P9","Muy mala",0.253,0.133,0.277,0.268,0.248
"P9","No sabe",0.104,0.084,0.128,0.039,0.056
"P10","Muy buena",0.024,0.096,0.032,0.146,0.022
"P10","Buena",0.118,0.115,0.07,0.031,0
"P10","Ni buena ni mala",0.428,0.357,0.417,0.394,0.278
"P10","Mala",0.097,0.165,0.099,0.106,0.097
"P10","Muy mala",0.136,0.153,0.099,0.169,0.134
"P10","No sabe",0.197,0.114,0.283,0.154,0.469
"P11","Muy buena",0.065,0.182,0.047,0.115,0.023
"P11","Buena",0.102,0.168,0.086,0.124,0.122
"P11","Ni buena ni mala",0.299,0.296,0.259,0.235,0.2
"P11","Mala",0.184,0.165,0.15,0.163,0.034
"P11","Muy mala",0.311,0.175,0.347,0.258,0.23
"P11","No sabe",0.039,0.014,0.111,0.105,0.391
"P12","Muy buena",0.053,0.088,0.042,0.063,0.011
"P12","Buena",0.086,0.15,0.1,0.075,0
"P12","Ni buena ni mala",0.412,0.352,0.439,0.215,0.128
"P12","Mala",0.066,0.09,0.04,0.277,0.155
"P12","Muy mala",0.14,0.141,0.058,0.227,0.046
"P12","No sabe",0.243,0.179,0.321,0.143,0.66
"P13","Muy buena",0.035,0.108,0.022,0.005,0.05
"P13","Buena",0.067,0.018,0.055,0,0
"P13","Ni buena ni mala",0.41,0.404,0.386,0.326,0.169
"P13","Mala",0.052,0.036,0.053,0.266,0.069
"P13","Muy mala",0.082,0.168,0.057,0.173,0
"P13","No sabe",0.354,0.266,0.427,0.23,0.712
"P14","Muy buena",0.017,0.041,0.017,0.004,0
"P14","Buena",0.043,0.012,0.009,0.005,0.05
"P14","Ni buena ni mala",0.397,0.41,0.371,0.373,0.132
"P14","Mala",0.048,0.034,0.031,0.174,0.23
"P14","Muy mala",0.078,0.162,0.061,0.171,0.014
"P14","No sabe",0.417,0.341,0.511,0.273,0.574
"P15","La seguridad",0.095,0.085,0.024,0.006,0.05
"P15","El tránsito",0.017,0.038,0.021,0.002,0.064
"P15","El arreglo de las calles",0.182,0.141,0.149,0.139,0.403
"P15","El estado de las escuelas y la educación",0.044,0.053,0.015,0.086,0.23
"P15","El sistema de salud",0.063,0.074,0.079,0.129,0.025
"P15","El deporte y la cultura",0.14,0.067,0.174,0.063,0.088
"P15","La obra pública",0.074,0.085,0.029,0.08,0.009
"P15","La luminaria",0.069,0.078,0.094,0.085,0.032
"P15","No sabe",0.316,0.379,0.415,0.41,0.099
"P16","La seguridad",0.508,0.385,0.432,0.315,0.281
"P16","El tránsito",0.023,0.054,0.015,0.081,0.272
"P16","El arreglo de las calles",0.183,0.261,0.239,0.124,0.033
"P16","El estado de las escuelas y la educación",0.03,0.006,0.054,0.189,0
"P16","El sistema de salud",0.114,0.109,0.101,0.158,0.073
"P16","El deporte y la cultura",0.032,0.002,0.023,0.006,0.009
"P16","La obra pública",0.024,0.005,0.049,0,0
"P16","La luminaria",0.014,0.035,0.047,0.029,0.052
"P16","No sabe",0.072,0.143,0.04,0.098,0.28
"P17","Agua corriente y cloacas",0.62,0.494,0.449,0.369,0.02
"P17","Energía eléctrica",0.082,0.216,0.067,0.137,0
"P17","Red de gas natural",0.104,0.091,0.198,0.03,0.087
"P17","Recolección de residuos",0.098,0.1,0.185,0.369,0.041
"P17","Ninguno",0.096,0.099,0.101,0.095,0.852
"P19","Muy buena",0.131,0.068,0.03,0.038,0.069
"P19","Buena",0.138,0.119,0.084,0.109,0.094
"P19","Ni buena ni mala",0.34,0.444,0.399,0.352,0.336
"P19","Mala",0.173,0.154,0.246,0.391,0.015
"P19","Muy mala",0.159,0.172,0.122,0.067,0.3
"P19","No sabe",0.059,0.043,0.119,0.043,0.186
"P20","Muy buena",0.076,0.074,0.015,0.088,0.114
"P20","Buena",0.143,0.191,0.132,0.04,0.102
"P20","Ni buena ni mala",0.373,0.339,0.408,0.404,0.578
"P20","Mala",0.182,0.174,0.186,0.35,0.144
"P20","Muy mala",0.176,0.153,0.165,0.076,0.054
"P20","No sabe",0.05,0.069,0.094,0.042,0.008
"P21","Al candidato del Frente de Todos",0.336,0.448,0.303,0.306,0.151
"P21","Al candidato de Juntos por el Cambio",0.25,0.21,0.323,0.34,0.081
"P21","Al candidato de la Izquierda",0.072,0.086,0.04,0.061,0.049
