"var","categoria","A Gustavo Menéndez","A Karina Menéndez","A Florencia Lizaraso","A Raúl Otahacé","No sabe"
"P7","Muy buena",0.401,0.234,0.023,0.033,0.059
"P7","Buena",0.386,0.298,0.182,0.016,0.214
"P7","Ni buena ni mala",0.175,0.231,0.086,0.518,0.228
"P7","Mala",0.003,0.224,0.045,0.196,0.227
"P7","Muy mala",0.035,0.009,0.582,0.226,0.272
"P7","No sabe",0,0.004,0.082,0.011,0
"P8","Muy buena",0.133,0.054,0.12,0,0.064
"P8","Buena",0.1,0.004,0.054,0.1,0.108
"P8","Ni buena ni mala",0.474,0.483,0.073,0.228,0.12
"P8","Mala",0.083,0.096,0.223,0.411,0.074
"P8","Muy mala",0.096,0.126,0.422,0.09,0.415
"P8","No sabe",0.114,0.237,0.108,0.171,0.219
"P9","Muy buena",0.253,0.347,0.022,0.01,0.031
"P9","Buena",0.364,0.392,0.225,0.487,0.138
"P9","Ni buena ni mala",0.258,0.183,0.255,0.055,0.28
"P9","Mala",0.025,0.009,0.231,0.093,0.16
"P9","Muy mala",0.044,0.009,0.169,0.323,0.391
"P9","No sabe",0.056,0.06,0.098,0.032,0
"P10","Muy buena",0.047,0.008,0.111,0,0.042
"P10","Buena",0.212,0.116,0.013,0,0.115
"P10","Ni buena ni mala",0.413,0.45,0.091,0.613,0.172
"P10","Mala",0.097,0.084,0.105,0.045,0.165
"P10","Muy mala",0.085,0.166,0.559,0.103,0.409
"P10","No sabe",0.146,0.176,0.121,0.239,0.097
"P11","Muy buena",0.057,0.119,0.184,0.493,0
"P11","Buena",0.187,0.021,0,0.134,0.05
"P11","Ni buena ni mala",0.385,0.33,0.134,0.157,0.538
"P11","Mala",0.103,0.15,0.243,0.121,0.097
"P11","Muy mala",0.251,0.308,0.439,0.056,0.315
"P11","No sabe",0.017,0.072,0,0.039,0
"P12","Muy buena",0.072,0,0.018,0.011,0.007
"P12","Buena",0.081,0.025,0.055,0.023,0.098
"P12","Ni buena ni mala",0.395,0.439,0.094,0.612,0.238
"P12","Mala",0.124,0.1,0.132,0.05,0.127
"P12","Muy mala",0.125,0.212,0.615,0.099,0.019
"P12","No sabe",0.203,0.224,0.086,0.205,0.511
"P13","Muy buena",0.065,0.024,0.45,0,0
"P13","Buena",0.065,0.084,0.046,0.026,0.106
"P13","Ni buena ni mala",0.389,0.241,0.064,0.567,0.319
"P13","Mala",0.052,0.081,0.036,0.039,0.019
"P13","Muy mala",0.127,0.069,0.365,0.065,0.246
"P13","No sabe",0.302,0.501,0.039,0.303,0.31
"P14","Muy buena",0.009,0,0.281,0,0
"P14","Buena",0.073,0.004,0.022,0.01,0
"P14","Ni buena ni mala",0.483,0.352,0.06,0.524,0.299
"P14","Mala",0.048,0.088,0,0.011,0.024
"P14","Muy mala",0.078,0.046,0.365,0.087,0.265
"P14","No sabe",0.309,0.51,0.272,0.368,0.412
"P15","La seguridad",0.208,0.026,0.021,0,0.01
"P15","El tránsito",0.018,0.01,0,0,0.012
"P15","El arreglo de las calles",0.204,0.379,0.095,0.049,0.118
"P15","El estado de las escuelas y la educación",0.08,0.043,0.004,0.016,0
"P15","El sistema de salud",0.03,0.082,0.126,0.023,0.015
"P15","El deporte y la cultura",0.187,0.069,0.186,0.067,0.426
"P15","La obra pública",0.144,0.19,0.18,0.1,0.079
"P15","La luminaria",0.034,0.012,0.024,0.077,0.007
"P15","No sabe",0.095,0.189,0.364,0.668,0.333
"P16","La seguridad",0.36,0.368,0.411,0.123,0.298
"P16","El tránsito",0.097,0.023,0.047,0,0
"P16","El arreglo de las calles",0.323,0.134,0.212,0.048,0.224
"P16","El estado de las escuelas y la educación",0.004,0.053,0.019,0.487,0
"P16","El sistema de salud",0.027,0.208,0.264,0.208,0.334
"P16","El deporte y la cultura",0.057,0.037,0,0,0.019
"P16","La obra pública",0.012,0,0,0.09,0
"P16","La luminaria",0.027,0.061,0.006,0,0.012
"P16","No sabe",0.093,0.116,0.041,0.044,0.113
"P17","Agua corriente y cloacas",0.585,0.537,0.582,0.764,0.246
"P17","Energía eléctrica",0.15,0.039,0.031,0.011,0.178
"P17","Red de gas natural",0.099,0.161,0.024,0,0.195
"P17","Recolección de residuos",0.051,0.157,0.217,0.06,0.306
"P17","Ninguno",0.115,0.106,0.146,0.165,0.075
"P18","Los robos",0.492,0.548,0.274,0.589,0.675
"P18","El narcotráfico",0.245,0.08,0.388,0.074,0.099
"P18","La ausencia de patrulleros y personal policial",0.174,0.314,0.09,0.288,0.183
"P18","Otro",0.076,0.037,0.248,0.049,0.031
"P18","Ninguno",0.013,0.021,0,0,0.012
"P19","Muy buena",0.181,0.173,0.022,0,0.038
"P19","Buena",0.277,0.255,0.048,0.069,0.161
"P19","Ni buena ni mala",0.401,0.348,0.539,0.524,0.244
"P19","Mala",0.077,0.104,0.115,0.292,0.076
"P19","Muy mala",0.01,0.035,0.185,0.055,0.377
"P19","No sabe",0.054,0.085,0.091,0.06,0.104
"P20","Muy buena",0.168,0.128,0.137,0.021,0.007
"P20","Buena",0.316,0.168,0.061,0.113,0.108
"P20","Ni buena ni mala",0.385,0.386,0.285,0.192,0.347
"P20","Mala",0.105,0.14,0.053,0.072,0.19
"P20","Muy mala",0.018,0.029,0.321,0.236,0.271
"P20","No sabe",0.008,0.149,0.143,0.366,0.077
"P23","Frente de Todos y el peronismo",0.802,0.95,0.974,0.849,0.8
"P23","Cambiemos",0.133,0.02,0.013,0.013,0.008
"P23","Liberales",0.05,0.004,0.013,0.126,0
"P23","Izquierda",0.003,0,0,0.012,0
"P23","No sabe",0.012,0.026,0,0,0.192
"P25","A Alberto Fernández",0.404,0.026,0.137,0.102,0.015
"P25","A Sergio Massa",0.266,0.274,0.046,0.573,0.096
"P25","A algún candidato del peronismo",0.047,0.052,0.021,0.029,0.129
"P25","A algún candidato del kirchnerismo",0.283,0.648,0.796,0.296,0.76
"P26","A Alberto Fernández",0.289,0.027,0.122,0.02,0.035
"P26","A Sergio Massa",0.224,0.171,0.025,0.528,0.04
"P26","A algún candidato del peronismo",0.073,0.151,0.021,0,0.063
"P26","A Cristina Fernández de Kirchner",0.414,0.651,0.832,0.452,0.862
"P27","A Horacio Rodriguez Larreta",0.806,0,0.5,0,0
"P27","A Mauricio Macri",0.162,0,0.5,0,0
"P27","A Patricia Bullrich",0,0,0,1,1
"P27","A Facundo Manes",0.032,0,0,0,0
"P27","A Martín Lousteau",0,1,0,0,0
"P28","Seguro lo votaria",0,0,0.5,0,0
"P28","Quizás lo votaría",0,0,0,1,1
"P28","Nunca lo votaría",1,1,0.5,0,0
"P29","Muy buena",0.294,0.252,0.176,0.625,0.105
"P29","Buena",0.184,0.34,0.08,0.049,0.238
"P29","Ni buena ni mala",0.261,0.242,0.494,0.066,0.487
"P29","Mala",0.158,0.145,0.228,0.229,0.099
"P29","Muy mala",0.102,0.021,0.022,0.031,0.071
"P29","No sabe",0.001,0,0,0,0
"P30","Muy buena",0.161,0,0.047,0,0.05
"P30","Buena",0.017,0.017,0,0,0
"P30","Ni buena ni mala",0.087,0.018,0.013,0.014,0.103
"P30","Mala",0.195,0.372,0.196,0.464,0.079
"P30","Muy mala",0.54,0.562,0.744,0.393,0.768
"P30","No sabe",0,0.031,0,0.129,0
"P31","Muy buena",0.697,0.682,0.777,0.756,0.742
"P31","Buena",0.074,0.055,0.026,0.039,0.051
"P31","Ni buena ni mala",0.097,0.243,0.019,0,0.088
"P31","Mala",0.069,0.012,0.03,0.012,0.041
"P31","Muy mala",0.059,0.008,0.148,0.193,0.078
"P31","No sabe",0.004,0,0,0,0
"P32","Muy buena",0.103,0.008,0.019,0.014,0.049
"P32","Buena",0.061,0.038,0,0.126,0.008
"P32","Ni buena ni mala",0.189,0.213,0.035,0,0.1
"P32","Mala",0.164,0.133,0.237,0.483,0.19
"P32","Muy mala",0.468,0.603,0.709,0.377,0.653
"P32","No sabe",0.015,0.005,0,0,0
"P33","Muy buena",0.268,0.192,0.126,0.576,0.041
"P33","Buena",0.258,0.357,0.068,0.108,0.258
"P33","Ni buena ni mala",0.249,0.316,0.599,0.238,0.555
"P33","Mala",0.154,0.107,0.185,0.064,0.043
"P33","Muy mala",0.071,0.023,0.022,0.014,0.103
"P33","No sabe",0,0.005,0,0,0
"P34","Muy buena",0.1,0.007,0.016,0.017,0.07
"P34","Buena",0.053,0.006,0,0.008,0
"P34","Ni buena ni mala",0.152,0.051,0,0.186,0.094
"P34","Mala",0.263,0.252,0.177,0.524,0.077
"P34","Muy mala",0.421,0.684,0.807,0.265,0.75
"P34","No sabe",0.011,0,0,0,0.009
"P35","Muy buena",0.122,0.017,0.016,0.008,0
"P35","Buena",0.102,0.007,0.005,0.188,0.006
"P35","Ni buena ni mala",0.095,0.071,0.005,0.512,0.163
"P35","Mala",0.19,0.06,0.177,0.057,0.094
"P35","Muy mala",0.387,0.737,0.797,0.218,0.737
"P35","No sabe",0.104,0.108,0,0.017,0
