"var","categoria","A Horacio Rodriguez Larreta","A Mauricio Macri","A Patricia Bullrich","A Facundo Manes","A Martín Lousteau"
"P7","Muy buena",0.059,0.004,0,0,0.116
"P7","Buena",0.152,0.156,0.044,0.217,0.112
"P7","Ni buena ni mala",0.159,0.144,0.063,0.446,0.653
"P7","Mala",0.195,0.182,0.169,0.03,0.119
"P7","Muy mala",0.435,0.449,0.724,0.293,0
"P7","No sabe",0,0.065,0,0.014,0
"P8","Muy buena",0.144,0.115,0.083,0.015,0
"P8","Buena",0.378,0.166,0.093,0.288,0.112
"P8","Ni buena ni mala",0.448,0.446,0.593,0.468,0.653
"P8","Mala",0.005,0.035,0.023,0,0
"P8","Muy mala",0,0.177,0.18,0,0.116
"P8","No sabe",0.025,0.061,0.028,0.229,0.119
"P9","Muy buena",0.022,0.012,0.005,0,0
"P9","Buena",0.21,0.114,0.027,0,0
"P9","Ni buena ni mala",0.192,0.193,0.115,0.573,0
"P9","Mala",0.075,0.245,0.251,0.122,0.771
"P9","Muy mala",0.371,0.418,0.511,0.275,0.116
"P9","No sabe",0.13,0.018,0.091,0.03,0.113
"P10","Muy buena",0.072,0.085,0.02,0,0
"P10","Buena",0.246,0.1,0.107,0.06,0
"P10","Ni buena ni mala",0.357,0.332,0.541,0.718,0.112
"P10","Mala",0.028,0.054,0.158,0,0.653
"P10","Muy mala",0.019,0.23,0.032,0.015,0.116
"P10","No sabe",0.278,0.199,0.142,0.207,0.119
"P11","Muy buena",0.067,0.024,0.012,0,0
"P11","Buena",0.27,0.141,0.126,0.018,0
"P11","Ni buena ni mala",0.132,0.184,0.161,0.363,0.113
"P11","Mala",0.109,0.044,0.235,0.157,0
"P11","Muy mala",0.146,0.437,0.447,0.29,0.887
"P11","No sabe",0.276,0.17,0.019,0.172,0
"P12","Muy buena",0.09,0.119,0.21,0.036,0.119
"P12","Buena",0.182,0.081,0.223,0.229,0
"P12","Ni buena ni mala",0.342,0.366,0.437,0.105,0
"P12","Mala",0.025,0.003,0.033,0,0.653
"P12","Muy mala",0.013,0.169,0.009,0.258,0.116
"P12","No sabe",0.348,0.262,0.088,0.372,0.112
"P13","Muy buena",0.004,0.008,0,0.015,0
"P13","Buena",0,0,0.062,0,0
"P13","Ni buena ni mala",0.328,0.393,0.573,0.399,0
"P13","Mala",0.076,0.034,0.041,0.015,0.653
"P13","Muy mala",0.012,0.183,0.014,0.015,0.116
"P13","No sabe",0.58,0.382,0.31,0.556,0.231
"P14","Muy buena",0.005,0.005,0,0,0
"P14","Buena",0.003,0.025,0.006,0,0
"P14","Ni buena ni mala",0.316,0.337,0.4,0.389,0.653
"P14","Mala",0.066,0.041,0.04,0,0
"P14","Muy mala",0.013,0.18,0.02,0,0.116
"P14","No sabe",0.597,0.412,0.534,0.611,0.231
"P15","La seguridad",0.004,0.123,0.008,0,0
"P15","El tránsito",0.005,0.011,0.026,0.015,0
"P15","El arreglo de las calles",0.073,0.188,0.06,0.19,0.116
"P15","El estado de las escuelas y la educación",0.057,0.004,0,0,0
"P15","El sistema de salud",0.099,0,0.014,0,0
"P15","El deporte y la cultura",0.243,0.023,0.07,0,0
"P15","La obra pública",0.003,0.104,0.015,0.258,0
"P15","La luminaria",0.013,0.195,0.09,0.048,0.653
"P15","No sabe",0.503,0.352,0.717,0.489,0.231
"P16","La seguridad",0.43,0.449,0.653,0.909,0.347
"P16","El tránsito",0.095,0.116,0.033,0,0
"P16","El arreglo de las calles",0.096,0.082,0.138,0.016,0
"P16","El estado de las escuelas y la educación",0.073,0.105,0.016,0,0
"P16","El sistema de salud",0.038,0.219,0.047,0,0.653
"P16","El deporte y la cultura",0.003,0,0,0,0
"P16","La obra pública",0.017,0.013,0.023,0,0
"P16","La luminaria",0.12,0.013,0,0,0
"P16","No sabe",0.128,0.003,0.09,0.075,0
