"var","categoria","Cristina Fernández de Kirchner por el Frente de Todos","Mauricio Macri por Juntos por el Cambio","No sabe"
"P05","Tengo trabajo estable",0.551,0.461,0.529
"P05","Realizo changas o trabajos de vez en cuando",0.161,0.164,0.199
"P05","No tengo trabajo",0.092,0.135,0.154
"P05","Soy jubilado o pensionado",0.196,0.24,0.118
"P06","1",0.17,0.383,0.329
"P06","2",0.041,0.066,0.07
"P06","3",0.032,0.074,0.063
"P06","4",0.037,0.081,0.079
"P06","5",0.166,0.203,0.272
"P06","6",0.061,0.045,0.048
"P06","7",0.157,0.035,0.025
"P06","8",0.073,0.026,0.02
"P06","9",0.263,0.087,0.094
"P07","1",0.48,0.154,0.175
"P07","2",0.075,0.031,0.042
"P07","3",0.05,0.023,0.019
"P07","4",0.04,0.037,0.035
"P07","5",0.139,0.183,0.289
"P07","6",0.035,0.06,0.05
"P07","7",0.041,0.089,0.081
"P07","8",0.026,0.096,0.072
"P07","9",0.114,0.327,0.237
"P08","1",0.62,0.232,0.261
"P08","2",0.025,0.029,0.03
"P08","3",0.024,0.03,0.041
"P08","4",0.025,0.02,0.028
"P08","5",0.087,0.148,0.124
"P08","6",0.01,0.02,0.021
"P08","7",0.01,0.049,0.042
"P08","8",0.017,0.041,0.04
"P08","9",0.182,0.431,0.413
"P10","Del Frente de Todos y el peronismo",0.797,0.068,0.056
"P10","De Cambiemos",0.082,0.667,0.179
"P10","De los Liberales libertarios",0.023,0.21,0.402
"P10","De la Izquierda",0.027,0.001,0.068
"P10","No sabe",0.071,0.054,0.295
"P11","A Alberto Fernández",0.12,0.161,0.041
"P11","A Sergio Massa",0.249,0.32,0.478
"P11","A algún candidato del peronismo",0.097,0.281,0.239
"P11","A algún candidato del kirchnerismo",0.534,0.238,0.242
"P12","A Alberto Fernández",0.062,0.116,0.255
"P12","A Sergio Massa",0.121,0.165,0.308
"P12","A algún candidato del peronismo",0.084,0.338,0.252
"P12","A Cristina Fernández de Kirchner",0.733,0.381,0.185
"P13","A Horacio Rodriguez Larreta",0.492,0.226,0.421
"P13","A Mauricio Macri",0.181,0.328,0.087
"P13","A Patricia Bullrich",0.203,0.414,0.318
"P13","A Facundo Manes",0.108,0.025,0.111
"P13","A Gerardo Morales",0.016,0.007,0.063
"P14","Seguro lo votaria",0.097,0.156,0.165
"P14","Quizás lo votaría",0.357,0.351,0.349
"P14","Nunca lo votaría",0.546,0.493,0.486
