"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","En blanco"
"P05","Mucho",0.374,0.513,0.356,0.573,0.231,0.184
"P05","Bastante",0.346,0.345,0.309,0.093,0.106,0.336
"P05","Poco",0.16,0.073,0.212,0.279,0.291,0.105
"P05","Nada",0.067,0.061,0.105,0.055,0.372,0.138
"P05","No sabe",0.053,0.008,0.018,0,0,0.237
"P06","Siempre",0.214,0.245,0.177,0.525,0.157,0.09
"P06","Casi siempre",0.318,0.305,0.307,0.093,0.147,0.053
"P06","Casi nunca",0.312,0.232,0.336,0.288,0.49,0.456
"P06","Nunca, pero esta es una excepción",0.156,0.218,0.18,0.094,0.206,0.401
"P10","Unidos para Cambiar misiones",0.55,0.142,0.104,0.2,0.054,0.142
"P10","Juntos Avancemos",0.167,0.601,0.147,0.189,0.023,0.044
"P10","De los liberales libertarios",0.139,0.173,0.625,0.105,0,0.042
"P10","De la Izquierda",0.009,0.001,0.004,0.243,0,0
"P10","Hacemos por nuestro país",0.002,0.018,0.024,0.137,0.691,0
"P10","En blanco",0.058,0.024,0.01,0.032,0.174,0.651
"P10","No sabe",0.075,0.041,0.086,0.094,0.058,0.121
"P16","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.289,0.549,0.611,0.086,0.281,0.552
"P16","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.19,0.264,0.137,0.042,0.067,0
"P16","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.329,0.146,0.119,0.039,0.035,0.103
"P16","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.126,0.004,0.07,0.653,0,0.041
"P16","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.019,0,0.005,0.015,0.348,0
"P16","No sabe",0.047,0.037,0.058,0.165,0.269,0.304
"P17","Totalmente seguro.",0.687,0.709,0.735,0.297,0.675,0.451
"P17","Bastante seguro",0.133,0.164,0.144,0.17,0.17,0.195
"P17","Algo seguro",0.077,0.075,0.063,0.056,0.058,0.149
"P17","Para nada seguro",0.103,0.052,0.058,0.477,0.097,0.205
"P18","Tiene Decidido que va a ir a votar.",0.894,0.878,0.933,0.685,0.641,0.619
"P18","Tiene dudas sobre si va a ir a  votar",0.07,0.089,0.041,0,0.163,0.23
"P18","Tiene Decidido que no va a ir a votar",0.036,0.033,0.026,0.315,0.196,0.151
"P19","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.821,0.275,0.207,0.509,0.231,0.046
"P19","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.082,0.636,0.29,0.235,0.094,0.317
"P19","En blanco",0.024,0.055,0.314,0.123,0.044,0.525
"P19","No sabe",0.073,0.034,0.189,0.133,0.631,0.112
"P20","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.223,0.613,0.151,0.151,0.157,0.087
"P20","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.169,0.204,0.652,0.3,0.102,0.232
"P20","En blanco",0.28,0.095,0.112,0.313,0.124,0.631
"P20","No sabe",0.328,0.088,0.085,0.236,0.617,0.05
"P21","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.702,0.216,0.107,0.475,0.205,0.081
"P21","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.107,0.352,0.798,0.229,0.286,0.388
"P21","En blanco",0.105,0.261,0.027,0.144,0.014,0.408
"P21","No sabe",0.086,0.171,0.068,0.152,0.495,0.123
"P22","Si",0.478,0.386,0.342,0.217,0.216,0.311
"P22","No",0.522,0.614,0.658,0.783,0.784,0.689
