"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.231,0.236,0.226,0.126,0.21,0.284,0.336,0.255,0.225,0.221,0.213,0.267,0.101,0.377,0.068,0.349,0.277,0.186,6
"Buena",0.249,0.253,0.243,0.324,0.282,0.187,0.158,0.194,0.299,0.231,0.274,0.216,0.183,0.366,0.089,0.357,0.24,0.257,6
"Ni buena ni mala",0.169,0.172,0.166,0.246,0.15,0.176,0.124,0.239,0.146,0.144,0.174,0.229,0.116,0.069,0.11,0.204,0.126,0.211,6
"Mala",0.117,0.119,0.114,0.103,0.112,0.115,0.151,0.149,0.118,0.091,0.133,0.072,0.143,0.022,0.232,0.034,0.138,0.096,6
"Muy mala",0.232,0.22,0.247,0.201,0.246,0.231,0.231,0.163,0.207,0.313,0.206,0.216,0.446,0.166,0.499,0.054,0.215,0.25,6
"No sabe",0.002,0,0.004,0,0,0.007,0,0,0.005,0,0,0,0.011,0,0.002,0.002,0.004,0,6
"Positiva",0.48,0.489,0.469,0.45,0.492,0.471,0.494,0.449,0.524,0.452,0.487,0.483,0.284,0.743,0.157,0.706,0.517,0.443,4
"Neutra",0.169,0.172,0.166,0.246,0.15,0.176,0.124,0.239,0.146,0.144,0.174,0.229,0.116,0.069,0.11,0.204,0.126,0.211,4
"Negativa",0.349,0.339,0.361,0.304,0.358,0.346,0.382,0.312,0.325,0.404,0.339,0.288,0.589,0.188,0.731,0.088,0.353,0.346,4
"No sabe",0.002,0,0.004,0,0,0.007,0,0,0.005,0,0,0,0.011,0,0.002,0.002,0.004,0,4
