"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.339,0.379,0.291,0.37,0.336,0.325,0.332,0.292,0.358,0.351,0.367,0.321,0.156,0.546,0.1,0.508,0.334,0.343,6
"Buena",0.168,0.164,0.172,0.19,0.156,0.161,0.191,0.224,0.138,0.16,0.169,0.205,0.107,0.123,0.101,0.217,0.173,0.162,6
"Ni buena ni mala",0.173,0.157,0.193,0.107,0.196,0.197,0.139,0.242,0.207,0.084,0.187,0.22,0.063,0.078,0.152,0.177,0.177,0.17,6
"Mala",0.099,0.097,0.102,0.121,0.098,0.088,0.097,0.095,0.103,0.098,0.098,0.042,0.196,0.086,0.176,0.04,0.102,0.096,6
"Muy mala",0.206,0.191,0.224,0.212,0.212,0.194,0.201,0.11,0.184,0.303,0.174,0.205,0.391,0.166,0.437,0.056,0.2,0.213,6
"No sabe",0.015,0.012,0.018,0,0.002,0.035,0.04,0.037,0.01,0.004,0.005,0.007,0.087,0.001,0.034,0.002,0.014,0.016,6
"Positiva",0.507,0.543,0.463,0.56,0.492,0.486,0.523,0.516,0.496,0.511,0.536,0.526,0.263,0.669,0.201,0.725,0.507,0.505,4
"Neutra",0.173,0.157,0.193,0.107,0.196,0.197,0.139,0.242,0.207,0.084,0.187,0.22,0.063,0.078,0.152,0.177,0.177,0.17,4
"Negativa",0.305,0.288,0.326,0.333,0.31,0.282,0.298,0.205,0.287,0.401,0.272,0.247,0.587,0.252,0.613,0.096,0.302,0.309,4
"No sabe",0.015,0.012,0.018,0,0.002,0.035,0.04,0.037,0.01,0.004,0.005,0.007,0.087,0.001,0.034,0.002,0.014,0.016,4
