"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.24,0.231,0.25,0.282,0.226,0.214,0.279,0.269,0.229,0.23,0.245,0.168,0.505,0.088,0.534,0.046,0.226,0.253,6
"Buena",0.09,0.09,0.089,0.056,0.076,0.112,0.136,0.104,0.082,0.087,0.072,0.121,0.11,0.069,0.167,0.037,0.083,0.096,6
"Ni buena ni mala",0.084,0.067,0.104,0,0.095,0.118,0.092,0.17,0.06,0.047,0.092,0.065,0.13,0.053,0.046,0.102,0.08,0.088,6
"Mala",0.232,0.223,0.243,0.205,0.219,0.274,0.23,0.21,0.251,0.227,0.231,0.296,0.146,0.278,0.125,0.301,0.27,0.194,6
"Muy mala",0.347,0.387,0.3,0.423,0.381,0.281,0.263,0.247,0.363,0.404,0.349,0.344,0.109,0.512,0.126,0.503,0.339,0.356,6
"No sabe",0.007,0.002,0.014,0.034,0.003,0.001,0,0,0.015,0.005,0.011,0.006,0,0,0.002,0.011,0.002,0.013,6
"Positiva",0.33,0.321,0.339,0.338,0.302,0.326,0.415,0.373,0.311,0.317,0.317,0.289,0.615,0.157,0.701,0.083,0.309,0.349,4
"Neutra",0.084,0.067,0.104,0,0.095,0.118,0.092,0.17,0.06,0.047,0.092,0.065,0.13,0.053,0.046,0.102,0.08,0.088,4
"Negativa",0.579,0.61,0.543,0.628,0.6,0.555,0.493,0.457,0.614,0.631,0.58,0.64,0.255,0.79,0.251,0.804,0.609,0.55,4
"No sabe",0.007,0.002,0.014,0.034,0.003,0.001,0,0,0.015,0.005,0.011,0.006,0,0,0.002,0.011,0.002,0.013,4
