"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.116,0.13,0.099,0.126,0.092,0.137,0.143,0.15,0.109,0.097,0.147,0.097,0.02,0.085,0.038,0.173,0.132,0.099,6
"Buena",0.14,0.159,0.118,0.108,0.106,0.185,0.217,0.097,0.145,0.168,0.14,0.174,0.048,0.219,0.034,0.211,0.137,0.144,6
"Ni buena ni mala",0.34,0.297,0.391,0.352,0.397,0.265,0.269,0.404,0.364,0.265,0.32,0.43,0.244,0.411,0.2,0.435,0.327,0.353,6
"Mala",0.131,0.135,0.126,0.146,0.131,0.122,0.13,0.153,0.127,0.119,0.16,0.073,0.136,0.036,0.223,0.056,0.144,0.119,6
"Muy mala",0.255,0.26,0.25,0.268,0.262,0.247,0.231,0.175,0.245,0.328,0.221,0.218,0.493,0.218,0.482,0.111,0.237,0.273,6
"No sabe",0.018,0.019,0.016,0,0.012,0.044,0.01,0.021,0.01,0.023,0.012,0.008,0.059,0.031,0.023,0.014,0.023,0.012,6
"Positiva",0.256,0.289,0.217,0.234,0.198,0.322,0.36,0.247,0.254,0.265,0.287,0.271,0.068,0.304,0.072,0.384,0.269,0.243,4
"Neutra",0.34,0.297,0.391,0.352,0.397,0.265,0.269,0.404,0.364,0.265,0.32,0.43,0.244,0.411,0.2,0.435,0.327,0.353,4
"Negativa",0.386,0.395,0.376,0.414,0.393,0.369,0.361,0.328,0.372,0.447,0.381,0.291,0.629,0.254,0.705,0.167,0.381,0.392,4
"No sabe",0.018,0.019,0.016,0,0.012,0.044,0.01,0.021,0.01,0.023,0.012,0.008,0.059,0.031,0.023,0.014,0.023,0.012,4
