"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.12,0.131,0.107,0.124,0.101,0.133,0.154,0.142,0.1,0.125,0.136,0.068,0.049,0.248,0.058,0.169,0.137,0.103,6
"Buena",0.184,0.215,0.148,0.181,0.185,0.194,0.168,0.143,0.191,0.208,0.202,0.186,0.075,0.239,0.104,0.243,0.195,0.174,6
"Ni buena ni mala",0.431,0.404,0.463,0.452,0.446,0.412,0.387,0.513,0.432,0.367,0.454,0.51,0.324,0.213,0.356,0.465,0.4,0.461,6
"Mala",0.123,0.107,0.142,0.149,0.119,0.108,0.133,0.061,0.144,0.147,0.121,0.11,0.163,0.06,0.191,0.083,0.126,0.121,6
"Muy mala",0.131,0.133,0.129,0.094,0.145,0.121,0.151,0.114,0.126,0.151,0.086,0.126,0.301,0.209,0.272,0.035,0.134,0.128,6
"No sabe",0.011,0.01,0.011,0,0.004,0.032,0.007,0.027,0.007,0.002,0.001,0,0.088,0.031,0.019,0.005,0.008,0.013,6
"Positiva",0.304,0.346,0.255,0.305,0.286,0.327,0.322,0.285,0.291,0.333,0.338,0.254,0.124,0.487,0.162,0.412,0.332,0.277,4
"Neutra",0.431,0.404,0.463,0.452,0.446,0.412,0.387,0.513,0.432,0.367,0.454,0.51,0.324,0.213,0.356,0.465,0.4,0.461,4
"Negativa",0.254,0.24,0.271,0.243,0.264,0.229,0.284,0.175,0.27,0.298,0.207,0.236,0.464,0.269,0.463,0.118,0.26,0.249,4
"No sabe",0.011,0.01,0.011,0,0.004,0.032,0.007,0.027,0.007,0.002,0.001,0,0.088,0.031,0.019,0.005,0.008,0.013,4
