"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.191,0.199,0.182,0.189,0.209,0.17,0.168,0.266,0.187,0.136,0.276,0.098,0.076,0.099,0.225,0.16,0.185,0.197,6
"Buena",0.226,0.231,0.221,0.093,0.255,0.238,0.31,0.233,0.223,0.225,0.26,0.235,0.21,0.279,0.252,0.218,0.204,0.248,6
"Ni buena ni mala",0.388,0.365,0.413,0.423,0.365,0.398,0.401,0.34,0.382,0.436,0.336,0.467,0.533,0.315,0.375,0.401,0.415,0.362,6
"Mala",0.115,0.118,0.112,0.199,0.107,0.086,0.064,0.098,0.127,0.113,0.086,0.105,0.062,0.167,0.08,0.139,0.124,0.106,6
"Muy mala",0.045,0.043,0.048,0.08,0.046,0.029,0.017,0.037,0.056,0.037,0.025,0.056,0.075,0.077,0.044,0.043,0.041,0.049,6
"No sabe",0.035,0.044,0.024,0.016,0.018,0.079,0.04,0.026,0.025,0.053,0.017,0.039,0.044,0.063,0.024,0.039,0.031,0.038,6
"Positiva",0.417,0.43,0.403,0.282,0.464,0.408,0.478,0.499,0.41,0.361,0.536,0.333,0.286,0.378,0.477,0.378,0.389,0.445,4
"Neutra",0.388,0.365,0.413,0.423,0.365,0.398,0.401,0.34,0.382,0.436,0.336,0.467,0.533,0.315,0.375,0.401,0.415,0.362,4
"Negativa",0.16,0.161,0.16,0.279,0.153,0.115,0.081,0.135,0.183,0.15,0.111,0.161,0.137,0.244,0.124,0.182,0.165,0.155,4
"No sabe",0.035,0.044,0.024,0.016,0.018,0.079,0.04,0.026,0.025,0.053,0.017,0.039,0.044,0.063,0.024,0.039,0.031,0.038,4
