"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.099,0.073,0.129,0.149,0.08,0.106,0.081,0.149,0.101,0.058,0.073,0.218,0.139,0.067,0.113,0.092,0.073,0.124,6
"Buena",0.14,0.152,0.127,0.067,0.147,0.164,0.17,0.165,0.145,0.116,0.093,0.318,0.095,0.032,0.149,0.13,0.129,0.152,6
"Ni buena ni mala",0.416,0.399,0.437,0.386,0.406,0.439,0.448,0.382,0.402,0.459,0.46,0.323,0.39,0.37,0.415,0.419,0.413,0.419,6
"Mala",0.188,0.221,0.148,0.237,0.195,0.16,0.15,0.15,0.184,0.221,0.218,0.026,0.262,0.246,0.173,0.193,0.2,0.176,6
"Muy mala",0.127,0.134,0.118,0.15,0.159,0.089,0.061,0.106,0.145,0.122,0.14,0.076,0.061,0.25,0.111,0.144,0.16,0.094,6
"No sabe",0.03,0.021,0.041,0.011,0.013,0.042,0.09,0.048,0.023,0.024,0.016,0.039,0.053,0.035,0.039,0.022,0.025,0.035,6
"Positiva",0.239,0.225,0.256,0.216,0.227,0.27,0.251,0.314,0.246,0.174,0.166,0.536,0.234,0.099,0.262,0.222,0.202,0.276,4
"Neutra",0.416,0.399,0.437,0.386,0.406,0.439,0.448,0.382,0.402,0.459,0.46,0.323,0.39,0.37,0.415,0.419,0.413,0.419,4
"Negativa",0.315,0.355,0.266,0.387,0.354,0.249,0.211,0.256,0.329,0.343,0.358,0.102,0.323,0.496,0.284,0.337,0.36,0.27,4
"No sabe",0.03,0.021,0.041,0.011,0.013,0.042,0.09,0.048,0.023,0.024,0.016,0.039,0.053,0.035,0.039,0.022,0.025,0.035,4
