"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.328,0.336,0.318,0.371,0.348,0.296,0.264,0.305,0.342,0.329,0.347,0.322,0.215,0.435,0.061,0.511,0.347,0.309,6
"Buena",0.172,0.194,0.146,0.142,0.166,0.187,0.2,0.126,0.222,0.149,0.204,0.162,0.043,0.135,0.113,0.218,0.159,0.184,6
"Ni buena ni mala",0.14,0.114,0.17,0.229,0.104,0.142,0.147,0.21,0.127,0.103,0.12,0.162,0.129,0.08,0.13,0.133,0.132,0.148,6
"Mala",0.116,0.117,0.115,0.08,0.136,0.098,0.128,0.148,0.112,0.097,0.111,0.093,0.159,0.184,0.214,0.049,0.135,0.098,6
"Muy mala",0.236,0.239,0.234,0.178,0.246,0.248,0.256,0.187,0.193,0.322,0.207,0.261,0.443,0.166,0.48,0.078,0.222,0.25,6
"No sabe",0.008,0,0.017,0,0,0.029,0.005,0.024,0.004,0,0.011,0,0.011,0,0.002,0.011,0.005,0.011,6
"Positiva",0.5,0.53,0.464,0.513,0.514,0.483,0.464,0.431,0.564,0.478,0.551,0.484,0.258,0.57,0.174,0.729,0.506,0.493,4
"Neutra",0.14,0.114,0.17,0.229,0.104,0.142,0.147,0.21,0.127,0.103,0.12,0.162,0.129,0.08,0.13,0.133,0.132,0.148,4
"Negativa",0.352,0.356,0.349,0.258,0.382,0.346,0.384,0.335,0.305,0.419,0.318,0.354,0.602,0.35,0.694,0.127,0.357,0.348,4
"No sabe",0.008,0,0.017,0,0,0.029,0.005,0.024,0.004,0,0.011,0,0.011,0,0.002,0.011,0.005,0.011,4
