"var","categoria","Sergio Massa presidente por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","No sabe"
"P05","Tengo trabajo estable",0.555,0.483,0.515
"P05","Realizo changas o trabajos de vez en cuando",0.15,0.152,0.232
"P05","No tengo trabajo",0.082,0.134,0.142
"P05","Soy jubilado o pensionado",0.213,0.231,0.111
"P06","1",0.147,0.404,0.245
"P06","2",0.045,0.066,0.068
"P06","3",0.033,0.08,0.036
"P06","4",0.043,0.093,0.042
"P06","5",0.163,0.205,0.281
"P06","6",0.069,0.039,0.057
"P06","7",0.165,0.035,0.054
"P06","8",0.077,0.021,0.036
"P06","9",0.258,0.057,0.181
"P07","1",0.439,0.147,0.297
"P07","2",0.093,0.027,0.041
"P07","3",0.053,0.02,0.031
"P07","4",0.05,0.034,0.032
"P07","5",0.144,0.199,0.231
"P07","6",0.03,0.061,0.057
"P07","7",0.047,0.087,0.069
"P07","8",0.022,0.102,0.052
"P07","9",0.122,0.323,0.19
"P08","1",0.637,0.205,0.366
"P08","2",0.024,0.032,0.028
"P08","3",0.023,0.031,0.045
"P08","4",0.034,0.022,0.016
"P08","5",0.092,0.151,0.093
"P08","6",0.008,0.023,0.018
"P08","7",0.007,0.047,0.04
"P08","8",0.022,0.043,0.025
"P08","9",0.153,0.446,0.369
"P10","Del Frente de Todos y el peronismo",0.815,0.03,0.266
"P10","De Cambiemos",0.047,0.635,0.167
"P10","De los Liberales libertarios",0.024,0.269,0.238
"P10","De la Izquierda",0.031,0.006,0.064
"P10","No sabe",0.083,0.06,0.265
"P11","A Alberto Fernández",0.108,0.274,0.115
"P11","A Sergio Massa",0.292,0.059,0.13
"P11","A algún candidato del peronismo",0.077,0.551,0.187
"P11","A algún candidato del kirchnerismo",0.523,0.116,0.568
"P12","A Alberto Fernández",0.06,0.203,0.082
"P12","A Sergio Massa",0.137,0.059,0.046
"P12","A algún candidato del peronismo",0.081,0.484,0.152
"P12","A Cristina Fernández de Kirchner",0.722,0.254,0.72
"P13","A Horacio Rodriguez Larreta",0.511,0.241,0.447
"P13","A Mauricio Macri",0.167,0.288,0.332
"P13","A Patricia Bullrich",0.072,0.44,0.044
"P13","A Facundo Manes",0.226,0.022,0.126
"P13","A Gerardo Morales",0.024,0.009,0.051
"P14","Seguro lo votaria",0.125,0.146,0.127
"P14","Quizás lo votaría",0.431,0.352,0.352
"P14","Nunca lo votaría",0.444,0.502,0.521
"P15","Lo votaría",0.741,0.02,0.252
"P15","Puede que lo vote",0.096,0.026,0.079
"P15","Nunca lo votaría",0.081,0.933,0.557
"P15","No sabe",0.082,0.021,0.112
"P16","Lo votaría",0.303,0.015,0.101
"P16","Puede que lo vote",0.414,0.059,0.167
"P16","Nunca lo votaría",0.156,0.892,0.565
"P16","No sabe",0.127,0.034,0.167
"P17","Lo votaría",0.047,0.339,0.082
"P17","Puede que lo vote",0.138,0.385,0.184
"P17","Nunca lo votaría",0.761,0.229,0.575
"P17","No sabe",0.054,0.047,0.159
"P18","Lo votaría",0.014,0.308,0.034
"P18","Puede que lo vote",0.048,0.385,0.175
"P18","Nunca lo votaría",0.835,0.22,0.598
"P18","No sabe",0.103,0.087,0.193
"P19","Lo votaría",0.398,0.046,0.048
"P19","Puede que lo vote",0.427,0.061,0.228
"P19","Nunca lo votaría",0.144,0.867,0.626
"P19","No sabe",0.031,0.026,0.098
"P20","Lo votaría",0.052,0.073,0.028
"P20","Puede que lo vote",0.144,0.251,0.115
"P20","Nunca lo votaría",0.609,0.513,0.663
"P20","No sabe",0.195,0.163,0.194
"P21","Lo votaría",0.022,0.345,0.177
"P21","Puede que lo vote",0.054,0.36,0.136
"P21","Nunca lo votaría",0.855,0.226,0.556
"P21","No sabe",0.069,0.069,0.131
"P22","Lo votaría",0.01,0.058,0.057
"P22","Puede que lo vote",0.041,0.146,0.071
"P22","Nunca lo votaría",0.701,0.503,0.585
"P22","No sabe",0.248,0.293,0.287
"P23","Mauricio Macri presidente – Cristian Ritondo gobernador por Juntos por el Cambio",0.021,0.258,0.064
"P23","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.038,0.141,0.085
"P23","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.023,0.303,0.046
"P23","Alberto Fernández presidente – Gabriel Katopodis gobernador por el Frente de Todos",0.058,0.015,0.055
"P23","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.62,0.021,0.25
"P23","Cristina Fernández de Kirchner presidenta  - Sergio Massa gobernador por el Frente de Todos",0.166,0.034,0.096
"P23","Javier Milei presidente - José Luis Espert gobernador por los liberales",0.015,0.201,0.215
"P23","A los candidatos de la izquierda",0.022,0.002,0.043
"P23","Otros candidatos",0.037,0.025,0.146
"P24","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.019,0.464,0.064
"P24","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.051,0.206,0.111
"P24","Alberto Fernández presidente – Gabriel Katopodis gobernador por el Frente de Todos",0.145,0.027,0.092
"P24","Sergio Massa presidente – Axel Kicillof Gobernador",0.665,0.018,0.122
"P24","Javier Milei presidente - José Luis Espert gobernador por los liberales",0.038,0.221,0.253
