"var","categoria","Cristina Fernandez de Kirchner por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","No sabe"
"P05","Tengo trabajo estable",0.546,0.491,0.505
"P05","Realizo changas o trabajos de vez en cuando",0.166,0.151,0.199
"P05","No tengo trabajo",0.085,0.127,0.167
"P05","Soy jubilado o pensionado",0.203,0.231,0.129
"P06","1",0.148,0.395,0.32
"P06","2",0.047,0.068,0.063
"P06","3",0.034,0.07,0.06
"P06","4",0.031,0.086,0.087
"P06","5",0.152,0.215,0.27
"P06","6",0.067,0.04,0.052
"P06","7",0.171,0.035,0.025
"P06","8",0.074,0.022,0.03
"P06","9",0.276,0.069,0.093
"P07","1",0.463,0.171,0.153
"P07","2",0.085,0.027,0.045
"P07","3",0.052,0.026,0.016
"P07","4",0.036,0.04,0.037
"P07","5",0.139,0.215,0.215
"P07","6",0.033,0.066,0.048
"P07","7",0.043,0.083,0.093
"P07","8",0.026,0.083,0.101
"P07","9",0.123,0.289,0.292
"P08","1",0.652,0.223,0.246
"P08","2",0.024,0.031,0.032
"P08","3",0.025,0.03,0.043
"P08","4",0.026,0.018,0.035
"P08","5",0.085,0.154,0.105
"P08","6",0.006,0.018,0.032
"P08","7",0.011,0.044,0.048
"P08","8",0.02,0.049,0.02
"P08","9",0.151,0.433,0.439
"P10","Del Frente de Todos y el peronismo",0.841,0.033,0.081
"P10","De Cambiemos",0.026,0.674,0.223
"P10","De los Liberales libertarios",0.024,0.213,0.41
"P10","De la Izquierda",0.038,0.01,0.042
"P10","No sabe",0.071,0.07,0.244
"P11","A Alberto Fernández",0.103,0.251,0.169
"P11","A Sergio Massa",0.255,0.16,0.308
"P11","A algún candidato del peronismo",0.094,0.471,0.249
"P11","A algún candidato del kirchnerismo",0.548,0.118,0.274
"P12","A Alberto Fernández",0.047,0.206,0.295
"P12","A Sergio Massa",0.113,0.16,0.147
"P12","A algún candidato del peronismo",0.091,0.511,0.153
"P12","A Cristina Fernández de Kirchner",0.749,0.123,0.405
"P13","A Horacio Rodriguez Larreta",0.407,0.29,0.137
"P13","A Mauricio Macri",0.176,0.265,0.46
"P13","A Patricia Bullrich",0.044,0.405,0.31
"P13","A Facundo Manes",0.334,0.03,0.055
"P13","A Gerardo Morales",0.039,0.01,0.038
"P14","Seguro lo votaria",0.131,0.149,0.119
"P14","Quizás lo votaría",0.374,0.355,0.336
"P14","Nunca lo votaría",0.495,0.496,0.545
"P15","Lo votaría",0.773,0.021,0.068
"P15","Puede que lo vote",0.085,0.035,0.058
"P15","Nunca lo votaría",0.058,0.914,0.79
"P15","No sabe",0.084,0.03,0.084
"P16","Lo votaría",0.298,0.025,0.042
"P16","Puede que lo vote",0.403,0.071,0.111
"P16","Nunca lo votaría",0.161,0.869,0.726
"P16","No sabe",0.138,0.035,0.121
"P17","Lo votaría",0.03,0.386,0.062
"P17","Puede que lo vote",0.105,0.398,0.247
"P17","Nunca lo votaría",0.799,0.173,0.552
"P17","No sabe",0.066,0.043,0.139
"P18","Lo votaría",0.011,0.315,0.081
"P18","Puede que lo vote",0.045,0.389,0.21
"P18","Nunca lo votaría",0.846,0.207,0.508
"P18","No sabe",0.098,0.089,0.201
"P19","Lo votaría",0.329,0.055,0.09
"P19","Puede que lo vote",0.424,0.079,0.126
"P19","Nunca lo votaría",0.203,0.834,0.723
"P19","No sabe",0.044,0.032,0.061
"P20","Lo votaría",0.044,0.074,0.035
"P20","Puede que lo vote",0.146,0.256,0.112
"P20","Nunca lo votaría",0.63,0.517,0.605
"P20","No sabe",0.18,0.153,0.248
"P21","Lo votaría",0.027,0.304,0.318
"P21","Puede que lo vote",0.035,0.352,0.227
"P21","Nunca lo votaría",0.863,0.268,0.342
"P21","No sabe",0.075,0.076,0.113
"P22","Lo votaría",0.007,0.061,0.065
"P22","Puede que lo vote",0.038,0.146,0.08
"P22","Nunca lo votaría",0.714,0.511,0.513
"P22","No sabe",0.241,0.282,0.342
