"var","categoria","Julieta Corroza por Comunidad","Sergio Soto por el MPN","Luis Bertolini por Desarrollo Ciudadano","Andrés Peressini por Iguales","Karina Ortiz por el PJ","No sabe"
"P05","Mucho",0.375,0.231,0.334,0.28,0.398,0.31
"P05","Bastante",0.357,0.396,0.205,0.341,0.299,0.19
"P05","Poco",0.205,0.157,0.319,0.146,0.069,0.228
"P05","Nada",0.051,0.216,0.044,0.149,0.164,0.165
"P05","No sabe",0.012,0,0.098,0.084,0.07,0.107
"P06","Comunidad",0.676,0.185,0.249,0.244,0.112,0.051
"P06","MPN",0.057,0.571,0.165,0.17,0.039,0.074
"P06","Desarrollo Ciudadano",0.035,0,0.312,0,0.07,0.077
"P06","Partido Justicialista",0.028,0.106,0.007,0.107,0.37,0.016
"P06","Iguales",0,0.009,0,0.263,0.037,0.06
"P06","Otro",0.031,0.02,0.125,0.06,0.121,0.216
"P06","No sabe",0.173,0.109,0.142,0.156,0.251,0.506
"P11","Julieta Corroza por Comunidad",0.554,0.241,0.356,0.211,0.146,0.064
"P11","Sergio Soto por el MPN",0.076,0.453,0.07,0.075,0.184,0.037
"P11","Luis Bertolini por Desarrollo Ciudadano",0.079,0.122,0.325,0.07,0.102,0.012
"P11","Andrés Peressini por Iguales",0.177,0.088,0.04,0.401,0.065,0.033
"P11","Karina Ortiz por el PJ",0.009,0.096,0.008,0.042,0.284,0.047
"P11","No sabe",0.105,0,0.201,0.201,0.219,0.807
"P15","Lo votaría",0.809,0.177,0.159,0.196,0.096,0.02
"P15","Puede que lo vote",0.157,0.452,0.297,0.032,0.295,0.117
"P15","Nunca lo votaría",0.014,0.281,0.344,0.565,0.422,0.356
"P15","No sabe",0.02,0.09,0.2,0.207,0.187,0.507
"P16","Lo votaría",0.121,0.666,0.039,0.153,0.141,0.045
"P16","Puede que lo vote",0.096,0.141,0.106,0,0.177,0.034
"P16","Nunca lo votaría",0.705,0.15,0.758,0.627,0.614,0.493
"P16","No sabe",0.078,0.043,0.097,0.22,0.068,0.428
"P17","Lo votaría",0.027,0.243,0.451,0.063,0.155,0.007
"P17","Puede que lo vote",0.242,0.284,0.189,0.11,0.07,0.052
"P17","Nunca lo votaría",0.551,0.328,0.192,0.53,0.56,0.482
"P17","No sabe",0.18,0.145,0.168,0.297,0.215,0.459
"P18","Lo votaría",0.074,0.264,0.16,0.521,0.103,0.045
"P18","Puede que lo vote",0.23,0.163,0.181,0.15,0.277,0.082
"P18","Nunca lo votaría",0.562,0.335,0.628,0.095,0.566,0.462
"P18","No sabe",0.134,0.238,0.031,0.234,0.054,0.411
"P19","Lo votaría",0.111,0.124,0.124,0.089,0.474,0
"P19","Puede que lo vote",0.092,0.291,0.162,0.089,0.308,0.037
"P19","Nunca lo votaría",0.641,0.294,0.623,0.463,0.125,0.502
"P19","No sabe",0.156,0.291,0.091,0.359,0.093,0.461
"P20","Si",0.528,0.491,0.224,0.283,0.375,0.12
"P20","No",0.472,0.509,0.776,0.717,0.625,0.88
