"var","categoria","Comunidad","MPN","Desarrollo Ciudadano","Partido Justicialista","Iguales","Otro","No sabe"
"P05","Mucho",0.458,0.219,0.365,0.407,0.279,0.477,0.207
"P05","Bastante",0.267,0.434,0.204,0.385,0.258,0.166,0.239
"P05","Poco",0.172,0.24,0.385,0,0.302,0.155,0.189
"P05","Nada",0.084,0.062,0.016,0.208,0.05,0.102,0.249
"P05","No sabe",0.019,0.045,0.03,0,0.111,0.1,0.116
"P07","Julieta Corroza por Comunidad",0.55,0.075,0.075,0.093,0,0.051,0.122
"P07","Sergio Soto por el MPN",0.093,0.461,0,0.217,0.025,0.02,0.047
"P07","Luis Bertolini por Desarrollo Ciudadano",0.173,0.184,0.574,0.021,0,0.176,0.085
"P07","Andrés Peressini por Iguales",0.078,0.088,0,0.142,0.452,0.039,0.044
"P07","Karina Ortiz por el PJ",0.032,0.018,0.053,0.429,0.056,0.07,0.062
"P07","No sabe",0.074,0.174,0.298,0.098,0.467,0.644,0.64
"P11","Julieta Corroza por Comunidad",0.495,0.241,0.21,0.298,0.063,0.115,0.131
"P11","Sergio Soto por el MPN",0.026,0.363,0.035,0.123,0.115,0.111,0.08
"P11","Luis Bertolini por Desarrollo Ciudadano",0.157,0.055,0.265,0.097,0,0.025,0.067
"P11","Andrés Peressini por Iguales",0.115,0.165,0.026,0.145,0.33,0,0.081
"P11","Karina Ortiz por el PJ",0.005,0.017,0.04,0.13,0.025,0,0.135
"P11","No sabe",0.202,0.159,0.424,0.207,0.467,0.749,0.506
"P15","Lo votaría",0.665,0.197,0.043,0.072,0.029,0.026,0.129
"P15","Puede que lo vote",0.098,0.455,0.245,0.346,0.065,0.233,0.12
"P15","Nunca lo votaría",0.169,0.194,0.506,0.284,0.657,0.599,0.224
"P15","No sabe",0.068,0.154,0.206,0.298,0.249,0.142,0.527
"P16","Lo votaría",0.138,0.457,0.022,0.306,0.058,0.026,0.066
"P16","Puede que lo vote",0.04,0.169,0.017,0.027,0.084,0.152,0.064
"P16","Nunca lo votaría",0.725,0.241,0.903,0.399,0.662,0.708,0.432
"P16","No sabe",0.097,0.133,0.058,0.268,0.196,0.114,0.438
"P17","Lo votaría",0.179,0.111,0.465,0.224,0,0,0.032
"P17","Puede que lo vote",0.17,0.218,0.078,0.058,0.107,0.146,0.144
"P17","Nunca lo votaría",0.492,0.456,0.2,0.294,0.646,0.668,0.358
"P17","No sabe",0.159,0.215,0.257,0.424,0.247,0.186,0.466
"P18","Lo votaría",0.142,0.225,0.048,0.198,0.476,0.026,0.104
"P18","Puede que lo vote",0.168,0.224,0.033,0.068,0.172,0.182,0.159
"P18","Nunca lo votaría",0.568,0.358,0.842,0.374,0.152,0.674,0.3
"P18","No sabe",0.122,0.193,0.077,0.36,0.2,0.118,0.437
"P19","Lo votaría",0.089,0.146,0.067,0.321,0.027,0.051,0.075
"P19","Puede que lo vote",0.185,0.095,0.033,0.188,0.033,0.07,0.13
"P19","Nunca lo votaría",0.568,0.426,0.801,0.116,0.653,0.735,0.31
"P19","No sabe",0.158,0.333,0.099,0.375,0.287,0.144,0.485
"P20","Si",0.571,0.273,0.379,0.503,0.135,0.135,0.077
"P20","No",0.429,0.727,0.621,0.497,0.865,0.865,0.923
