"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","En blanco"
"P05","Mucho",0.452,0.322,0.337,0.339,0.206,0.521
"P05","Bastante",0.315,0.414,0.378,0.347,0.442,0.134
"P05","Poco",0.154,0.181,0.198,0.308,0.157,0.226
"P05","Nada",0.067,0.065,0.066,0.006,0.176,0.093
"P05","No sabe",0.012,0.018,0.021,0,0.019,0.026
"P06","Siempre",0.261,0.187,0.201,0.113,0.09,0.159
"P06","Casi siempre",0.329,0.414,0.309,0.571,0.43,0.151
"P06","Casi nunca",0.26,0.296,0.379,0.31,0.304,0.549
"P06","Nunca, pero esta es una excepción",0.15,0.103,0.111,0.006,0.176,0.141
"P08","Unidos para Cambiar jujuy",0.617,0.094,0.061,0,0.065,0
"P08","Juntos Avancemos",0.152,0.671,0.077,0.055,0.037,0.081
"P08","De los liberales libertarios",0.124,0.107,0.575,0.063,0.02,0.04
"P08","De la Izquierda",0.001,0.042,0.029,0.689,0,0.061
"P08","Hacemos por nuestro país",0.006,0.012,0.107,0.006,0.606,0.099
"P08","En blanco",0.034,0.013,0.022,0.052,0.041,0.579
"P08","No sabe",0.066,0.061,0.129,0.135,0.231,0.14
"P14","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.163,0.477,0.58,0.28,0.409,0.318
"P14","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.168,0.271,0.167,0.25,0.031,0.159
"P14","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.487,0.158,0.107,0.081,0.192,0.154
"P14","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.102,0.033,0.082,0.276,0.049,0.034
"P14","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.023,0.025,0.012,0.065,0.209,0.047
"P14","No sabe",0.057,0.036,0.052,0.048,0.11,0.288
"P15","Totalmente seguro.",0.642,0.652,0.74,0.58,0.321,0.341
"P15","Bastante seguro",0.152,0.142,0.116,0.08,0.097,0.124
"P15","Algo seguro",0.145,0.133,0.084,0.206,0.207,0.089
"P15","Para nada seguro",0.061,0.073,0.06,0.134,0.375,0.446
"P16","Tiene Decidido que va a ir a votar.",0.913,0.894,0.91,0.719,0.641,0.759
"P16","Tiene dudas sobre si va a ir a  votar",0.045,0.074,0.061,0.174,0.294,0.127
"P16","Tiene Decidido que no va a ir a votar",0.042,0.032,0.029,0.107,0.065,0.114
"P17","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.883,0.216,0.266,0.253,0.301,0.289
"P17","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.054,0.664,0.222,0.183,0.135,0.1
"P17","En blanco",0.035,0.062,0.289,0.067,0.088,0.495
"P17","No sabe",0.028,0.058,0.223,0.497,0.476,0.116
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.274,0.693,0.173,0.161,0.213,0.327
"P18","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.105,0.193,0.655,0.092,0.163,0.015
"P18","En blanco",0.399,0.09,0.103,0.412,0.08,0.326
"P18","No sabe",0.222,0.024,0.069,0.335,0.544,0.332
"P19","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.766,0.22,0.167,0.274,0.121,0.013
"P19","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.082,0.304,0.701,0.168,0.36,0.271
"P19","En blanco",0.115,0.309,0.07,0.308,0.102,0.6
"P19","No sabe",0.037,0.167,0.062,0.25,0.417,0.116
"P20","Si",0.497,0.317,0.395,0.289,0.152,0.135
"P20","No",0.503,0.683,0.605,0.711,0.848,0.865
