"var","categoria","Si","No","No sabe"
"P04","Tengo trabajo estable",0.473,0.365,0.333
"P04","Realizo changas o trabajos de vez en cuando",0.197,0.169,0.236
"P04","No tengo trabajo",0.142,0.288,0.197
"P04","Soy jubilado o pensionado",0.188,0.178,0.234
"P05","Derecha",0.171,0.287,0.238
"P05","Centro derecha",0.175,0.19,0.186
"P05","Centro izquierda",0.219,0.1,0.094
"P05","Izquierda",0.108,0.087,0.088
"P05","No sabe",0.327,0.336,0.394
"P06","Muy importante",0.674,0.55,0.556
"P06","Algo importante",0.176,0.157,0.196
"P06","Nada importante",0.104,0.229,0.131
"P06","No sabe",0.046,0.064,0.117
"P07","Estoy de acuerdo",0.466,0.297,0.32
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.34,0.403,0.376
"P07","No estoy de acuerdo",0.145,0.25,0.23
"P07","No sabe",0.049,0.05,0.074
"P08","Frente de Todos y el peronismo",0.436,0.141,0.143
"P08","Cambiemos",0.249,0.36,0.379
"P08","Liberales",0.197,0.396,0.288
"P08","Izquierda",0.032,0.011,0.026
"P08","No sabe",0.086,0.092,0.164
"P10","Lo votaría",0.286,0.326,0.275
"P10","Puede que lo vote",0.395,0.184,0.32
"P10","Nunca lo votaría",0.223,0.444,0.256
"P10","No sabe",0.096,0.046,0.149
"P11","Lo votaría",0.409,0.368,0.203
"P11","Puede que lo vote",0.373,0.249,0.286
"P11","Nunca lo votaría",0.154,0.357,0.426
"P11","No sabe",0.064,0.026,0.085
"P12","Lo votaría",0.401,0.432,0.358
"P12","Puede que lo vote",0.424,0.377,0.44
"P12","Nunca lo votaría",0.119,0.135,0.108
"P12","No sabe",0.056,0.056,0.094
"P13","Lo votaría",0.246,0.268,0.193
"P13","Puede que lo vote",0.353,0.299,0.387
"P13","Nunca lo votaría",0.31,0.387,0.279
"P13","No sabe",0.091,0.046,0.141
"P14","La votaría",0.485,0.642,0.624
"P14","Puede que la vote",0.28,0.219,0.208
"P14","Nunca la votaría",0.177,0.107,0.093
"P14","No sabe",0.058,0.032,0.075
"P15","Lo votaría",0.16,0.237,0.127
"P15","Puede que lo vote",0.255,0.243,0.308
"P15","Nunca lo votaría",0.538,0.501,0.432
"P15","No sabe",0.047,0.019,0.133
"P16","Sí, lo votaría",0.278,0.466,0.423
"P16","Puede que lo vote",0.109,0.169,0.16
"P16","Nunca lo votaría",0.579,0.298,0.327
"P16","No sabe",0.034,0.067,0.09
"P17","Sí, la votaría",0.388,0.134,0.159
"P17","Puede que la vote",0.105,0.036,0.075
"P17","Nunca la votaría",0.483,0.806,0.702
"P17","No sabe",0.024,0.024,0.064
"P18","Cristina Fernández de Kirchner por el Frente de Todos",0.418,0.104,0.14
"P18","Mauricio Macri por Cambiemos",0.197,0.323,0.329
"P18","Javier Milei por los liberales",0.194,0.392,0.277
"P18","Nicolás del Caño por la izquierda",0.022,0.014,0.017
"P18","Otro candidato",0.169,0.167,0.237
"P19","Horacio Rodríguez Larreta por Cambiemos",0.245,0.297,0.288
"P19","Alberto Fernández por el Frente de Todos",0.341,0.104,0.111
"P19","Javier Milei por los liberales",0.191,0.403,0.304
"P19","Nicolás del Caño por la izquierda",0.032,0.014,0.021
"P19","Otro candidato",0.191,0.182,0.276
"P20","Mauricio Macri presidente Javier Milei vice",0.298,0.564,0.439
"P20","Sergio Massa presidente Gerardo Morales vice",0.196,0.092,0.075
"P20","Nicolas del Caño presidente Myriam Bregman vice",0.081,0.042,0.056
"P20","No sabe",0.425,0.302,0.43
"P21","Mauricio Macri presidente Patricia Bullrich vice",0.217,0.401,0.371
"P21","Alberto Fernández presidente Sergio Massa vice",0.21,0.066,0.068
"P21","Javier Milei presidente José Luis Espert vice",0.147,0.304,0.233
"P21","Horacio Rodríguez Larreta presidente Gerardo Morales vice",0.116,0.109,0.153
"P21","Cristina Fernández de Kirchner presidenta Jorge Capitanich vice",0.22,0.031,0.07
"P21","Otros candidatos",0.09,0.089,0.105
"P22","Muy buena",0.097,0.043,0.054
"P22","Buena",0.206,0.072,0.024
"P22","Ni buena ni mala",0.177,0.055,0.196
"P22","Mala",0.165,0.128,0.151
"P22","Muy mala",0.344,0.693,0.548
"P22","No sabe",0.011,0.009,0.027
"P24","El kirchnerismo",0.428,0.514,0.471
"P24","Cambiemos",0.197,0.201,0.06
"P24","Los medios de comunicación",0.202,0.061,0.195
"P24","Otros",0.069,0.159,0.103
"P24","No sabe",0.104,0.065,0.171
"P25","Sin deuda",0.295,0.215,0.271
"P25","Menos de 10%",0.175,0.138,0.151
"P25","Entre 10 y 20%",0.147,0.127,0.142
"P25","Entre 20 y 30%",0.095,0.106,0.111
"P25","Entre 30 y 40%",0.097,0.126,0.092
"P25","Mas del 40%",0.15,0.257,0.176
"P25","No sabe",0.041,0.031,0.057
"P26","Gran excedente habitual",0.011,0.002,0.006
"P26","Gran excedente excepcional",0.009,0.006,0.012
"P26","Pequeño excedente habitual",0.082,0.057,0.032
"P26","Pequeño excedente excepcional",0.075,0.055,0.053
"P26","Alcanza gastos familia",0.179,0.121,0.125
"P26","No alcanza gastos familia",0.156,0.173,0.201
"P26","Solo NBFamiliares",0.249,0.244,0.271
"P26","No alcanza NBFamiliares",0.228,0.332,0.283
"P26","No sabe",0.011,0.01,0.017
"P27","Muy buena",0.051,0.042,0.029
"P27","Buena",0.177,0.113,0.121
"P27","Ni buena ni mala",0.418,0.303,0.422
"P27","Mala",0.263,0.344,0.289
"P27","Muy mala",0.078,0.186,0.125
"P27","No sabe",0.013,0.012,0.014
"P28","Mejor",0.155,0.073,0.069
"P28","Igual",0.316,0.152,0.201
"P28","Peor",0.495,0.732,0.696
"P28","No sabe",0.034,0.043,0.034
"P29","Mejor",0.176,0.049,0.052
"P29","Igual",0.28,0.147,0.213
"P29","Peor",0.445,0.746,0.6
"P29","No sabe",0.099,0.058,0.135
"P30","Muy buena",0.045,0.056,0.033
"P30","Buena",0.1,0.03,0.037
"P30","Ni buena ni mala",0.186,0.051,0.088
"P30","Mala",0.31,0.191,0.278
"P30","Muy mala",0.346,0.67,0.552
"P30","No sabe",0.013,0.002,0.012
"P31","Muy buena",0.286,0.082,0.074
"P31","Buena",0.114,0.024,0.067
"P31","Ni buena ni mala",0.095,0.028,0.094
"P31","Mala",0.07,0.095,0.091
"P31","Muy mala",0.431,0.77,0.652
"P31","No sabe",0.004,0.001,0.022
"P32","Muy buena",0.113,0.032,0.027
"P32","Buena",0.202,0.063,0.073
"P32","Ni buena ni mala",0.182,0.063,0.152
"P32","Mala",0.145,0.106,0.212
"P32","Muy mala",0.354,0.735,0.518
"P32","No sabe",0.004,0.001,0.018
"P33","Muy buena",0.068,0.03,0.031
"P33","Buena",0.146,0.042,0.043
"P33","Ni buena ni mala",0.251,0.083,0.193
"P33","Mala",0.18,0.178,0.213
"P33","Muy mala",0.321,0.637,0.467
"P33","No sabe",0.034,0.03,0.053
"P34","Muy buena",0.227,0.086,0.076
"P34","Buena",0.146,0.054,0.072
"P34","Ni buena ni mala",0.132,0.043,0.133
"P34","Mala",0.094,0.093,0.135
"P34","Muy mala",0.383,0.706,0.525
"P34","No sabe",0.018,0.018,0.059
"P35","Muy buena",0.096,0.189,0.122
"P35","Buena",0.114,0.184,0.211
"P35","Ni buena ni mala",0.161,0.208,0.228
"P35","Mala",0.175,0.165,0.172
"P35","Muy mala",0.446,0.246,0.241
"P35","No sabe",0.008,0.008,0.026
"P36","Muy buena",0.107,0.172,0.102
"P36","Buena",0.167,0.21,0.238
"P36","Ni buena ni mala",0.227,0.24,0.296
"P36","Mala",0.181,0.132,0.123
"P36","Muy mala",0.279,0.214,0.153
"P36","No sabe",0.039,0.032,0.088
"P37","Muy buena",0.101,0.19,0.149
"P37","Buena",0.162,0.213,0.221
"P37","Ni buena ni mala",0.174,0.206,0.254
"P37","Mala",0.15,0.156,0.147
"P37","Muy mala",0.391,0.217,0.178
"P37","No sabe",0.022,0.018,0.051
"P38","Muy buena",0.135,0.297,0.179
"P38","Buena",0.119,0.145,0.171
"P38","Ni buena ni mala",0.208,0.245,0.304
"P38","Mala",0.113,0.082,0.109
"P38","Muy mala",0.368,0.195,0.168
"P38","No sabe",0.057,0.036,0.069
"P39","Muy buena",0.189,0.399,0.328
"P39","Buena",0.145,0.192,0.214
"P39","Ni buena ni mala",0.136,0.144,0.172
"P39","Mala",0.095,0.084,0.064
"P39","Muy mala",0.403,0.149,0.158
"P39","No sabe",0.032,0.032,0.064
"P40","Muy buena",0.064,0.031,0.01
"P40","Buena",0.172,0.096,0.108
"P40","Ni buena ni mala",0.296,0.176,0.253
"P40","Mala",0.24,0.296,0.351
"P40","Muy mala",0.196,0.383,0.208
"P40","No sabe",0.032,0.018,0.07
"P41","Muy buena",0.022,0.036,0.016
"P41","Buena",0.072,0.05,0.065
"P41","Ni buena ni mala",0.183,0.152,0.238
"P41","Mala",0.266,0.265,0.286
"P41","Muy mala",0.431,0.472,0.328
"P41","No sabe",0.026,0.025,0.067
