"var","categoria","Estoy de acuerdo","Debería realizarse solo en caso de violación o riesgo de vida de la madre","No estoy de acuerdo","No sabe"
"P04","Tengo trabajo estable",0.51,0.386,0.316,0.371
"P04","Realizo changas o trabajos de vez en cuando",0.168,0.223,0.221,0.246
"P04","No tengo trabajo",0.162,0.186,0.236,0.147
"P04","Soy jubilado o pensionado",0.16,0.205,0.227,0.236
"P05","Derecha",0.152,0.249,0.249,0.166
"P05","Centro derecha",0.145,0.212,0.178,0.143
"P05","Centro izquierda",0.294,0.097,0.08,0.084
"P05","Izquierda",0.151,0.06,0.077,0.059
"P05","No sabe",0.258,0.382,0.416,0.548
"P06","Muy importante",0.771,0.565,0.479,0.396
"P06","Algo importante",0.139,0.238,0.134,0.173
"P06","Nada importante",0.072,0.124,0.283,0.115
"P06","No sabe",0.018,0.073,0.104,0.316
"P08","Frente de Todos y el peronismo",0.481,0.234,0.179,0.213
"P08","Cambiemos",0.238,0.363,0.286,0.203
"P08","Liberales",0.158,0.271,0.367,0.257
"P08","Izquierda",0.044,0.013,0.019,0.064
"P08","No sabe",0.079,0.119,0.149,0.263
"P10","Lo votaría",0.301,0.242,0.331,0.31
"P10","Puede que lo vote",0.4,0.334,0.315,0.215
"P10","Nunca lo votaría",0.21,0.349,0.23,0.192
"P10","No sabe",0.089,0.075,0.124,0.283
"P11","Lo votaría",0.353,0.402,0.538,0.512
"P11","Puede que lo vote",0.403,0.29,0.24,0.216
"P11","Nunca lo votaría",0.177,0.266,0.15,0.142
"P11","No sabe",0.067,0.042,0.072,0.13
"P12","Lo votaría",0.413,0.39,0.371,0.41
"P12","Puede que lo vote",0.393,0.421,0.443,0.365
"P12","Nunca lo votaría",0.131,0.124,0.12,0.076
"P12","No sabe",0.063,0.065,0.066,0.149
"P13","Lo votaría",0.246,0.234,0.251,0.207
"P13","Puede que lo vote",0.29,0.403,0.323,0.323
"P13","Nunca lo votaría",0.373,0.276,0.339,0.299
"P13","No sabe",0.091,0.087,0.087,0.171
"P14","La votaría",0.423,0.599,0.701,0.487
"P14","Puede que la vote",0.273,0.251,0.172,0.308
"P14","Nunca la votaría",0.228,0.107,0.093,0.102
"P14","No sabe",0.076,0.043,0.034,0.103
"P15","Lo votaría",0.173,0.178,0.193,0.136
"P15","Puede que lo vote",0.235,0.295,0.241,0.247
"P15","Nunca lo votaría",0.542,0.47,0.515,0.42
"P15","No sabe",0.05,0.057,0.051,0.197
"P16","Sí, lo votaría",0.244,0.402,0.416,0.302
"P16","Puede que lo vote",0.093,0.157,0.145,0.109
"P16","Nunca lo votaría",0.633,0.379,0.365,0.42
"P16","No sabe",0.03,0.062,0.074,0.169
"P17","Sí, la votaría",0.426,0.195,0.215,0.257
"P17","Puede que la vote",0.093,0.081,0.083,0.067
"P17","Nunca la votaría",0.453,0.686,0.663,0.547
"P17","No sabe",0.028,0.038,0.039,0.129
"P18","Cristina Fernández de Kirchner por el Frente de Todos",0.471,0.189,0.168,0.266
"P18","Mauricio Macri por Cambiemos",0.162,0.314,0.296,0.222
"P18","Javier Milei por los liberales",0.166,0.292,0.315,0.266
"P18","Nicolás del Caño por la izquierda",0.029,0.017,0.015,0.015
"P18","Otro candidato",0.172,0.188,0.206,0.231
"P19","Horacio Rodríguez Larreta por Cambiemos",0.23,0.31,0.231,0.246
"P19","Alberto Fernández por el Frente de Todos",0.346,0.188,0.19,0.224
"P19","Javier Milei por los liberales",0.176,0.291,0.331,0.276
"P19","Nicolás del Caño por la izquierda",0.044,0.014,0.02,0.004
"P19","Otro candidato",0.204,0.197,0.228,0.25
"P20","Mauricio Macri presidente Javier Milei vice",0.246,0.477,0.458,0.344
"P20","Sergio Massa presidente Gerardo Morales vice",0.211,0.116,0.108,0.134
"P20","Nicolas del Caño presidente Myriam Bregman vice",0.108,0.04,0.047,0.026
"P20","No sabe",0.435,0.367,0.387,0.496
"P21","Mauricio Macri presidente Patricia Bullrich vice",0.192,0.353,0.355,0.242
"P21","Alberto Fernández presidente Sergio Massa vice",0.199,0.129,0.119,0.146
"P21","Javier Milei presidente José Luis Espert vice",0.124,0.232,0.255,0.194
"P21","Horacio Rodríguez Larreta presidente Gerardo Morales vice",0.139,0.102,0.099,0.195
"P21","Cristina Fernández de Kirchner presidenta Jorge Capitanich vice",0.256,0.087,0.082,0.104
"P21","Otros candidatos",0.09,0.097,0.09,0.119
"P22","Muy buena",0.095,0.056,0.082,0.081
"P22","Buena",0.232,0.092,0.068,0.131
"P22","Ni buena ni mala",0.182,0.14,0.127,0.184
"P22","Mala",0.147,0.167,0.164,0.15
"P22","Muy mala",0.331,0.534,0.543,0.422
"P22","No sabe",0.013,0.011,0.016,0.032
"P23","Si",0.721,0.599,0.509,0.575
"P23","No",0.135,0.209,0.257,0.172
"P23","No sabe",0.144,0.192,0.234,0.253
"P24","El kirchnerismo",0.357,0.537,0.518,0.379
"P24","Cambiemos",0.235,0.133,0.123,0.126
"P24","Los medios de comunicación",0.26,0.115,0.103,0.164
"P24","Otros",0.08,0.09,0.118,0.112
"P24","No sabe",0.068,0.125,0.138,0.219
"P25","Sin deuda",0.323,0.247,0.23,0.215
"P25","Menos de 10%",0.172,0.158,0.142,0.129
"P25","Entre 10 y 20%",0.125,0.172,0.144,0.111
"P25","Entre 20 y 30%",0.094,0.1,0.105,0.124
"P25","Entre 30 y 40%",0.093,0.108,0.109,0.1
"P25","Mas del 40%",0.157,0.185,0.214,0.212
"P25","No sabe",0.036,0.03,0.056,0.109
"P26","Gran excedente habitual",0.016,0.004,0.003,0.016
"P26","Gran excedente excepcional",0.009,0.008,0.011,0.02
"P26","Pequeño excedente habitual",0.094,0.046,0.037,0.061
"P26","Pequeño excedente excepcional",0.087,0.053,0.044,0.044
"P26","Alcanza gastos familia",0.206,0.121,0.12,0.125
"P26","No alcanza gastos familia",0.131,0.194,0.201,0.179
"P26","Solo NBFamiliares",0.248,0.274,0.248,0.236
"P26","No alcanza NBFamiliares",0.198,0.292,0.324,0.294
"P26","No sabe",0.011,0.008,0.012,0.025
"P27","Muy buena",0.059,0.029,0.042,0.048
"P27","Buena",0.216,0.116,0.103,0.09
"P27","Ni buena ni mala",0.391,0.415,0.367,0.339
"P27","Mala",0.239,0.319,0.324,0.307
"P27","Muy mala",0.087,0.107,0.149,0.175
"P27","No sabe",0.008,0.014,0.015,0.041
"P28","Mejor",0.165,0.099,0.077,0.072
"P28","Igual",0.35,0.197,0.185,0.292
"P28","Peor",0.442,0.672,0.69,0.58
"P28","No sabe",0.043,0.032,0.048,0.056
"P29","Mejor",0.2,0.075,0.081,0.103
"P29","Igual",0.284,0.214,0.209,0.205
"P29","Peor",0.428,0.615,0.614,0.516
"P29","No sabe",0.088,0.096,0.096,0.176
"P30","Muy buena",0.046,0.04,0.06,0.047
"P30","Buena",0.105,0.054,0.044,0.037
"P30","Ni buena ni mala",0.189,0.105,0.101,0.172
"P30","Mala",0.314,0.259,0.277,0.267
"P30","Muy mala",0.337,0.533,0.507,0.425
"P30","No sabe",0.009,0.009,0.011,0.052
"P31","Muy buena",0.339,0.113,0.106,0.157
"P31","Buena",0.111,0.079,0.078,0.08
"P31","Ni buena ni mala",0.072,0.081,0.123,0.183
"P31","Mala",0.076,0.081,0.065,0.085
"P31","Muy mala",0.396,0.641,0.619,0.462
"P31","No sabe",0.006,0.005,0.009,0.033
"P32","Muy buena",0.1,0.077,0.06,0.078
"P32","Buena",0.225,0.102,0.092,0.098
"P32","Ni buena ni mala",0.171,0.126,0.161,0.23
"P32","Mala",0.169,0.152,0.122,0.132
"P32","Muy mala",0.33,0.538,0.553,0.427
"P32","No sabe",0.005,0.005,0.012,0.035
"P33","Muy buena",0.067,0.039,0.052,0.045
"P33","Buena",0.148,0.084,0.066,0.085
"P33","Ni buena ni mala",0.248,0.188,0.18,0.255
"P33","Mala",0.191,0.186,0.195,0.133
"P33","Muy mala",0.317,0.467,0.463,0.384
"P33","No sabe",0.029,0.036,0.044,0.098
"P34","Muy buena",0.291,0.089,0.08,0.084
"P34","Buena",0.149,0.087,0.071,0.115
