"var","categoria","Sí, la votaría","Puede que la vote","Nunca la votaría","No sabe"
"P04","Tengo trabajo estable",0.448,0.427,0.431,0.27
"P04","Realizo changas o trabajos de vez en cuando",0.189,0.235,0.188,0.291
"P04","No tengo trabajo",0.164,0.182,0.182,0.219
"P04","Soy jubilado o pensionado",0.199,0.156,0.199,0.22
"P05","Derecha",0.133,0.171,0.253,0.06
"P05","Centro derecha",0.08,0.109,0.243,0.109
"P05","Centro izquierda",0.334,0.209,0.091,0.125
"P05","Izquierda",0.168,0.118,0.065,0.079
"P05","No sabe",0.285,0.393,0.348,0.627
"P06","Muy importante",0.742,0.694,0.559,0.52
"P06","Algo importante",0.115,0.182,0.21,0.125
"P06","Nada importante",0.079,0.07,0.171,0.091
"P06","No sabe",0.064,0.054,0.06,0.264
"P07","Estoy de acuerdo",0.581,0.439,0.314,0.282
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.236,0.34,0.423,0.344
"P07","No estoy de acuerdo",0.132,0.175,0.208,0.183
"P07","No sabe",0.051,0.046,0.055,0.191
"P08","Frente de Todos y el peronismo",0.736,0.471,0.102,0.151
"P08","Cambiemos",0.123,0.133,0.41,0.073
"P08","Liberales",0.073,0.155,0.347,0.179
"P08","Izquierda",0.024,0.082,0.024,0.024
"P08","No sabe",0.044,0.159,0.117,0.573
"P10","Lo votaría",0.296,0.291,0.281,0.113
"P10","Puede que lo vote",0.38,0.412,0.294,0.345
"P10","Nunca lo votaría",0.227,0.205,0.36,0.163
"P10","No sabe",0.097,0.092,0.065,0.379
"P11","Lo votaría",0.422,0.27,0.363,0.258
"P11","Puede que lo vote",0.347,0.557,0.206,0.508
"P11","Nunca lo votaría",0.168,0.107,0.383,0.019
"P11","No sabe",0.063,0.066,0.048,0.215
"P12","Lo votaría",0.376,0.343,0.403,0.355
"P12","Puede que lo vote",0.378,0.411,0.42,0.265
"P12","Nunca lo votaría",0.164,0.046,0.12,0.069
"P12","No sabe",0.082,0.2,0.057,0.311
"P13","Lo votaría",0.204,0.259,0.244,0.243
"P13","Puede que lo vote",0.308,0.386,0.352,0.096
"P13","Nunca lo votaría",0.345,0.214,0.326,0.065
"P13","No sabe",0.143,0.141,0.078,0.596
"P14","La votaría",0.393,0.274,0.591,0.476
"P14","Puede que la vote",0.176,0.429,0.252,0.118
"P14","Nunca la votaría",0.321,0.183,0.117,0.021
"P14","No sabe",0.11,0.114,0.04,0.385
"P15","Lo votaría",0.238,0.069,0.17,0.325
"P15","Puede que lo vote",0.296,0.312,0.259,0.052
"P15","Nunca lo votaría",0.383,0.499,0.52,0.449
"P15","No sabe",0.083,0.12,0.051,0.174
"P16","Sí, lo votaría",0.194,0.046,0.466,0.054
"P16","Puede que lo vote",0.013,0.305,0.164,0.044
"P16","Nunca lo votaría",0.77,0.617,0.329,0.296
"P16","No sabe",0.023,0.032,0.041,0.606
"P18","Cristina Fernández de Kirchner por el Frente de Todos",0.785,0.389,0.057,0.119
"P18","Mauricio Macri por Cambiemos",0.106,0.125,0.344,0.047
"P18","Javier Milei por los liberales",0.059,0.151,0.352,0.23
"P18","Nicolás del Caño por la izquierda",0.013,0.049,0.02,0.038
"P18","Otro candidato",0.037,0.286,0.227,0.566
"P19","Horacio Rodríguez Larreta por Cambiemos",0.115,0.153,0.36,0.062
"P19","Alberto Fernández por el Frente de Todos",0.609,0.404,0.058,0.132
"P19","Javier Milei por los liberales",0.075,0.152,0.354,0.271
"P19","Nicolás del Caño por la izquierda",0.033,0.069,0.018,0.014
"P19","Otro candidato",0.168,0.222,0.21,0.521
"P20","Mauricio Macri presidente Javier Milei vice",0.152,0.182,0.525,0.171
"P20","Sergio Massa presidente Gerardo Morales vice",0.277,0.26,0.076,0.149
"P20","Nicolas del Caño presidente Myriam Bregman vice",0.106,0.115,0.043,0.05
"P20","No sabe",0.465,0.443,0.356,0.63
"P21","Mauricio Macri presidente Patricia Bullrich vice",0.135,0.154,0.386,0.099
"P21","Alberto Fernández presidente Sergio Massa vice",0.305,0.33,0.055,0.15
"P21","Javier Milei presidente José Luis Espert vice",0.033,0.095,0.282,0.236
"P21","Horacio Rodríguez Larreta presidente Gerardo Morales vice",0.067,0.126,0.151,0.083
"P21","Cristina Fernández de Kirchner presidenta Jorge Capitanich vice",0.442,0.153,0.015,0.063
"P21","Otros candidatos",0.018,0.142,0.111,0.369
"P22","Muy buena",0.159,0.069,0.039,0.051
"P22","Buena",0.339,0.217,0.039,0.128
"P22","Ni buena ni mala",0.234,0.354,0.081,0.297
"P22","Mala",0.103,0.166,0.185,0.142
"P22","Muy mala",0.157,0.167,0.647,0.266
"P22","No sabe",0.008,0.027,0.009,0.116
"P23","Si",0.82,0.763,0.523,0.482
"P23","No",0.083,0.078,0.257,0.14
"P23","No sabe",0.097,0.159,0.22,0.378
"P24","El kirchnerismo",0.166,0.232,0.641,0.238
"P24","Cambiemos",0.342,0.234,0.079,0.143
"P24","Los medios de comunicación",0.352,0.325,0.065,0.123
"P24","Otros",0.063,0.108,0.103,0.12
"P24","No sabe",0.077,0.101,0.112,0.376
"P25","Sin deuda",0.34,0.211,0.258,0.192
"P25","Menos de 10%",0.176,0.205,0.149,0.092
"P25","Entre 10 y 20%",0.123,0.161,0.151,0.14
"P25","Entre 20 y 30%",0.082,0.105,0.111,0.066
"P25","Entre 30 y 40%",0.095,0.112,0.102,0.109
"P25","Mas del 40%",0.138,0.162,0.193,0.299
"P25","No sabe",0.046,0.044,0.036,0.102
"P26","Gran excedente habitual",0.007,0.017,0.009,0.021
"P26","Gran excedente excepcional",0.015,0.011,0.006,0.013
"P26","Pequeño excedente habitual",0.076,0.066,0.063,0.039
"P26","Pequeño excedente excepcional",0.083,0.069,0.06,0.015
"P26","Alcanza gastos familia",0.194,0.157,0.142,0.136
"P26","No alcanza gastos familia",0.155,0.148,0.178,0.14
"P26","Solo NBFamiliares",0.241,0.268,0.259,0.226
"P26","No alcanza NBFamiliares",0.222,0.25,0.27,0.391
"P26","No sabe",0.007,0.014,0.013,0.019
"P27","Muy buena",0.055,0.039,0.037,0.079
"P27","Buena",0.21,0.168,0.129,0.069
"P27","Ni buena ni mala",0.395,0.442,0.387,0.425
"P27","Mala",0.244,0.243,0.315,0.222
"P27","Muy mala",0.078,0.091,0.124,0.162
"P27","No sabe",0.018,0.017,0.008,0.043
"P28","Mejor",0.229,0.13,0.068,0.069
"P28","Igual",0.391,0.34,0.186,0.31
"P28","Peor",0.336,0.487,0.713,0.562
"P28","No sabe",0.044,0.043,0.033,0.059
"P29","Mejor",0.268,0.187,0.055,0.063
"P29","Igual",0.317,0.291,0.189,0.322
"P29","Peor",0.29,0.386,0.684,0.448
"P29","No sabe",0.125,0.136,0.072,0.167
"P30","Muy buena",0.043,0.041,0.048,0.05
"P30","Buena",0.161,0.076,0.029,0.047
"P30","Ni buena ni mala",0.29,0.221,0.054,0.208
"P30","Mala",0.304,0.424,0.249,0.292
"P30","Muy mala",0.182,0.227,0.616,0.357
"P30","No sabe",0.02,0.011,0.004,0.046
"P31","Muy buena",0.565,0.104,0.048,0.08
"P31","Buena",0.146,0.3,0.026,0.116
"P31","Ni buena ni mala",0.08,0.302,0.045,0.348
"P31","Mala",0.024,0.086,0.101,0.119
"P31","Muy mala",0.178,0.194,0.775,0.292
"P31","No sabe",0.007,0.014,0.005,0.045
"P32","Muy buena",0.197,0.086,0.023,0.087
"P32","Buena",0.302,0.284,0.053,0.14
"P32","Ni buena ni mala",0.203,0.336,0.097,0.319
"P32","Mala",0.124,0.136,0.168,0.154
"P32","Muy mala",0.169,0.154,0.654,0.239
"P32","No sabe",0.005,0.004,0.005,0.061
"P33","Muy buena",0.098,0.091,0.024,0.058
"P33","Buena",0.21,0.182,0.044,0.118
"P33","Ni buena ni mala",0.324,0.292,0.133,0.339
"P33","Mala",0.152,0.219,0.207,0.136
"P33","Muy mala",0.173,0.165,0.563,0.253
"P33","No sabe",0.043,0.051,0.029,0.096
"P34","Muy buena",0.43,0.094,0.052,0.087
"P34","Buena",0.198,0.24,0.05,0.127
"P34","Ni buena ni mala",0.126,0.282,0.078,0.3
"P34","Mala",0.055,0.119,0.129,0.115
"P34","Muy mala",0.17,0.208,0.668,0.273
"P34","No sabe",0.021,0.057,0.023,0.098
"P35","Muy buena",0.066,0.044,0.157,0.062
"P35","Buena",0.075,0.051,0.194,0.079
"P35","Ni buena ni mala",0.061,0.197,0.236,0.335
"P35","Mala",0.139,0.212,0.18,0.2
"P35","Muy mala",0.65,0.471,0.222,0.292
"P35","No sabe",0.009,0.025,0.011,0.032
"P36","Muy buena",0.061,0.072,0.157,0.04
"P36","Buena",0.065,0.151,0.263,0.164
"P36","Ni buena ni mala",0.171,0.274,0.268,0.386
"P36","Mala",0.202,0.208,0.133,0.132
"P36","Muy mala",0.457,0.226,0.139,0.181
"P36","No sabe",0.044,0.069,0.04,0.097
"P37","Muy buena",0.065,0.057,0.171,0.068
"P37","Buena",0.053,0.097,0.255,0.173
"P37","Ni buena ni mala",0.105,0.239,0.232,0.281
"P37","Mala",0.166,0.237,0.132,0.173
"P37","Muy mala",0.598,0.302,0.181,0.241
"P37","No sabe",0.013,0.068,0.029,0.064
"P38","Muy buena",0.066,0.099,0.236,0.078
"P38","Buena",0.069,0.087,0.173,0.113
"P38","Ni buena ni mala",0.132,0.239,0.281,0.327
"P38","Mala",0.109,0.118,0.104,0.11
"P38","Muy mala",0.548,0.364,0.166,0.252
"P38","No sabe",0.076,0.093,0.04,0.12
"P39","Muy buena",0.099,0.083,0.36,0.093
