"var","categoria","Sin deuda","Menos de 10%","Entre 10 y 20%","Entre 20 y 30%","Entre 30 y 40%","Mas del 40%","No sabe"
"P04","Tengo trabajo estable",0.462,0.428,0.43,0.438,0.372,0.387,0.331
"P04","Realizo changas o trabajos de vez en cuando",0.153,0.187,0.183,0.226,0.273,0.262,0.271
"P04","No tengo trabajo",0.142,0.141,0.199,0.186,0.204,0.25,0.244
"P04","Soy jubilado o pensionado",0.243,0.244,0.188,0.15,0.151,0.101,0.154
"P05","Derecha",0.215,0.19,0.212,0.213,0.21,0.199,0.143
"P05","Centro derecha",0.184,0.217,0.18,0.178,0.125,0.139,0.144
"P05","Centro izquierda",0.224,0.226,0.15,0.118,0.133,0.119,0.115
"P05","Izquierda",0.111,0.117,0.085,0.122,0.071,0.08,0.055
"P05","No sabe",0.266,0.25,0.373,0.369,0.461,0.463,0.543
"P06","Muy importante",0.624,0.598,0.626,0.629,0.644,0.627,0.519
"P06","Algo importante",0.208,0.202,0.203,0.154,0.164,0.109,0.135
"P06","Nada importante",0.112,0.158,0.107,0.142,0.129,0.153,0.153
"P06","No sabe",0.056,0.042,0.064,0.075,0.063,0.111,0.193
"P07","Estoy de acuerdo",0.478,0.437,0.35,0.38,0.37,0.351,0.349
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.323,0.354,0.424,0.356,0.379,0.365,0.256
"P07","No estoy de acuerdo",0.153,0.162,0.181,0.191,0.193,0.215,0.242
"P07","No sabe",0.046,0.047,0.045,0.073,0.058,0.069,0.153
"P08","Frente de Todos y el peronismo",0.393,0.335,0.325,0.254,0.277,0.257,0.352
"P08","Cambiemos",0.308,0.322,0.314,0.31,0.244,0.246,0.205
"P08","Liberales",0.183,0.22,0.228,0.285,0.29,0.315,0.256
"P08","Izquierda",0.028,0.024,0.03,0.038,0.042,0.026,0.027
"P08","No sabe",0.088,0.099,0.103,0.113,0.147,0.156,0.16
"P10","Lo votaría",0.333,0.314,0.273,0.236,0.268,0.26,0.177
"P10","Puede que lo vote",0.371,0.378,0.367,0.41,0.365,0.323,0.343
"P10","Nunca lo votaría",0.222,0.21,0.266,0.232,0.295,0.311,0.259
"P10","No sabe",0.074,0.098,0.094,0.122,0.072,0.106,0.221
"P11","Lo votaría",0.405,0.36,0.371,0.274,0.478,0.408,0.469
"P11","Puede que lo vote",0.353,0.408,0.408,0.394,0.359,0.213,0.237
"P11","Nunca lo votaría",0.184,0.183,0.175,0.215,0.081,0.315,0.204
"P11","No sabe",0.058,0.049,0.046,0.117,0.082,0.064,0.09
"P12","Lo votaría",0.392,0.376,0.449,0.361,0.402,0.422,0.219
"P12","Puede que lo vote",0.438,0.446,0.406,0.431,0.4,0.338,0.368
"P12","Nunca lo votaría",0.124,0.124,0.093,0.099,0.08,0.181,0.224
"P12","No sabe",0.046,0.054,0.052,0.109,0.118,0.059,0.189
"P13","Lo votaría",0.229,0.213,0.285,0.222,0.249,0.259,0.186
"P13","Puede que lo vote",0.33,0.423,0.364,0.333,0.302,0.34,0.185
"P13","Nunca lo votaría",0.357,0.291,0.279,0.347,0.28,0.323,0.423
"P13","No sabe",0.084,0.073,0.072,0.098,0.169,0.078,0.206
"P14","La votaría",0.556,0.539,0.562,0.573,0.57,0.549,0.464
"P14","Puede que la vote",0.24,0.303,0.224,0.257,0.248,0.197,0.295
"P14","Nunca la votaría",0.137,0.125,0.178,0.078,0.126,0.214,0.135
"P14","No sabe",0.067,0.033,0.036,0.092,0.056,0.04,0.106
"P15","Lo votaría",0.176,0.119,0.157,0.176,0.206,0.278,0.054
"P15","Puede que lo vote",0.252,0.314,0.277,0.279,0.243,0.208,0.268
"P15","Nunca lo votaría",0.496,0.544,0.513,0.496,0.511,0.442,0.512
"P15","No sabe",0.076,0.023,0.053,0.049,0.04,0.072,0.166
"P16","Sí, lo votaría",0.33,0.337,0.333,0.377,0.352,0.326,0.274
"P16","Puede que lo vote",0.094,0.144,0.127,0.172,0.128,0.135,0.114
"P16","Nunca lo votaría",0.539,0.487,0.481,0.395,0.452,0.454,0.472
"P16","No sabe",0.037,0.032,0.059,0.056,0.068,0.085,0.14
"P17","Sí, la votaría",0.365,0.327,0.255,0.243,0.279,0.228,0.324
"P17","Puede que la vote",0.065,0.109,0.095,0.089,0.094,0.077,0.088
"P17","Nunca la votaría",0.543,0.542,0.612,0.642,0.584,0.629,0.493
