"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","opciones"
"Muy buena",0.047,0.052,0.043,0.06,0.043,0.042,0.048,0.044,0.055,0.04,0.045,0.051,0.059,0.045,6
"Buena",0.07,0.073,0.066,0.054,0.057,0.084,0.099,0.071,0.079,0.055,0.066,0.076,0.064,0.071,6
"Ni buena ni mala",0.143,0.12,0.165,0.132,0.135,0.148,0.166,0.166,0.134,0.13,0.137,0.124,0.151,0.155,6
"Mala",0.285,0.296,0.275,0.276,0.308,0.248,0.296,0.328,0.277,0.253,0.276,0.312,0.316,0.277,6
"Muy mala",0.442,0.448,0.436,0.47,0.44,0.47,0.375,0.369,0.445,0.515,0.466,0.405,0.403,0.444,6
"No sabe",0.013,0.011,0.015,0.008,0.017,0.008,0.016,0.022,0.01,0.007,0.01,0.032,0.007,0.008,6
"Positiva",0.117,0.125,0.109,0.114,0.1,0.126,0.147,0.115,0.134,0.095,0.111,0.127,0.123,0.116,4
"Neutra",0.143,0.12,0.165,0.132,0.135,0.148,0.166,0.166,0.134,0.13,0.137,0.124,0.151,0.155,4
"Negativa",0.727,0.744,0.711,0.746,0.748,0.718,0.671,0.697,0.722,0.768,0.742,0.717,0.719,0.721,4
"No sabe",0.013,0.011,0.015,0.008,0.017,0.008,0.016,0.022,0.01,0.007,0.01,0.032,0.007,0.008,4
