"var","categoria","Tengo trabajo estable","Realizo changas o trabajos de vez en cuando","No tengo trabajo","Soy jubilado o pensionado"
"P05","Derecha",0.291,0.147,0.137,0.137
"P05","Centro derecha",0.162,0.211,0.11,0.211
"P05","Centro izquierda",0.205,0.099,0.198,0.14
"P05","Izquierda",0.072,0.065,0.073,0.209
"P05","No sabe",0.27,0.478,0.482,0.303
"P06","Muy importante",0.662,0.615,0.547,0.592
"P06","Algo importante",0.185,0.147,0.154,0.208
"P06","Nada importante",0.119,0.147,0.172,0.108
"P06","No sabe",0.034,0.091,0.127,0.092
"P07","Estoy de acuerdo",0.487,0.335,0.356,0.335
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.326,0.396,0.363,0.38
"P07","No estoy de acuerdo",0.136,0.198,0.234,0.214
"P07","No sabe",0.051,0.071,0.047,0.071
"P08","Frente de Todos y el peronismo",0.362,0.296,0.273,0.308
"P08","Cambiemos",0.271,0.24,0.253,0.415
"P08","Liberales",0.254,0.274,0.314,0.117
"P08","Izquierda",0.031,0.032,0.024,0.03
"P08","No sabe",0.082,0.158,0.136,0.13
"P10","Lo votaría",0.258,0.294,0.26,0.376
"P10","Puede que lo vote",0.395,0.343,0.324,0.361
"P10","Nunca lo votaría",0.252,0.254,0.324,0.175
"P10","No sabe",0.095,0.109,0.092,0.088
"P11","Lo votaría",0.345,0.434,0.363,0.477
"P11","Puede que lo vote",0.383,0.357,0.305,0.302
"P11","Nunca lo votaría",0.212,0.178,0.241,0.142
"P11","No sabe",0.06,0.031,0.091,0.079
"P12","Lo votaría",0.411,0.378,0.355,0.408
"P12","Puede que lo vote",0.414,0.375,0.416,0.436
"P12","Nunca lo votaría",0.118,0.177,0.141,0.082
"P12","No sabe",0.057,0.07,0.088,0.074
"P13","Lo votaría",0.263,0.19,0.223,0.247
"P13","Puede que lo vote",0.37,0.261,0.343,0.372
"P13","Nunca lo votaría",0.289,0.423,0.355,0.282
"P13","No sabe",0.078,0.126,0.079,0.099
"P14","La votaría",0.511,0.51,0.603,0.625
"P14","Puede que la vote",0.29,0.227,0.191,0.22
"P14","Nunca la votaría",0.146,0.191,0.182,0.089
"P14","No sabe",0.053,0.072,0.024,0.066
"P15","Lo votaría",0.21,0.182,0.184,0.108
"P15","Puede que lo vote",0.274,0.255,0.285,0.234
"P15","Nunca lo votaría",0.473,0.479,0.494,0.573
"P15","No sabe",0.043,0.084,0.037,0.085
"P16","Sí, lo votaría",0.326,0.317,0.353,0.356
"P16","Puede que lo vote",0.118,0.128,0.131,0.142
"P16","Nunca lo votaría",0.517,0.477,0.439,0.444
"P16","No sabe",0.039,0.078,0.077,0.058
"P17","Sí, la votaría",0.308,0.284,0.271,0.3
"P17","Puede que la vote",0.085,0.102,0.088,0.068
"P17","Nunca la votaría",0.582,0.556,0.593,0.588
"P17","No sabe",0.025,0.058,0.048,0.044
"P18","Cristina Fernández de Kirchner por el Frente de Todos",0.325,0.301,0.263,0.297
"P18","Mauricio Macri por Cambiemos",0.21,0.203,0.233,0.367
"P18","Javier Milei por los liberales",0.254,0.283,0.316,0.117
"P18","Nicolás del Caño por la izquierda",0.022,0.029,0.016,0.017
"P18","Otro candidato",0.189,0.184,0.172,0.202
"P19","Horacio Rodríguez Larreta por Cambiemos",0.238,0.236,0.253,0.337
"P19","Alberto Fernández por el Frente de Todos",0.261,0.249,0.217,0.281
"P19","Javier Milei por los liberales",0.266,0.283,0.317,0.121
"P19","Nicolás del Caño por la izquierda",0.03,0.032,0.022,0.019
"P19","Otro candidato",0.205,0.2,0.191,0.242
"P20","Mauricio Macri presidente Javier Milei vice",0.361,0.373,0.407,0.365
"P20","Sergio Massa presidente Gerardo Morales vice",0.175,0.137,0.131,0.148
"P20","Nicolas del Caño presidente Myriam Bregman vice",0.077,0.062,0.073,0.05
"P20","No sabe",0.387,0.428,0.389,0.437
"P21","Mauricio Macri presidente Patricia Bullrich vice",0.245,0.247,0.294,0.386
"P21","Alberto Fernández presidente Sergio Massa vice",0.145,0.193,0.128,0.172
"P21","Javier Milei presidente José Luis Espert vice",0.191,0.242,0.255,0.076
"P21","Horacio Rodríguez Larreta presidente Gerardo Morales vice",0.141,0.101,0.085,0.134
"P21","Cristina Fernández de Kirchner presidenta Jorge Capitanich vice",0.181,0.122,0.147,0.145
"P21","Otros candidatos",0.097,0.095,0.091,0.087
"P22","Muy buena",0.077,0.079,0.049,0.107
"P22","Buena",0.153,0.127,0.125,0.173
"P22","Ni buena ni mala",0.144,0.196,0.186,0.12
"P22","Mala",0.168,0.137,0.156,0.155
"P22","Muy mala",0.448,0.443,0.458,0.438
"P22","No sabe",0.01,0.018,0.026,0.007
"P23","Si",0.699,0.625,0.501,0.61
"P23","No",0.158,0.157,0.298,0.17
"P23","No sabe",0.143,0.218,0.201,0.22
"P24","El kirchnerismo",0.47,0.41,0.427,0.476
"P24","Cambiemos",0.178,0.17,0.165,0.17
"P24","Los medios de comunicación",0.19,0.159,0.172,0.159
"P24","Otros",0.084,0.104,0.121,0.07
"P24","No sabe",0.078,0.157,0.115,0.125
"P25","Sin deuda",0.297,0.2,0.208,0.352
"P25","Menos de 10%",0.158,0.14,0.118,0.204
"P25","Entre 10 y 20%",0.145,0.125,0.152,0.143
"P25","Entre 20 y 30%",0.104,0.109,0.101,0.08
"P25","Entre 30 y 40%",0.093,0.138,0.116,0.085
"P25","Mas del 40%",0.167,0.229,0.245,0.098
"P25","No sabe",0.036,0.059,0.06,0.038
"P26","Gran excedente habitual",0.014,0.005,0.005,0.003
"P26","Gran excedente excepcional",0.01,0.006,0.006,0.011
"P26","Pequeño excedente habitual",0.103,0.025,0.029,0.04
"P26","Pequeño excedente excepcional",0.091,0.032,0.037,0.057
"P26","Alcanza gastos familia",0.209,0.09,0.074,0.173
"P26","No alcanza gastos familia",0.16,0.177,0.196,0.164
"P26","Solo NBFamiliares",0.232,0.274,0.256,0.285
"P26","No alcanza NBFamiliares",0.176,0.377,0.375,0.251
"P26","No sabe",0.005,0.014,0.022,0.016
"P27","Muy buena",0.05,0.039,0.039,0.038
"P27","Buena",0.201,0.075,0.074,0.184
"P27","Ni buena ni mala",0.427,0.336,0.307,0.461
"P27","Mala",0.239,0.364,0.36,0.239
"P27","Muy mala",0.071,0.173,0.199,0.069
"P27","No sabe",0.012,0.013,0.021,0.009
"P28","Mejor",0.144,0.099,0.083,0.118
"P28","Igual",0.293,0.21,0.206,0.291
"P28","Peor",0.524,0.648,0.655,0.558
"P28","No sabe",0.039,0.043,0.056,0.033
"P29","Mejor",0.152,0.106,0.099,0.118
"P29","Igual",0.271,0.24,0.193,0.242
"P29","Peor",0.5,0.531,0.587,0.552
"P29","No sabe",0.077,0.123,0.121,0.088
"P30","Muy buena",0.048,0.045,0.045,0.045
"P30","Buena",0.074,0.058,0.045,0.1
"P30","Ni buena ni mala",0.148,0.144,0.104,0.168
"P30","Mala",0.271,0.312,0.295,0.288
"P30","Muy mala",0.45,0.426,0.492,0.385
"P30","No sabe",0.009,0.015,0.019,0.014
"P31","Muy buena",0.231,0.183,0.17,0.208
"P31","Buena",0.082,0.114,0.105,0.083
"P31","Ni buena ni mala",0.073,0.133,0.103,0.087
"P31","Mala",0.076,0.08,0.071,0.084
"P31","Muy mala",0.532,0.478,0.542,0.528
"P31","No sabe",0.006,0.012,0.009,0.01
"P32","Muy buena",0.085,0.077,0.084,0.088
"P32","Buena",0.146,0.151,0.141,0.159
"P32","Ni buena ni mala",0.158,0.194,0.158,0.136
"P32","Mala",0.154,0.154,0.133,0.174
"P32","Muy mala",0.454,0.405,0.477,0.435
"P32","No sabe",0.003,0.019,0.007,0.008
"P33","Muy buena",0.057,0.052,0.026,0.064
"P33","Buena",0.098,0.094,0.09,0.146
"P33","Ni buena ni mala",0.214,0.259,0.204,0.196
"P33","Mala",0.185,0.176,0.19,0.208
"P33","Muy mala",0.423,0.347,0.43,0.359
"P33","No sabe",0.023,0.072,0.06,0.027
"P34","Muy buena",0.178,0.135,0.125,0.201
"P34","Buena",0.118,0.091,0.099,0.115
"P34","Ni buena ni mala",0.107,0.185,0.146,0.084
"P34","Mala",0.095,0.102,0.11,0.139
"P34","Muy mala",0.485,0.437,0.473,0.43
"P34","No sabe",0.017,0.05,0.047,0.031
"P35","Muy buena",0.11,0.092,0.133,0.152
"P35","Buena",0.131,0.113,0.145,0.193
"P35","Ni buena ni mala",0.176,0.205,0.177,0.208
"P35","Mala",0.154,0.21,0.191,0.147
"P35","Muy mala",0.423,0.35,0.335,0.293
"P35","No sabe",0.006,0.03,0.019,0.007
"P36","Muy buena",0.11,0.088,0.133,0.153
"P36","Buena",0.178,0.151,0.158,0.266
"P36","Ni buena ni mala",0.233,0.299,0.255,0.232
"P36","Mala",0.175,0.161,0.158,0.142
"P36","Muy mala",0.271,0.225,0.224,0.174
"P36","No sabe",0.033,0.076,0.072,0.033
"P37","Muy buena",0.111,0.103,0.175,0.156
"P37","Buena",0.182,0.158,0.111,0.252
"P37","Ni buena ni mala",0.173,0.229,0.216,0.198
"P37","Mala",0.147,0.151,0.172,0.131
"P37","Muy mala",0.367,0.303,0.283,0.244
"P37","No sabe",0.02,0.056,0.043,0.019
"P38","Muy buena",0.18,0.178,0.21,0.076
"P38","Buena",0.128,0.135,0.142,0.133
"P38","Ni buena ni mala",0.206,0.257,0.233,0.311
"P38","Mala",0.108,0.103,0.091,0.121
"P38","Muy mala",0.34,0.24,0.233,0.296
"P38","No sabe",0.038,0.087,0.091,0.063
"P39","Muy buena",0.227,0.196,0.266,0.333
"P39","Buena",0.165,0.157,0.14,0.158
"P39","Ni buena ni mala",0.127,0.201,0.175,0.118
"P39","Mala",0.089,0.092,0.114,0.097
"P39","Muy mala",0.364,0.271,0.246,0.262
"P39","No sabe",0.028,0.083,0.059,0.032
"P40","Muy buena",0.053,0.056,0.026,0.044
"P40","Buena",0.138,0.115,0.127,0.171
"P40","Ni buena ni mala",0.247,0.296,0.26,0.331
"P40","Mala",0.289,0.218,0.253,0.29
"P40","Muy mala",0.244,0.254,0.266,0.128
"P40","No sabe",0.029,0.061,0.068,0.036
"P41","Muy buena",0.022,0.036,0.016,0.017
"P41","Buena",0.05,0.064,0.082,0.079
"P41","Ni buena ni mala",0.161,0.228,0.164,0.257
"P41","Mala",0.285,0.232,0.258,0.302
"P41","Muy mala",0.458,0.391,0.423,0.303
"P41","No sabe",0.024,0.049,0.057,0.042
