"var","categoria","Muy importante","Algo importante","Nada importante","No sabe"
"P04","Tengo trabajo estable",0.454,0.444,0.382,0.195
"P04","Realizo changas o trabajos de vez en cuando",0.199,0.168,0.223,0.248
"P04","No tengo trabajo",0.163,0.161,0.238,0.316
"P04","Soy jubilado o pensionado",0.184,0.227,0.157,0.241
"P05","Derecha",0.198,0.208,0.292,0.103
"P05","Centro derecha",0.133,0.333,0.222,0.047
"P05","Centro izquierda",0.2,0.136,0.148,0.061
"P05","Izquierda",0.112,0.071,0.052,0.133
"P05","No sabe",0.357,0.252,0.286,0.656
"P07","Estoy de acuerdo",0.499,0.319,0.22,0.106
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.324,0.485,0.338,0.369
"P07","No estoy de acuerdo",0.14,0.139,0.391,0.266
"P07","No sabe",0.037,0.057,0.051,0.259
"P08","Frente de Todos y el peronismo",0.4,0.218,0.132,0.245
"P08","Cambiemos",0.269,0.415,0.282,0.171
"P08","Liberales",0.193,0.252,0.487,0.193
"P08","Izquierda",0.035,0.02,0.014,0.041
"P08","No sabe",0.103,0.095,0.085,0.35
"P10","Lo votaría",0.297,0.266,0.344,0.162
"P10","Puede que lo vote",0.38,0.352,0.281,0.32
"P10","Nunca lo votaría",0.229,0.304,0.343,0.279
"P10","No sabe",0.094,0.078,0.032,0.239
"P11","Lo votaría",0.398,0.335,0.303,0.5
"P11","Puede que lo vote",0.373,0.326,0.207,0.227
"P11","Nunca lo votaría",0.171,0.271,0.403,0.172
"P11","No sabe",0.058,0.068,0.087,0.101
"P12","Lo votaría",0.43,0.371,0.294,0.382
"P12","Puede que lo vote",0.383,0.492,0.418,0.294
"P12","Nunca lo votaría",0.109,0.091,0.249,0.149
"P12","No sabe",0.078,0.046,0.039,0.175
"P13","Lo votaría",0.264,0.221,0.191,0.185
"P13","Puede que lo vote",0.355,0.368,0.286,0.281
"P13","Nunca lo votaría",0.275,0.354,0.466,0.298
"P13","No sabe",0.106,0.057,0.057,0.236
"P14","La votaría",0.537,0.534,0.642,0.575
"P14","Puede que la vote",0.265,0.287,0.124,0.135
"P14","Nunca la votaría",0.131,0.15,0.205,0.142
"P14","No sabe",0.067,0.029,0.029,0.148
