"var","categoria","Derecha","Centro derecha","Centro izquierda","Izquierda","No sabe"
"P04","Tengo trabajo estable",0.602,0.399,0.51,0.314,0.32
"P04","Realizo changas o trabajos de vez en cuando",0.145,0.248,0.117,0.135,0.27
"P04","No tengo trabajo",0.124,0.118,0.215,0.14,0.249
"P04","Soy jubilado o pensionado",0.129,0.235,0.158,0.411,0.161
"P06","Muy importante",0.596,0.473,0.719,0.705,0.629
"P06","Algo importante",0.179,0.338,0.14,0.126,0.126
"P06","Nada importante",0.188,0.169,0.114,0.07,0.108
"P06","No sabe",0.037,0.02,0.027,0.099,0.137
"P07","Estoy de acuerdo",0.298,0.333,0.687,0.61,0.299
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.434,0.434,0.2,0.216,0.392
"P07","No estoy de acuerdo",0.221,0.185,0.084,0.14,0.217
"P07","No sabe",0.047,0.048,0.029,0.034,0.092
"P08","Frente de Todos y el peronismo",0.201,0.137,0.631,0.48,0.288
"P08","Cambiemos",0.352,0.516,0.184,0.188,0.22
"P08","Liberales",0.385,0.281,0.076,0.143,0.25
"P08","Izquierda",0.013,0.01,0.032,0.128,0.02
"P08","No sabe",0.049,0.056,0.077,0.061,0.222
"P10","Lo votaría",0.27,0.322,0.32,0.308,0.241
"P10","Puede que lo vote",0.353,0.261,0.424,0.381,0.333
"P10","Nunca lo votaría",0.335,0.386,0.184,0.191,0.276
"P10","No sabe",0.042,0.031,0.072,0.12,0.15
"P11","Lo votaría",0.378,0.407,0.328,0.302,0.506
"P11","Puede que lo vote",0.351,0.208,0.417,0.439,0.268
"P11","Nunca lo votaría",0.229,0.375,0.2,0.157,0.151
"P11","No sabe",0.042,0.01,0.055,0.102,0.075
"P12","Lo votaría",0.406,0.37,0.372,0.413,0.421
"P12","Puede que lo vote",0.401,0.497,0.381,0.385,0.341
"P12","Nunca lo votaría",0.153,0.101,0.155,0.157,0.103
"P12","No sabe",0.04,0.032,0.092,0.045,0.135
"P13","Lo votaría",0.233,0.21,0.29,0.282,0.251
"P13","Puede que lo vote",0.33,0.415,0.306,0.215,0.33
"P13","Nunca lo votaría",0.359,0.326,0.365,0.324,0.259
"P13","No sabe",0.078,0.049,0.039,0.179,0.16
"P14","La votaría",0.622,0.591,0.381,0.419,0.543
"P14","Puede que la vote",0.198,0.269,0.266,0.175,0.277
"P14","Nunca la votaría",0.138,0.103,0.304,0.259,0.109
"P14","No sabe",0.042,0.037,0.049,0.147,0.071
"P15","Lo votaría",0.226,0.176,0.097,0.137,0.177
"P15","Puede que lo vote",0.285,0.269,0.183,0.181,0.29
"P15","Nunca lo votaría",0.429,0.519,0.704,0.596,0.436
"P15","No sabe",0.06,0.036,0.016,0.086,0.097
"P16","Sí, lo votaría",0.52,0.534,0.144,0.162,0.269
"P16","Puede que lo vote",0.115,0.186,0.069,0.101,0.139
"P16","Nunca lo votaría",0.331,0.241,0.765,0.713,0.484
"P16","No sabe",0.034,0.039,0.022,0.024,0.108
"P17","Sí, la votaría",0.193,0.132,0.567,0.493,0.244
"P17","Puede que la vote",0.072,0.053,0.103,0.1,0.098
"P17","Nunca la votaría",0.724,0.791,0.302,0.376,0.587
"P17","No sabe",0.011,0.024,0.028,0.031,0.071
"P18","Cristina Fernández de Kirchner por el Frente de Todos",0.163,0.103,0.616,0.529,0.269
"P18","Mauricio Macri por Cambiemos",0.308,0.427,0.124,0.131,0.204
"P18","Javier Milei por los liberales",0.394,0.29,0.066,0.123,0.255
"P18","Nicolás del Caño por la izquierda",0.015,0.007,0.019,0.081,0.015
"P18","Otro candidato",0.12,0.173,0.175,0.136,0.257
"P19","Horacio Rodríguez Larreta por Cambiemos",0.261,0.377,0.189,0.204,0.248
"P19","Alberto Fernández por el Frente de Todos",0.178,0.127,0.456,0.372,0.231
"P19","Javier Milei por los liberales",0.421,0.305,0.074,0.114,0.249
