"var","categoria","Mauricio Macri presidente Javier Milei vice","Sergio Massa presidente Gerardo Morales vice","Nicolas del Caño presidente Myriam Bregman vice","No sabe"
"P04","Tengo trabajo estable",0.417,0.488,0.49,0.411
"P04","Realizo changas o trabajos de vez en cuando",0.196,0.173,0.177,0.206
"P04","No tengo trabajo",0.195,0.152,0.191,0.172
"P04","Soy jubilado o pensionado",0.192,0.187,0.142,0.211
"P05","Derecha",0.307,0.111,0.156,0.158
"P05","Centro derecha",0.294,0.127,0.056,0.116
"P05","Centro izquierda",0.06,0.323,0.271,0.206
"P05","Izquierda",0.06,0.124,0.317,0.093
"P05","No sabe",0.279,0.315,0.2,0.427
"P06","Muy importante",0.526,0.752,0.727,0.659
"P06","Algo importante",0.234,0.123,0.144,0.149
"P06","Nada importante",0.19,0.068,0.11,0.108
"P06","No sabe",0.05,0.057,0.019,0.084
"P07","Estoy de acuerdo",0.269,0.558,0.643,0.437
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.459,0.269,0.212,0.324
"P07","No estoy de acuerdo",0.223,0.127,0.125,0.174
"P07","No sabe",0.049,0.046,0.02,0.065
"P08","Frente de Todos y el peronismo",0.051,0.724,0.486,0.402
"P08","Cambiemos",0.493,0.101,0.051,0.225
"P08","Liberales",0.419,0.073,0.188,0.17
"P08","Izquierda",0.003,0.029,0.21,0.017
"P08","No sabe",0.034,0.073,0.065,0.186
"P10","Lo votaría",0.163,0.518,0.135,0.174
"P10","Puede que lo vote",0.136,0.4,0.343,0.387
"P10","Nunca lo votaría",0.605,0.047,0.408,0.306
"P10","No sabe",0.096,0.035,0.114,0.133
"P11","Lo votaría",0.2,0.528,0.244,0.343
"P11","Puede que lo vote",0.23,0.324,0.377,0.382
"P11","Nunca lo votaría",0.544,0.103,0.318,0.193
"P11","No sabe",0.026,0.045,0.061,0.082
"P12","Lo votaría",0.437,0.35,0.2,0.338
"P12","Puede que lo vote",0.416,0.282,0.597,0.427
"P12","Nunca lo votaría",0.104,0.264,0.072,0.135
"P12","No sabe",0.043,0.104,0.131,0.1
"P13","Lo votaría",0.224,0.277,0.259,0.267
"P13","Puede que lo vote",0.371,0.231,0.325,0.324
"P13","Nunca lo votaría",0.323,0.355,0.295,0.306
"P13","No sabe",0.082,0.137,0.121,0.103
"P14","La votaría",0.655,0.287,0.248,0.405
"P14","Puede que la vote",0.23,0.148,0.125,0.316
"P14","Nunca la votaría",0.073,0.452,0.423,0.215
"P14","No sabe",0.042,0.113,0.204,0.064
"P15","Lo votaría",0.227,0.123,0.131,0.078
"P15","Puede que lo vote",0.337,0.221,0.118,0.132
"P15","Nunca lo votaría",0.38,0.631,0.679,0.718
"P15","No sabe",0.056,0.025,0.072,0.072
"P16","Sí, lo votaría",0.694,0.072,0.12,0.153
"P16","Puede que lo vote",0.193,0.062,0.038,0.108
"P16","Nunca lo votaría",0.086,0.835,0.814,0.656
"P16","No sabe",0.027,0.031,0.028,0.083
"P17","Sí, la votaría",0.122,0.536,0.461,0.343
"P17","Puede que la vote",0.042,0.146,0.147,0.095
"P17","Nunca la votaría",0.821,0.287,0.369,0.513
"P17","No sabe",0.015,0.031,0.023,0.049
"P18","Cristina Fernández de Kirchner por el Frente de Todos",0.029,0.693,0.467,0.388
"P18","Mauricio Macri por Cambiemos",0.487,0.035,0.047,0.135
"P18","Javier Milei por los liberales",0.412,0.071,0.168,0.173
"P18","Nicolás del Caño por la izquierda",0.002,0.01,0.202,0.01
"P18","Otro candidato",0.07,0.191,0.116,0.294
"P19","Horacio Rodríguez Larreta por Cambiemos",0.378,0.184,0.077,0.213
"P19","Alberto Fernández por el Frente de Todos",0.098,0.564,0.276,0.279
"P19","Javier Milei por los liberales",0.422,0.074,0.223,0.164
"P19","Nicolás del Caño por la izquierda",0.008,0.008,0.28,0.009
"P19","Otro candidato",0.094,0.17,0.144,0.335
"P21","Mauricio Macri presidente Patricia Bullrich vice",0.619,0.026,0.03,0.111
"P21","Alberto Fernández presidente Sergio Massa vice",0.013,0.544,0.111,0.149
"P21","Javier Milei presidente José Luis Espert vice",0.286,0.057,0.235,0.145
"P21","Horacio Rodríguez Larreta presidente Gerardo Morales vice",0.058,0.078,0.048,0.209
"P21","Cristina Fernández de Kirchner presidenta Jorge Capitanich vice",0.006,0.231,0.378,0.228
"P21","Otros candidatos",0.018,0.064,0.198,0.158
"P22","Muy buena",0.049,0.152,0.086,0.076
"P22","Buena",0.013,0.373,0.246,0.167
"P22","Ni buena ni mala",0.05,0.224,0.239,0.216
"P22","Mala",0.158,0.134,0.184,0.161
"P22","Muy mala",0.727,0.11,0.22,0.355
"P22","No sabe",0.003,0.007,0.025,0.025
"P23","Si",0.504,0.801,0.739,0.666
"P23","No",0.281,0.11,0.113,0.139
"P23","No sabe",0.215,0.089,0.148,0.195
"P24","El kirchnerismo",0.686,0.22,0.199,0.367
"P24","Cambiemos",0.071,0.341,0.272,0.185
"P24","Los medios de comunicación",0.056,0.311,0.355,0.202
"P24","Otros",0.102,0.064,0.088,0.094
"P24","No sabe",0.085,0.064,0.086,0.152
"P25","Sin deuda",0.265,0.301,0.359,0.259
"P25","Menos de 10%",0.166,0.184,0.152,0.153
"P25","Entre 10 y 20%",0.136,0.169,0.142,0.142
"P25","Entre 20 y 30%",0.119,0.088,0.084,0.088
"P25","Entre 30 y 40%",0.097,0.093,0.07,0.114
"P25","Mas del 40%",0.18,0.145,0.141,0.19
"P25","No sabe",0.037,0.02,0.052,0.054
"P26","Gran excedente habitual",0.009,0.012,0.006,0.008
"P26","Gran excedente excepcional",0.006,0.012,0.008,0.013
"P26","Pequeño excedente habitual",0.06,0.104,0.076,0.058
"P26","Pequeño excedente excepcional",0.062,0.079,0.081,0.063
"P26","Alcanza gastos familia",0.133,0.209,0.197,0.156
"P26","No alcanza gastos familia",0.161,0.139,0.175,0.181
"P26","Solo NBFamiliares",0.287,0.234,0.217,0.233
"P26","No alcanza NBFamiliares",0.272,0.199,0.234,0.274
"P26","No sabe",0.01,0.012,0.006,0.014
"P27","Muy buena",0.037,0.064,0.031,0.047
"P27","Buena",0.127,0.226,0.194,0.145
"P27","Ni buena ni mala",0.393,0.406,0.413,0.393
"P27","Mala",0.325,0.213,0.25,0.28
"P27","Muy mala",0.11,0.081,0.085,0.118
"P27","No sabe",0.008,0.01,0.027,0.017
"P28","Mejor",0.058,0.217,0.149,0.142
"P28","Igual",0.137,0.423,0.347,0.306
"P28","Peor",0.769,0.322,0.464,0.518
"P28","No sabe",0.036,0.038,0.04,0.034
"P29","Mejor",0.028,0.293,0.151,0.154
"P29","Igual",0.167,0.315,0.326,0.273
"P29","Peor",0.74,0.269,0.418,0.457
"P29","No sabe",0.065,0.123,0.105,0.116
"P30","Muy buena",0.05,0.044,0.041,0.041
"P30","Buena",0.023,0.137,0.104,0.092
"P30","Ni buena ni mala",0.028,0.308,0.189,0.178
"P30","Mala",0.216,0.358,0.338,0.305
"P30","Muy mala",0.678,0.143,0.317,0.367
"P30","No sabe",0.005,0.01,0.011,0.017
"P31","Muy buena",0.023,0.455,0.291,0.269
"P31","Buena",0.022,0.158,0.186,0.11
"P31","Ni buena ni mala",0.033,0.149,0.14,0.095
"P31","Mala",0.067,0.075,0.093,0.086
"P31","Muy mala",0.85,0.16,0.29,0.43
"P31","No sabe",0.005,0.003,0,0.01
"P32","Muy buena",0.012,0.196,0.078,0.103
"P32","Buena",0.028,0.349,0.237,0.176
"P32","Ni buena ni mala",0.062,0.242,0.234,0.192
"P32","Mala",0.144,0.098,0.199,0.167
"P32","Muy mala",0.75,0.109,0.25,0.354
"P32","No sabe",0.004,0.006,0.002,0.008
"P33","Muy buena",0.019,0.18,0.045,0.039
"P33","Buena",0.025,0.312,0.119,0.101
"P33","Ni buena ni mala",0.089,0.295,0.263,0.28
"P33","Mala",0.207,0.084,0.259,0.194
"P33","Muy mala",0.641,0.107,0.279,0.329
"P33","No sabe",0.019,0.022,0.035,0.057
"P34","Muy buena",0.038,0.346,0.27,0.212
"P34","Buena",0.041,0.238,0.185,0.121
"P34","Ni buena ni mala",0.045,0.182,0.155,0.149
"P34","Mala",0.111,0.074,0.131,0.104
"P34","Muy mala",0.745,0.146,0.257,0.375
"P34","No sabe",0.02,0.014,0.002,0.039
"P35","Muy buena",0.24,0.037,0.05,0.051
"P35","Buena",0.262,0.038,0.056,0.093
"P35","Ni buena ni mala",0.266,0.077,0.103,0.157
"P35","Mala",0.118,0.174,0.174,0.22
