"var","categoria","Mejor","Igual","Peor","No sabe"
"P04","Tengo trabajo estable",0.506,0.466,0.396,0.336
"P04","Realizo changas o trabajos de vez en cuando",0.175,0.204,0.207,0.263
"P04","No tengo trabajo",0.145,0.146,0.204,0.231
"P04","Soy jubilado o pensionado",0.174,0.184,0.193,0.17
"P05","Derecha",0.127,0.177,0.242,0.171
"P05","Centro derecha",0.074,0.147,0.22,0.099
"P05","Centro izquierda",0.344,0.219,0.109,0.151
"P05","Izquierda",0.15,0.122,0.075,0.085
"P05","No sabe",0.305,0.335,0.354,0.494
"P06","Muy importante",0.799,0.659,0.555,0.631
"P06","Algo importante",0.101,0.183,0.198,0.132
"P06","Nada importante",0.05,0.087,0.18,0.096
"P06","No sabe",0.05,0.071,0.067,0.141
"P07","Estoy de acuerdo",0.632,0.476,0.324,0.365
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.207,0.317,0.41,0.35
"P07","No estoy de acuerdo",0.114,0.157,0.209,0.179
"P07","No sabe",0.047,0.05,0.057,0.106
"P08","Frente de Todos y el peronismo",0.744,0.457,0.141,0.426
"P08","Cambiemos",0.084,0.217,0.395,0.156
"P08","Liberales",0.078,0.189,0.32,0.178
"P08","Izquierda",0.036,0.034,0.023,0.042
"P08","No sabe",0.058,0.103,0.121,0.198
"P10","Lo votaría",0.358,0.269,0.248,0.262
"P10","Puede que lo vote",0.396,0.403,0.279,0.352
"P10","Nunca lo votaría",0.183,0.216,0.39,0.228
"P10","No sabe",0.063,0.112,0.083,0.158
"P11","Lo votaría",0.493,0.364,0.279,0.418
"P11","Puede que lo vote",0.357,0.379,0.287,0.359
"P11","Nunca lo votaría",0.108,0.183,0.374,0.126
"P11","No sabe",0.042,0.074,0.06,0.097
"P12","Lo votaría",0.157,0.46,0.391,0.378
"P12","Puede que lo vote",0.31,0.308,0.445,0.402
"P12","Nunca lo votaría",0.376,0.17,0.101,0.117
"P12","No sabe",0.157,0.062,0.063,0.103
"P13","Lo votaría",0.149,0.273,0.237,0.213
"P13","Puede que lo vote",0.167,0.34,0.361,0.269
"P13","Nunca lo votaría",0.473,0.303,0.323,0.286
"P13","No sabe",0.211,0.084,0.079,0.232
"P14","La votaría",0.268,0.41,0.611,0.426
"P14","Puede que la vote",0.133,0.303,0.234,0.303
"P14","Nunca la votaría",0.386,0.207,0.119,0.159
"P14","No sabe",0.213,0.08,0.036,0.112
"P15","Lo votaría",0.138,0.204,0.181,0.089
"P15","Puede que lo vote",0.159,0.246,0.269,0.293
"P15","Nunca lo votaría",0.637,0.441,0.509,0.483
"P15","No sabe",0.066,0.109,0.041,0.135
"P16","Sí, lo votaría",0.062,0.221,0.478,0.2
"P16","Puede que lo vote",0.036,0.109,0.16,0.102
"P16","Nunca lo votaría",0.861,0.616,0.305,0.607
"P16","No sabe",0.041,0.054,0.057,0.091
"P17","Sí, la votaría",0.612,0.389,0.161,0.382
"P17","Puede que la vote",0.123,0.103,0.062,0.118
"P17","Nunca la votaría",0.246,0.456,0.744,0.433
"P17","No sabe",0.019,0.052,0.033,0.067
"P18","Cristina Fernández de Kirchner por el Frente de Todos",0.731,0.448,0.116,0.406
"P18","Mauricio Macri por Cambiemos",0.049,0.155,0.35,0.137
"P18","Javier Milei por los liberales",0.083,0.193,0.318,0.192
"P18","Nicolás del Caño por la izquierda",0.019,0.019,0.019,0.043
"P18","Otro candidato",0.118,0.185,0.197,0.222
"P19","Horacio Rodríguez Larreta por Cambiemos",0.163,0.217,0.318,0.177
"P19","Alberto Fernández por el Frente de Todos",0.551,0.332,0.13,0.344
"P19","Javier Milei por los liberales",0.077,0.206,0.321,0.207
"P19","Nicolás del Caño por la izquierda",0.036,0.029,0.023,0.033
"P19","Otro candidato",0.173,0.216,0.208,0.239
"P20","Mauricio Macri presidente Javier Milei vice",0.08,0.255,0.52,0.25
"P20","Sergio Massa presidente Gerardo Morales vice",0.355,0.201,0.078,0.195
"P20","Nicolas del Caño presidente Myriam Bregman vice",0.08,0.091,0.054,0.073
"P20","No sabe",0.485,0.453,0.348,0.482
"P21","Mauricio Macri presidente Patricia Bullrich vice",0.058,0.182,0.404,0.167
"P21","Alberto Fernández presidente Sergio Massa vice",0.354,0.222,0.067,0.221
"P21","Javier Milei presidente José Luis Espert vice",0.067,0.129,0.248,0.179
"P21","Horacio Rodríguez Larreta presidente Gerardo Morales vice",0.095,0.13,0.126,0.115
"P21","Cristina Fernández de Kirchner presidenta Jorge Capitanich vice",0.363,0.242,0.056,0.221
"P21","Otros candidatos",0.063,0.095,0.099,0.097
"P22","Muy buena",0.178,0.085,0.045,0.108
"P22","Buena",0.403,0.229,0.038,0.198
"P22","Ni buena ni mala",0.225,0.21,0.098,0.253
"P22","Mala",0.075,0.198,0.16,0.157
"P22","Muy mala",0.102,0.263,0.647,0.266
"P22","No sabe",0.017,0.015,0.012,0.018
"P23","Si",0.858,0.727,0.532,0.636
"P23","No",0.069,0.112,0.26,0.11
"P23","No sabe",0.073,0.161,0.208,0.254
"P24","El kirchnerismo",0.172,0.343,0.6,0.28
"P24","Cambiemos",0.342,0.206,0.11,0.203
"P24","Los medios de comunicación",0.358,0.253,0.09,0.19
"P24","Otros",0.055,0.079,0.102,0.133
"P24","No sabe",0.073,0.119,0.098,0.194
"P25","Sin deuda",0.374,0.318,0.227,0.262
"P25","Menos de 10%",0.182,0.16,0.146,0.157
"P25","Entre 10 y 20%",0.137,0.145,0.143,0.129
"P25","Entre 20 y 30%",0.068,0.09,0.116,0.088
"P25","Entre 30 y 40%",0.093,0.084,0.116,0.107
"P25","Mas del 40%",0.121,0.152,0.219,0.13
"P25","No sabe",0.025,0.051,0.033,0.127
"P26","Gran excedente habitual",0.016,0.012,0.005,0.004
"P26","Gran excedente excepcional",0.01,0.013,0.004,0.017
"P26","Pequeño excedente habitual",0.118,0.076,0.045,0.05
"P26","Pequeño excedente excepcional",0.095,0.07,0.055,0.052
"P26","Alcanza gastos familia",0.25,0.18,0.12,0.133
"P26","No alcanza gastos familia",0.126,0.16,0.177,0.238
"P26","Solo NBFamiliares",0.222,0.262,0.262,0.216
"P26","No alcanza NBFamiliares",0.153,0.219,0.324,0.235
"P26","No sabe",0.01,0.008,0.008,0.055
"P27","Muy buena",0.098,0.042,0.035,0.019
"P27","Buena",0.287,0.207,0.092,0.142
"P27","Ni buena ni mala",0.435,0.433,0.351,0.452
"P27","Mala",0.135,0.244,0.341,0.298
"P27","Muy mala",0.032,0.063,0.172,0.047
"P27","No sabe",0.013,0.011,0.009,0.042
"P28","Mejor",0.469,0.109,0.035,0.138
"P28","Igual",0.361,0.507,0.102,0.372
"P28","Peor",0.143,0.351,0.83,0.365
"P28","No sabe",0.027,0.033,0.033,0.125
"P30","Muy buena",0.053,0.016,0.068,0.001
"P30","Buena",0.228,0.139,0.006,0.041
"P30","Ni buena ni mala",0.367,0.233,0.034,0.224
"P30","Mala",0.25,0.346,0.245,0.406
"P30","Muy mala",0.08,0.257,0.643,0.271
"P30","No sabe",0.022,0.009,0.004,0.057
"P31","Muy buena",0.555,0.289,0.074,0.271
"P31","Buena",0.156,0.138,0.046,0.155
"P31","Ni buena ni mala",0.116,0.119,0.065,0.151
"P31","Mala",0.043,0.1,0.075,0.083
"P31","Muy mala",0.123,0.342,0.735,0.315
"P31","No sabe",0.007,0.012,0.005,0.025
"P32","Muy buena",0.238,0.098,0.028,0.146
"P32","Buena",0.37,0.238,0.046,0.183
"P32","Ni buena ni mala",0.214,0.221,0.106,0.244
"P32","Mala",0.074,0.178,0.164,0.139
"P32","Muy mala",0.098,0.26,0.65,0.248
"P32","No sabe",0.006,0.005,0.006,0.04
"P33","Muy buena",0.138,0.07,0.023,0.046
"P33","Buena",0.255,0.165,0.042,0.113
"P33","Ni buena ni mala",0.342,0.311,0.128,0.303
"P33","Mala",0.111,0.173,0.218,0.169
"P33","Muy mala",0.131,0.253,0.558,0.216
"P33","No sabe",0.023,0.028,0.031,0.153
"P34","Muy buena",0.478,0.221,0.057,0.205
"P34","Buena",0.203,0.154,0.062,0.127
"P34","Ni buena ni mala",0.107,0.192,0.088,0.194
"P34","Mala",0.061,0.104,0.122,0.089
"P34","Muy mala",0.123,0.306,0.649,0.27
"P34","No sabe",0.028,0.023,0.022,0.115
"P35","Muy buena",0.036,0.078,0.168,0.062
"P35","Buena",0.044,0.109,0.188,0.087
"P35","Ni buena ni mala",0.081,0.161,0.229,0.153
"P35","Mala",0.133,0.194,0.161,0.205
"P35","Muy mala",0.685,0.446,0.244,0.46
"P35","No sabe",0.021,0.012,0.01,0.033
"P36","Muy buena",0.051,0.091,0.157,0.072
"P36","Buena",0.061,0.158,0.234,0.136
"P36","Ni buena ni mala",0.168,0.255,0.262,0.263
"P36","Mala",0.221,0.192,0.137,0.151
"P36","Muy mala",0.457,0.261,0.174,0.226
"P36","No sabe",0.042,0.043,0.036,0.152
"P37","Muy buena",0.039,0.095,0.177,0.078
"P37","Buena",0.044,0.139,0.229,0.146
"P37","Ni buena ni mala",0.093,0.205,0.222,0.151
"P37","Mala",0.175,0.164,0.137,0.164
"P37","Muy mala",0.62,0.378,0.214,0.333
"P37","No sabe",0.029,0.019,0.021,0.128
"P38","Muy buena",0.084,0.125,0.216,0.108
"P38","Buena",0.047,0.132,0.156,0.118
"P38","Ni buena ni mala",0.105,0.217,0.28,0.226
"P38","Mala",0.114,0.12,0.101,0.094
"P38","Muy mala",0.588,0.351,0.201,0.272
"P38","No sabe",0.062,0.055,0.046,0.182
"P39","Muy buena",0.033,0.144,0.367,0.106
"P39","Buena",0.05,0.142,0.197,0.118
"P39","Ni buena ni mala",0.08,0.151,0.16,0.177
"P39","Mala",0.134,0.114,0.079,0.077
"P39","Muy mala",0.661,0.413,0.164,0.364
"P39","No sabe",0.042,0.036,0.033,0.158
"P40","Muy buena",0.109,0.062,0.03,0.029
"P40","Buena",0.301,0.153,0.096,0.129
"P40","Ni buena ni mala",0.344,0.366,0.204,0.377
"P40","Mala",0.151,0.231,0.315,0.214
"P40","Muy mala",0.057,0.14,0.326,0.13
"P40","No sabe",0.038,0.048,0.029,0.121
"P41","Muy buena",0.026,0.021,0.023,0.014
"P41","Buena",0.054,0.068,0.066,0.059
"P41","Ni buena ni mala",0.124,0.224,0.193,0.201
"P41","Mala",0.249,0.254,0.284,0.28
"P41","Muy mala",0.512,0.395,0.409,0.327
"P41","No sabe",0.035,0.038,0.025,0.119
