"var","categoria","Frente de Todos y el peronismo","Cambiemos","Liberales","Izquierda","No sabe"
"P04","Tengo trabajo estable",0.477,0.398,0.445,0.444,0.299
"P04","Realizo changas o trabajos de vez en cuando",0.184,0.166,0.227,0.219,0.272
"P04","No tengo trabajo",0.153,0.158,0.235,0.143,0.212
"P04","Soy jubilado o pensionado",0.186,0.278,0.093,0.194,0.217
"P05","Derecha",0.128,0.249,0.326,0.087,0.087
"P05","Centro derecha",0.075,0.314,0.204,0.059,0.086
"P05","Centro izquierda",0.338,0.11,0.055,0.188,0.114
"P05","Izquierda",0.15,0.065,0.059,0.434,0.052
"P05","No sabe",0.309,0.262,0.356,0.232,0.661
"P06","Muy importante",0.774,0.579,0.497,0.725,0.549
"P06","Algo importante",0.119,0.252,0.183,0.117,0.144
"P06","Nada importante",0.054,0.128,0.264,0.062,0.096
"P06","No sabe",0.053,0.041,0.056,0.096,0.211
"P07","Estoy de acuerdo",0.599,0.33,0.262,0.597,0.271
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.261,0.449,0.401,0.161,0.366
"P07","No estoy de acuerdo",0.102,0.18,0.276,0.117,0.232
"P07","No sabe",0.038,0.041,0.061,0.125,0.131
"P16","Sí, lo votaría",0.047,0.694,0.422,0.054,0.129
"P16","Puede que lo vote",0.036,0.152,0.222,0.056,0.129
"P16","Nunca lo votaría",0.892,0.134,0.289,0.85,0.518
"P16","No sabe",0.025,0.02,0.067,0.04,0.224
"P17","Sí, la votaría",0.674,0.126,0.089,0.244,0.111
"P17","Puede que la vote",0.125,0.04,0.054,0.243,0.116
"P17","Nunca la votaría",0.183,0.824,0.828,0.48,0.581
"P17","No sabe",0.018,0.01,0.029,0.033,0.192
"P18","Cristina Fernández de Kirchner por el Frente de Todos",0.801,0.055,0.024,0.239,0.142
"P18","Mauricio Macri por Cambiemos",0.033,0.715,0.052,0.028,0.097
"P18","Javier Milei por los liberales",0.033,0.057,0.839,0.033,0.07
"P18","Nicolás del Caño por la izquierda",0.011,0.007,0.011,0.384,0.02
"P18","Otro candidato",0.122,0.166,0.074,0.316,0.671
"P19","Horacio Rodríguez Larreta por Cambiemos",0.147,0.574,0.083,0.091,0.192
"P19","Alberto Fernández por el Frente de Todos",0.591,0.141,0.034,0.1,0.093
"P19","Javier Milei por los liberales",0.041,0.084,0.807,0.032,0.105
"P19","Nicolás del Caño por la izquierda",0.026,0.008,0.01,0.431,0.015
"P19","Otro candidato",0.195,0.193,0.066,0.346,0.595
"P20","Mauricio Macri presidente Javier Milei vice",0.058,0.625,0.627,0.047,0.121
"P20","Sergio Massa presidente Gerardo Morales vice",0.342,0.053,0.045,0.164,0.109
"P20","Nicolas del Caño presidente Myriam Bregman vice",0.101,0.012,0.051,0.536,0.043
"P20","No sabe",0.499,0.31,0.277,0.253,0.727
"P21","Mauricio Macri presidente Patricia Bullrich vice",0.039,0.681,0.217,0.032,0.13
"P21","Alberto Fernández presidente Sergio Massa vice",0.4,0.032,0.011,0.138,0.1
"P21","Javier Milei presidente José Luis Espert vice",0.03,0.029,0.649,0.061,0.08
