"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna"
"Juan Laborde Rodríguez","Muy buena",0.078,0.109,0.048,0.166,0.054,0.024,0.055,0.095,0.096,0.019,0.124,0.076,0.03,0.038,0.108,0
"Juan Laborde Rodríguez","Buena",0.046,0.015,0.075,0.085,0.022,0.043,0.046,0.048,0.056,0.024,0.012,0.013,0.093,0.055,0.033,0.209
"Juan Laborde Rodríguez","Ni buena ni mala",0.318,0.336,0.301,0.295,0.343,0.335,0.261,0.393,0.295,0.248,0.234,0.397,0.374,0.348,0.31,0.4
"Juan Laborde Rodríguez","Mala",0.098,0.156,0.041,0.166,0.077,0.089,0.036,0.086,0.137,0.044,0.1,0.155,0.073,0.101,0.097,0
"Juan Laborde Rodríguez","Muy mala",0.054,0.081,0.029,0.098,0.034,0.056,0.027,0.043,0.037,0.103,0.047,0.046,0.065,0.041,0.057,0.216
"Juan Laborde Rodríguez","No sabe",0.406,0.303,0.506,0.19,0.47,0.453,0.575,0.335,0.379,0.562,0.483,0.313,0.365,0.417,0.395,0.175
"Nicolás Massot","Muy buena",0.114,0.146,0.084,0.212,0.084,0.069,0.094,0.17,0.106,0.048,0.136,0.162,0.074,0.068,0.142,0.204
"Nicolás Massot","Buena",0.092,0.102,0.082,0.025,0.116,0.104,0.122,0.096,0.082,0.101,0.069,0.126,0.101,0.083,0.115,0.13
"Nicolás Massot","Ni buena ni mala",0.381,0.361,0.4,0.441,0.363,0.389,0.305,0.399,0.399,0.323,0.347,0.335,0.432,0.363,0.409,0.29
"Nicolás Massot","Mala",0.087,0.069,0.103,0.034,0.109,0.098,0.102,0.042,0.12,0.093,0.085,0.095,0.085,0.128,0.077,0.037
"Nicolás Massot","Muy mala",0.115,0.161,0.072,0.129,0.106,0.115,0.118,0.085,0.104,0.179,0.118,0.102,0.118,0.118,0.096,0.213
"Nicolás Massot","No sabe",0.211,0.161,0.259,0.159,0.222,0.225,0.259,0.208,0.189,0.256,0.245,0.18,0.19,0.24,0.161,0.126
"Segundo Cernadas","Muy buena",0.16,0.169,0.15,0.195,0.114,0.2,0.174,0.15,0.174,0.15,0.166,0.188,0.142,0.05,0.27,0.142
