"var","categoria","Unión por la Patria","Juntos por el Cambio ","Liberales","Izquierda","Hacemos por Nuestro país","No sabe"
"P06","Mucho",0.678,0.54,0.562,0.772,0.493,0.316
"P06","Bastante",0.24,0.344,0.267,0.157,0.202,0.302
"P06","Poco",0.061,0.094,0.119,0.056,0.123,0.245
"P06","Nada",0.014,0.022,0.05,0.015,0.17,0.105
"P06","No sabe",0.007,0,0.002,0,0.012,0.032
"P07","Siempre",0.24,0.267,0.235,0.323,0.301,0.101
"P07","Casi siempre",0.413,0.443,0.333,0.461,0.323,0.327
"P07","Casi nunca",0.305,0.236,0.314,0.171,0.304,0.371
"P07","Nunca, pero esta es una excepción",0.042,0.054,0.118,0.045,0.072,0.201
"P09","Gran excedente habitual",0.028,0.017,0.016,0.012,0.023,0.003
"P09","Gran excedente excepcional",0.044,0.022,0.017,0.027,0.015,0.007
"P09","Pequeño excedente habitual",0.16,0.109,0.133,0.046,0.118,0.032
"P09","Pequeño excedente excepcional",0.188,0.166,0.138,0.178,0.087,0.06
"P09","Alcanza gastos familia",0.108,0.153,0.151,0.143,0.152,0.165
"P09","No alcanza gastos familia",0.035,0.061,0.068,0.061,0.083,0.153
"P09","Solo NBFamiliares",0.244,0.267,0.266,0.231,0.169,0.244
"P09","No alcanza NBFamiliares",0.189,0.193,0.202,0.302,0.339,0.32
"P09","No sabe",0.004,0.012,0.009,0,0.014,0.016
"P10","Tiene Decidido que va a ir a votar",0.94,0.906,0.907,0.859,0.842,0.639
"P10","Tiene dudas sobre si va a ir a  votar",0.047,0.072,0.07,0.067,0.12,0.201
"P10","Tiene Decidido que no va a ir a votar",0.013,0.022,0.023,0.074,0.038,0.16
"P14","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.841,0.099,0.072,0.109,0.048,0.159
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.068,0.805,0.275,0.169,0.084,0.1
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.079,0.081,0.649,0.109,0.487,0.104
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.003,0.005,0,0.275,0.127,0.046
"P14","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.003,0.008,0,0.253,0.14,0.054
"P14","En blanco",0.001,0.001,0,0.023,0.034,0.314
"P14","No sabe",0.005,0.001,0.004,0.062,0.08,0.223
"P17","Totalmente seguro",0.77,0.725,0.663,0.617,0.46,0.293
"P17","Bastante seguro",0.121,0.157,0.195,0.21,0.18,0.074
"P17","Algo seguro",0.09,0.087,0.098,0.13,0.216,0.171
"P17","Para nada seguro",0.019,0.031,0.044,0.043,0.144,0.462
"P22","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.064,0.398,0.315,0.113,0,0.226
"P22","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.061,0.227,0.334,0.135,0.171,0.047
"P22","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.192,0.094,0.278,0,0.429,0
"P22","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.361,0.118,0.032,0.553,0,0.263
"P22","En blanco",0.223,0.112,0.041,0,0.125,0.068
"P22","No sabe",0.099,0.051,0,0.199,0.275,0.396
"P25","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.412,0.075,0.044,0.244,0.159,0.051
"P25","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.227,0.351,0.517,0.169,0.103,0.535
"P25","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.291,0.159,0.15,0.097,0,0.218
"P25","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.02,0.015,0.042,0.244,0,0.05
"P25","En blanco",0.015,0.266,0.175,0.177,0.232,0.087
"P25","No sabe",0.035,0.134,0.072,0.069,0.506,0.059
"P28","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.285,0.358,0.046,0.202,0.097,0.139
"P28","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.248,0.498,0.434,0.415,0.38,0.348
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.301,0.073,0.171,0.105,0.173,0.157
"P28","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.123,0.053,0.054,0.063,0.051,0
"P28","En blanco",0.043,0.018,0.261,0,0.197,0.318
"P28","No sabe",0,0,0.034,0.215,0.102,0.038
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.088,0.449,0.598,0.245,0.357,0.259
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.096,0.363,0.201,0.143,0.193,0.181
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.575,0.114,0.078,0.203,0.231,0.125
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.152,0.02,0.014,0.119,0.115,0.218
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.064,0.022,0.067,0.218,0.036,0.043
"P36","No sabe",0.025,0.032,0.042,0.072,0.068,0.174
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.834,0.122,0.102,0.287,0.135,0.247
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.042,0.813,0.526,0.25,0.486,0.311
"P37","En blanco",0.094,0.043,0.299,0.191,0.263,0.091
"P37","No sabe",0.03,0.022,0.073,0.272,0.116,0.351
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.144,0.827,0.225,0.299,0.182,0.258
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.067,0.085,0.708,0.113,0.511,0.162
"P38","En blanco",0.626,0.052,0.037,0.344,0.212,0.117
"P38","No sabe",0.163,0.036,0.03,0.244,0.095,0.463
"P39","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.877,0.126,0.102,0.338,0.156,0.28
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.034,0.381,0.761,0.185,0.576,0.214
"P39","En blanco",0.074,0.348,0.094,0.256,0.18,0.068
"P39","No sabe",0.015,0.145,0.043,0.221,0.088,0.438
"P40","Lo votaría",0.878,0.1,0.055,0.218,0.106,0.254
"P40","Puede que lo vote",0.071,0.085,0.201,0.294,0.245,0.12
"P40","Nunca lo votaría",0.042,0.773,0.715,0.44,0.55,0.422
"P40","No sabe",0.009,0.042,0.029,0.048,0.099,0.204
"P41","Lo votaría",0.154,0.791,0.261,0.176,0.148,0.138
"P41","Puede que lo vote",0.06,0.051,0.267,0.048,0.27,0.232
"P41","Nunca lo votaría",0.761,0.128,0.422,0.722,0.498,0.319
