"var","categoria","Sí, absolutamente","Sí, en cierta medida","No, en absoluto"
"P06","Mucho",0.683,0.564,0.566
"P06","Bastante",0.219,0.324,0.327
"P06","Poco",0.084,0.094,0.071
"P06","Nada",0.014,0.01,0.025
"P06","No sabe",0,0.008,0.011
"P07","Siempre",0.3,0.202,0.235
"P07","Casi siempre",0.391,0.468,0.41
"P07","Casi nunca",0.265,0.299,0.292
"P07","Nunca, pero esta es una excepción",0.044,0.031,0.063
"P09","Gran excedente habitual",0.026,0.011,0.02
"P09","Gran excedente excepcional",0.02,0.035,0.028
"P09","Pequeño excedente habitual",0.134,0.134,0.094
"P09","Pequeño excedente excepcional",0.16,0.19,0.141
"P09","Alcanza gastos familia",0.126,0.159,0.178
"P09","No alcanza gastos familia",0.049,0.051,0.072
"P09","Solo NBFamiliares",0.254,0.285,0.224
"P09","No alcanza NBFamiliares",0.223,0.121,0.24
"P09","No sabe",0.008,0.014,0.003
"P10","Tiene Decidido que va a ir a votar",0.909,0.895,0.894
"P10","Tiene dudas sobre si va a ir a  votar",0.067,0.084,0.073
"P10","Tiene Decidido que no va a ir a votar",0.024,0.021,0.033
"P13","Unión por la Patria",0.569,0.256,0.059
"P13","Juntos por el Cambio ",0.156,0.431,0.497
"P13","Liberales",0.124,0.154,0.323
"P13","Izquierda",0.058,0.06,0.028
"P13","Hacemos por Nuestro país",0.032,0.029,0.044
"P13","No sabe",0.061,0.07,0.049
"P14","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.562,0.274,0.087
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.2,0.439,0.559
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.152,0.176,0.299
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.021,0.035,0.014
"P14","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.038,0.02,0.015
"P14","En blanco",0.014,0.03,0.014
"P14","No sabe",0.013,0.026,0.012
"P17","Totalmente seguro",0.712,0.645,0.715
"P17","Bastante seguro",0.142,0.174,0.14
"P17","Algo seguro",0.091,0.125,0.087
"P17","Para nada seguro",0.055,0.056,0.058
"P22","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.087,0.128,0.293
"P22","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.05,0.126,0.248
"P22","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.148,0.237,0.247
"P22","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.388,0.256,0
"P22","En blanco",0.235,0.168,0.039
"P22","No sabe",0.092,0.085,0.173
"P25","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.191,0.095,0.04
"P25","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.305,0.351,0.391
"P25","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.155,0.202,0.165
"P25","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.03,0,0.06
"P25","En blanco",0.183,0.235,0.259
"P25","No sabe",0.136,0.117,0.085
"P28","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.162,0.221,0.08
"P28","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.3,0.379,0.485
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.166,0.201,0.169
"P28","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.119,0.057,0.017
"P28","En blanco",0.2,0.115,0.222
"P28","No sabe",0.053,0.027,0.027
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.245,0.301,0.495
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.114,0.302,0.274
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.367,0.265,0.099
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.139,0.05,0.06
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.098,0.043,0.029
"P36","No sabe",0.037,0.039,0.043
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.598,0.32,0.095
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.227,0.519,0.659
"P37","En blanco",0.118,0.102,0.183
"P37","No sabe",0.057,0.059,0.063
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.28,0.495,0.525
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.16,0.183,0.343
"P38","En blanco",0.43,0.21,0.074
"P38","No sabe",0.13,0.112,0.058
"P39","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.635,0.326,0.111
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.17,0.34,0.547
"P39","En blanco",0.123,0.206,0.256
"P39","No sabe",0.072,0.128,0.086
"P40","Lo votaría",0.61,0.29,0.084
"P40","Puede que lo vote",0.12,0.118,0.143
"P40","Nunca lo votaría",0.252,0.543,0.721
"P40","No sabe",0.018,0.049,0.052
"P41","Lo votaría",0.263,0.45,0.523
"P41","Puede que lo vote",0.068,0.127,0.151
"P41","Nunca lo votaría",0.629,0.375,0.277
"P41","No sabe",0.04,0.048,0.049
"P42","Lo votaría",0.156,0.204,0.409
"P42","Puede que lo vote",0.078,0.221,0.195
"P42","Nunca lo votaría",0.734,0.516,0.321
"P42","No sabe",0.032,0.059,0.075
"P43","Lo votaría",0.153,0.09,0.07
"P43","Puede que lo vote",0.301,0.199,0.07
"P43","Nunca lo votaría",0.489,0.651,0.81
"P43","No sabe",0.057,0.06,0.05
"P44","Lo votaría",0.1,0.07,0.054
"P44","Puede que lo vote",0.224,0.299,0.211
"P44","Nunca lo votaría",0.601,0.56,0.672
"P44","No sabe",0.075,0.071,0.063
"P53","Sergio Massa y Javier Milei",0.567,0.363,0.238
"P53","Patricia Bullrich y Javier Milei",0.236,0.459,0.602
"P53","Sergio Massa y Patricia Bullrich",0.197,0.178,0.16
"P54","Muy buena",0.123,0.05,0.051
"P54","Buena",0.121,0.106,0.104
"P54","Regular",0.297,0.157,0.043
"P54","Mala",0.252,0.241,0.181
"P54","Muy mala",0.207,0.446,0.621
"P55","Muy buena",0.069,0.015,0.016
"P55","Buena",0.181,0.099,0.009
"P55","Regular",0.323,0.158,0.032
"P55","Mala",0.175,0.246,0.214
"P55","Muy mala",0.252,0.482,0.729
"P56","Muy buena",0.18,0.034,0.041
"P56","Buena",0.25,0.22,0.144
"P56","Regular",0.309,0.388,0.341
"P56","Mala",0.135,0.224,0.24
"P56","Muy mala",0.126,0.134,0.234
"P57","Muy buena",0.129,0.026,0.034
"P57","Buena",0.287,0.278,0.168
"P57","Regular",0.406,0.485,0.438
"P57","Mala",0.115,0.17,0.23
"P57","Muy mala",0.063,0.041,0.13
"P58","Muy buena",0.186,0.057,0.032
"P58","Buena",0.279,0.219,0.105
"P58","Regular",0.316,0.362,0.275
"P58","Mala",0.133,0.23,0.296
"P58","Muy mala",0.086,0.132,0.292
"P59","Muy buena",0.204,0.053,0.086
"P59","Buena",0.351,0.321,0.207
"P59","Regular",0.302,0.426,0.437
"P59","Mala",0.086,0.131,0.16
"P59","Muy mala",0.057,0.069,0.11
"P60","Ha aumentado significativamente",0.172,0.049,0.063
"P60","Ha aumentado ligeramente",0.27,0.231,0.079
"P60","Se mantiene igual",0.263,0.289,0.308
"P60","Ha disminuido ligeramente",0.165,0.248,0.208
"P60","Ha disminuido significativamente",0.13,0.183,0.342
"P61","Muy baja",0.061,0.018,0.047
"P61","Baja",0.063,0.062,0.054
"P61","Moderada",0.115,0.08,0.046
"P61","Alta",0.318,0.254,0.108
"P61","Muy alta",0.443,0.586,0.745
"P62","Muy bajas",0.063,0.026,0.135
"P62","Bajas",0.072,0.19,0.256
"P62","Adecuadas",0.318,0.342,0.203
"P62","Altas",0.313,0.252,0.195
"P62","Muy altas",0.234,0.19,0.211
"P63","No, ninguna dificultad",0.543,0.365,0.31
"P63","Alguna dificultad ocasional",0.231,0.463,0.273
"P63","Sí, dificultades frecuentes",0.226,0.172,0.417
"P65","Reducir la inflación",0.546,0.367,0.231
"P65","Implementar reformas fiscales",0.097,0.231,0.096
"P65","Establecer políticas de control de precios",0.2,0.085,0.156
"P65","Reducir el gasto público",0.115,0.272,0.459
"P65","Estimular la inversión extranjera",0.025,0.038,0.042
"P65","Aumentar los subsidios a los servicios públicos",0.017,0.007,0.016
"P66","Fomentar la competencia entre proveedores",0.28,0.387,0.518
"P66","Incrementar la inversión en infraestructura",0.263,0.283,0.236
"P66","Implementar políticas de subsidios focalizados en grupos vulnerables",0.157,0.107,0.07
"P66","Realizar auditorías periódicas a las empresas de servicios públicos",0.3,0.223,0.176
"P67","Muy positiva",0.333,0.127,0.13
"P67","Positiva",0.269,0.254,0.119
"P67","Neutral",0.191,0.283,0.267
"P67","Algo negativa",0.121,0.153,0.18
"P67","Negativa",0.042,0.111,0.253
"P67","No sabe",0.044,0.072,0.051
"P68","Muy positivo",0.3,0.078,0.071
"P68","Positivo",0.297,0.213,0.087
"P68","Neutral",0.222,0.347,0.3
"P68","Algo negativo",0.057,0.161,0.165
"P68","Negativo",0.057,0.111,0.318
"P68","No sabe",0.067,0.09,0.059
"P69","Muy positivo",0.187,0.046,0.025
"P69","Positivo",0.238,0.151,0.096
"P69","Neutral",0.402,0.548,0.48
"P69","Algo negativo",0.048,0.09,0.112
"P69","Negativo",0.053,0.058,0.225
"P69","No sabe",0.072,0.107,0.062
"P70","Muy positiva",0.538,0.225,0.094
"P70","Positiva",0.144,0.225,0.15
"P70","Neutral",0.182,0.276,0.308
"P70","Algo negativa",0.031,0.153,0.122
"P70","Negativa",0.063,0.089,0.302
"P70","No sabe",0.042,0.032,0.024
"P71","Muy positivo",0.53,0.22,0.103
"P71","Positivo",0.161,0.249,0.19
"P71","Neutral",0.143,0.257,0.275
"P71","Algo negativo",0.043,0.14,0.153
"P71","Negativo",0.1,0.097,0.268
"P71","No sabe",0.023,0.037,0.011
"P72","Muy positivo",0.466,0.157,0.104
"P72","Positivo",0.188,0.314,0.165
