"var","categoria","Muy baja","Baja","Moderada","Alta","Muy alta"
"P06","Mucho",0.717,0.669,0.541,0.621,0.593
"P06","Bastante",0.113,0.253,0.246,0.262,0.312
"P06","Poco",0.129,0.053,0.116,0.105,0.076
"P06","Nada",0.019,0.014,0.067,0.009,0.018
"P06","No sabe",0.022,0.011,0.03,0.003,0.001
"P07","Siempre",0.465,0.436,0.222,0.222,0.227
"P07","Casi siempre",0.309,0.224,0.398,0.485,0.42
"P07","Casi nunca",0.168,0.256,0.282,0.272,0.301
"P07","Nunca, pero esta es una excepción",0.058,0.084,0.098,0.021,0.052
"P09","Gran excedente habitual",0.03,0.037,0.01,0.017,0.02
"P09","Gran excedente excepcional",0,0,0.008,0.057,0.026
"P09","Pequeño excedente habitual",0.086,0.194,0.072,0.128,0.128
"P09","Pequeño excedente excepcional",0.023,0.045,0.199,0.181,0.172
"P09","Alcanza gastos familia",0.025,0.061,0.084,0.149,0.178
"P09","No alcanza gastos familia",0.104,0.086,0.046,0.048,0.051
"P09","Solo NBFamiliares",0.382,0.27,0.306,0.235,0.256
"P09","No alcanza NBFamiliares",0.35,0.252,0.253,0.182,0.165
"P09","No sabe",0,0.055,0.022,0.003,0.004
"P10","Tiene Decidido que va a ir a votar",0.875,0.875,0.877,0.905,0.906
"P10","Tiene dudas sobre si va a ir a  votar",0.093,0.066,0.096,0.069,0.077
"P10","Tiene Decidido que no va a ir a votar",0.032,0.059,0.027,0.026,0.017
"P13","Unión por la Patria",0.28,0.448,0.487,0.577,0.206
"P13","Juntos por el Cambio ",0.234,0.187,0.265,0.188,0.43
"P13","Liberales",0.252,0.155,0.097,0.097,0.232
"P13","Izquierda",0.073,0.054,0.044,0.077,0.039
"P13","Hacemos por Nuestro país",0.043,0.041,0.043,0.028,0.034
"P13","No sabe",0.118,0.115,0.064,0.033,0.059
"P14","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.369,0.424,0.557,0.544,0.224
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.214,0.198,0.242,0.226,0.476
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.319,0.278,0.095,0.12,0.227
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.024,0,0.037,0.049,0.013
"P14","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.038,0.037,0.039,0.027,0.022
"P14","En blanco",0.032,0.034,0.026,0.02,0.015
"P14","No sabe",0.004,0.029,0.004,0.014,0.023
"P17","Totalmente seguro",0.638,0.55,0.669,0.724,0.689
"P17","Bastante seguro",0.179,0.219,0.186,0.142,0.149
"P17","Algo seguro",0.104,0.179,0.124,0.098,0.095
"P17","Para nada seguro",0.079,0.052,0.021,0.036,0.067
"P22","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.07,0.098,0.216,0.057,0.149
"P22","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.202,0.164,0.036,0.057,0.095
"P22","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.175,0.182,0.109,0.157,0.214
