"var","categoria","Ha aumentado significativamente","Ha aumentado ligeramente","Se mantiene igual","Ha disminuido ligeramente","Ha disminuido significativamente"
"P06","Mucho",0.818,0.722,0.542,0.524,0.55
"P06","Bastante",0.099,0.222,0.338,0.329,0.318
"P06","Poco",0.033,0.05,0.097,0.135,0.089
"P06","Nada",0.046,0.003,0.015,0.007,0.04
"P06","No sabe",0.004,0.003,0.008,0.005,0.003
"P07","Siempre",0.337,0.287,0.209,0.21,0.264
"P07","Casi siempre",0.285,0.439,0.452,0.462,0.364
"P07","Casi nunca",0.265,0.24,0.304,0.304,0.28
"P07","Nunca, pero esta es una excepción",0.113,0.034,0.035,0.024,0.092
"P09","Gran excedente habitual",0.076,0.032,0.005,0.013,0.006
"P09","Gran excedente excepcional",0.042,0.043,0.031,0.028,0.009
"P09","Pequeño excedente habitual",0.162,0.147,0.167,0.098,0.059
"P09","Pequeño excedente excepcional",0.124,0.2,0.17,0.182,0.116
"P09","Alcanza gastos familia",0.092,0.126,0.133,0.164,0.208
"P09","No alcanza gastos familia",0.043,0.035,0.051,0.078,0.061
"P09","Solo NBFamiliares",0.195,0.248,0.271,0.267,0.287
"P09","No alcanza NBFamiliares",0.266,0.147,0.164,0.165,0.251
"P09","No sabe",0,0.022,0.008,0.005,0.003
"P10","Tiene Decidido que va a ir a votar",0.916,0.923,0.904,0.889,0.876
"P10","Tiene dudas sobre si va a ir a  votar",0.056,0.06,0.073,0.085,0.097
"P10","Tiene Decidido que no va a ir a votar",0.028,0.017,0.023,0.026,0.027
"P13","Unión por la Patria",0.656,0.511,0.356,0.219,0.111
"P13","Juntos por el Cambio ",0.125,0.217,0.33,0.384,0.51
"P13","Liberales",0.11,0.151,0.166,0.214,0.243
"P13","Izquierda",0.063,0.036,0.055,0.064,0.043
"P13","Hacemos por Nuestro país",0.03,0.02,0.033,0.059,0.025
"P13","No sabe",0.016,0.065,0.06,0.06,0.068
"P14","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.65,0.522,0.387,0.196,0.138
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.121,0.246,0.375,0.436,0.531
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.182,0.173,0.151,0.228,0.25
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0,0.011,0.031,0.042,0.02
