"var","categoria","Si","No"
"P06","Mucho",0.677,0.568
"P06","Bastante",0.258,0.288
"P06","Poco",0.057,0.114
"P06","Nada",0.005,0.02
"P06","No sabe",0.003,0.01
"P07","Siempre",0.376,0.174
"P07","Casi siempre",0.426,0.458
"P07","Casi nunca",0.171,0.306
"P07","Nunca, pero esta es una excepción",0.027,0.062
"P09","Gran excedente habitual",0.019,0.018
"P09","Gran excedente excepcional",0.032,0.009
"P09","Pequeño excedente habitual",0.126,0.146
"P09","Pequeño excedente excepcional",0.155,0.143
"P09","Alcanza gastos familia",0.151,0.124
"P09","No alcanza gastos familia",0.057,0.06
"P09","Solo NBFamiliares",0.25,0.274
"P09","No alcanza NBFamiliares",0.199,0.209
"P09","No sabe",0.011,0.017
"P10","Tiene Decidido que va a ir a votar",0.924,0.852
"P10","Tiene dudas sobre si va a ir a  votar",0.066,0.102
"P10","Tiene Decidido que no va a ir a votar",0.01,0.046
"P13","Unión por la Patria",0.426,0.29
"P13","Juntos por el Cambio ",0.279,0.339
"P13","Liberales",0.169,0.173
"P13","Izquierda",0.047,0.085
"P13","Hacemos por Nuestro país",0.02,0.038
"P13","No sabe",0.059,0.075
"P14","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.411,0.347
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.287,0.373
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.212,0.168
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.028,0.036
"P14","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.021,0.032
"P14","En blanco",0.031,0.021
"P14","No sabe",0.01,0.023
"P17","Totalmente seguro",0.72,0.695
"P17","Bastante seguro",0.13,0.13
"P17","Algo seguro",0.096,0.1
"P17","Para nada seguro",0.054,0.075
"P22","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.139,0.095
"P22","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.076,0.096
"P22","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.234,0.217
"P22","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.291,0.351
"P22","En blanco",0.169,0.113
"P22","No sabe",0.091,0.128
"P25","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.069,0.122
"P25","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.377,0.357
"P25","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.192,0.147
"P25","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.018,0.045
"P25","En blanco",0.262,0.227
"P25","No sabe",0.082,0.102
"P28","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.209,0.157
"P28","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.471,0.424
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.105,0.204
"P28","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.023,0.079
"P28","En blanco",0.162,0.126
"P28","No sabe",0.03,0.01
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.292,0.361
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.193,0.19
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.317,0.272
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.096,0.085
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.079,0.047
"P36","No sabe",0.023,0.045
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.423,0.367
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.371,0.451
"P37","En blanco",0.156,0.105
"P37","No sabe",0.05,0.077
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.378,0.415
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.219,0.186
"P38","En blanco",0.321,0.242
"P38","No sabe",0.082,0.157
"P39","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.429,0.41
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.308,0.327
"P39","En blanco",0.174,0.148
"P39","No sabe",0.089,0.115
"P40","Lo votaría",0.437,0.344
"P40","Puede que lo vote",0.125,0.147
"P40","Nunca lo votaría",0.407,0.463
"P40","No sabe",0.031,0.046
"P41","Lo votaría",0.366,0.395
"P41","Puede que lo vote",0.102,0.102
"P41","Nunca lo votaría",0.504,0.421
"P41","No sabe",0.028,0.082
"P42","Lo votaría",0.271,0.198
"P42","Puede que lo vote",0.106,0.187
"P42","Nunca lo votaría",0.586,0.561
"P42","No sabe",0.037,0.054
"P43","Lo votaría",0.116,0.109
"P43","Puede que lo vote",0.244,0.205
"P43","Nunca lo votaría",0.608,0.612
"P43","No sabe",0.032,0.074
"P44","Lo votaría",0.109,0.059
"P44","Puede que lo vote",0.229,0.265
"P44","Nunca lo votaría",0.623,0.585
"P44","No sabe",0.039,0.091
"P53","Sergio Massa y Javier Milei",0.475,0.384
"P53","Patricia Bullrich y Javier Milei",0.357,0.423
"P53","Sergio Massa y Patricia Bullrich",0.168,0.193
"P54","Muy buena",0.114,0.083
"P54","Buena",0.122,0.147
"P54","Regular",0.216,0.175
"P54","Mala",0.199,0.219
"P54","Muy mala",0.349,0.376
"P55","Muy buena",0.044,0.047
"P55","Buena",0.115,0.104
"P55","Regular",0.248,0.183
"P55","Mala",0.189,0.211
"P55","Muy mala",0.404,0.455
"P56","Muy buena",0.125,0.113
"P56","Buena",0.216,0.175
"P56","Regular",0.311,0.335
"P56","Mala",0.15,0.218
"P56","Muy mala",0.198,0.159
"P57","Muy buena",0.107,0.058
"P57","Buena",0.269,0.234
"P57","Regular",0.436,0.43
"P57","Mala",0.119,0.184
"P57","Muy mala",0.069,0.094
"P58","Muy buena",0.135,0.086
"P58","Buena",0.234,0.228
"P58","Regular",0.318,0.307
"P58","Mala",0.166,0.211
"P58","Muy mala",0.147,0.168
"P59","Muy buena",0.164,0.101
"P59","Buena",0.31,0.308
"P59","Regular",0.354,0.387
"P59","Mala",0.093,0.119
"P59","Muy mala",0.079,0.085
"P60","Ha aumentado significativamente",0.125,0.094
"P60","Ha aumentado ligeramente",0.279,0.225
"P60","Se mantiene igual",0.236,0.285
"P60","Ha disminuido ligeramente",0.172,0.211
"P60","Ha disminuido significativamente",0.188,0.185
"P61","Muy baja",0.062,0.046
"P61","Baja",0.085,0.05
"P61","Moderada",0.096,0.086
"P61","Alta",0.284,0.222
"P61","Muy alta",0.473,0.596
"P62","Muy bajas",0.103,0.063
"P62","Bajas",0.146,0.14
"P62","Adecuadas",0.323,0.31
"P62","Altas",0.214,0.256
"P62","Muy altas",0.214,0.231
"P63","No, ninguna dificultad",0.481,0.406
"P63","Alguna dificultad ocasional",0.287,0.329
"P63","Sí, dificultades frecuentes",0.232,0.265
"P64","Sí, absolutamente",0.49,0.397
"P64","Sí, en cierta medida",0.315,0.37
"P64","No, en absoluto",0.195,0.233
"P65","Reducir la inflación",0.451,0.368
"P65","Implementar reformas fiscales",0.147,0.136
"P65","Establecer políticas de control de precios",0.157,0.177
"P65","Reducir el gasto público",0.212,0.274
"P65","Estimular la inversión extranjera",0.028,0.027
"P65","Aumentar los subsidios a los servicios públicos",0.005,0.018
"P66","Fomentar la competencia entre proveedores",0.391,0.343
"P66","Incrementar la inversión en infraestructura",0.253,0.251
"P66","Implementar políticas de subsidios focalizados en grupos vulnerables",0.126,0.133
"P66","Realizar auditorías periódicas a las empresas de servicios públicos",0.23,0.273
"P67","Muy positiva",0.269,0.186
"P67","Positiva",0.244,0.239
"P67","Neutral",0.224,0.252
"P67","Algo negativa",0.14,0.137
"P67","Negativa",0.095,0.121
"P67","No sabe",0.028,0.065
"P68","Muy positivo",0.238,0.123
"P68","Positivo",0.227,0.244
"P68","Neutral",0.259,0.289
"P68","Algo negativo",0.1,0.126
"P68","Negativo",0.111,0.162
"P68","No sabe",0.065,0.056
"P69","Muy positivo",0.145,0.078
"P69","Positivo",0.182,0.195
"P69","Neutral",0.453,0.486
"P69","Algo negativo",0.058,0.084
"P69","Negativo",0.078,0.099
"P69","No sabe",0.084,0.058
"P70","Muy positiva",0.4,0.303
"P70","Positiva",0.139,0.187
"P70","Neutral",0.246,0.238
"P70","Algo negativa",0.09,0.105
