"var","categoria","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P06","Mucho",0.661,0.559,0.644,0.474
"P06","Bastante",0.248,0.326,0.232,0.248
"P06","Poco",0.064,0.09,0.106,0.184
"P06","Nada",0.022,0.024,0.011,0.057
"P06","No sabe",0.005,0.001,0.007,0.037
"P07","Siempre",0.255,0.253,0.301,0.142
"P07","Casi siempre",0.422,0.415,0.345,0.393
"P07","Casi nunca",0.28,0.259,0.317,0.399
"P07","Nunca, pero esta es una excepción",0.043,0.073,0.037,0.066
"P09","Gran excedente habitual",0.025,0.015,0.03,0
"P09","Gran excedente excepcional",0.041,0.025,0.003,0.041
"P09","Pequeño excedente habitual",0.147,0.109,0.116,0.043
"P09","Pequeño excedente excepcional",0.182,0.167,0.14,0.101
"P09","Alcanza gastos familia",0.11,0.176,0.134,0.147
"P09","No alcanza gastos familia",0.041,0.061,0.052,0.148
"P09","Solo NBFamiliares",0.249,0.25,0.285,0.216
"P09","No alcanza NBFamiliares",0.202,0.184,0.24,0.275
"P09","No sabe",0.003,0.013,0,0.029
"P10","Tiene Decidido que va a ir a votar",0.935,0.918,0.836,0.753
"P10","Tiene dudas sobre si va a ir a  votar",0.051,0.064,0.126,0.093
"P10","Tiene Decidido que no va a ir a votar",0.014,0.018,0.038,0.154
"P13","Unión por la Patria",0.745,0.034,0.246,0.135
"P13","Juntos por el Cambio ",0.103,0.606,0.105,0.094
"P13","Liberales",0.051,0.233,0.437,0.185
"P13","Izquierda",0.043,0.034,0.084,0.209
"P13","Hacemos por Nuestro país",0.014,0.045,0.081,0.063
"P13","No sabe",0.044,0.048,0.047,0.314
"P14","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.776,0.052,0.182,0.156
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.094,0.665,0.178,0.118
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.079,0.231,0.476,0.203
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.013,0.017,0.049,0.092
"P14","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.021,0.007,0.073,0.111
"P14","En blanco",0.007,0.017,0.04,0.136
"P14","No sabe",0.01,0.011,0.002,0.184
"P17","Totalmente seguro",0.724,0.706,0.692,0.375
"P17","Bastante seguro",0.158,0.137,0.156,0.165
"P17","Algo seguro",0.086,0.111,0.074,0.17
"P17","Para nada seguro",0.032,0.046,0.078,0.29
"P22","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.073,0.363,0.147,0.212
"P22","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.07,0.277,0.123,0
"P22","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.179,0.148,0.127,0.427
"P22","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.363,0,0.31,0.131
"P22","En blanco",0.212,0.196,0.234,0.044
"P22","No sabe",0.103,0.016,0.059,0.186
"P25","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.395,0.056,0.071,0.043
"P25","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.263,0.376,0.522,0.259
"P25","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.159,0.165,0.128,0.272
"P25","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.058,0.025,0.012,0.04
"P25","En blanco",0.031,0.256,0.256,0.068
"P25","No sabe",0.094,0.122,0.011,0.318
"P28","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.255,0.127,0.101,0.148
"P28","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.396,0.611,0.115,0.217
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.173,0.126,0.303,0.072
"P28","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.119,0.025,0.028,0.239
"P28","En blanco",0.019,0.079,0.447,0.119
"P28","No sabe",0.038,0.032,0.006,0.205
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.166,0.475,0.395,0.241
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.12,0.343,0.126,0.079
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.477,0.097,0.249,0.262
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.135,0.015,0.073,0.248
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.069,0.03,0.122,0.062
"P36","No sabe",0.033,0.04,0.035,0.108
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.244,0.65,0.145,0.119
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.075,0.284,0.439,0.154
"P38","En blanco",0.532,0.028,0.392,0.106
"P38","No sabe",0.149,0.038,0.024,0.621
"P39","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.88,0.081,0.17,0.181
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.056,0.556,0.421,0.144
"P39","En blanco",0.046,0.25,0.387,0.07
"P39","No sabe",0.018,0.113,0.022,0.605
"P40","Lo votaría",0.796,0.066,0.264,0.132
"P40","Puede que lo vote",0.095,0.137,0.096,0.228
"P40","Nunca lo votaría",0.094,0.766,0.61,0.376
"P40","No sabe",0.015,0.031,0.03,0.264
"P41","Lo votaría",0.169,0.659,0.199,0.118
"P41","Puede que lo vote",0.071,0.16,0.105,0.092
"P41","Nunca lo votaría",0.718,0.146,0.658,0.534
"P41","No sabe",0.042,0.035,0.038,0.256
"P42","Lo votaría",0.092,0.303,0.44,0.17
"P42","Puede que lo vote",0.061,0.276,0.049,0.139
"P42","Nunca lo votaría",0.817,0.362,0.467,0.515
"P42","No sabe",0.03,0.059,0.044,0.176
"P43","Lo votaría",0.167,0.046,0.136,0.216
"P43","Puede que lo vote",0.365,0.097,0.122,0.197
