"var","categoria","Muy positivo","Positivo","Neutral","Algo negativo","Negativo","No sabe"
"P06","Mucho",0.751,0.588,0.643,0.542,0.628,0.422
"P06","Bastante",0.197,0.307,0.258,0.275,0.284,0.435
"P06","Poco",0.048,0.064,0.09,0.167,0.063,0.116
"P06","Nada",0,0.036,0.005,0.005,0.018,0
"P06","No sabe",0.004,0.005,0.004,0.011,0.007,0.027
"P07","Siempre",0.32,0.283,0.314,0.264,0.219,0.199
"P07","Casi siempre",0.416,0.386,0.462,0.534,0.427,0.386
"P07","Casi nunca",0.21,0.286,0.185,0.168,0.275,0.409
"P07","Nunca, pero esta es una excepción",0.054,0.045,0.039,0.034,0.079,0.006
"P09","Gran excedente habitual",0.035,0.022,0.013,0.006,0.021,0.005
"P09","Gran excedente excepcional",0.01,0.006,0.039,0,0.024,0.006
"P09","Pequeño excedente habitual",0.136,0.145,0.133,0.156,0.105,0.081
"P09","Pequeño excedente excepcional",0.202,0.152,0.153,0.168,0.137,0.091
"P09","Alcanza gastos familia",0.105,0.136,0.15,0.124,0.196,0.271
"P09","No alcanza gastos familia",0.037,0.048,0.064,0.102,0.066,0.035
"P09","Solo NBFamiliares",0.279,0.239,0.244,0.246,0.247,0.248
"P09","No alcanza NBFamiliares",0.196,0.244,0.184,0.198,0.204,0.199
"P09","No sabe",0,0.008,0.02,0,0,0.064
"P10","Tiene Decidido que va a ir a votar",0.915,0.91,0.897,0.92,0.865,0.793
"P10","Tiene dudas sobre si va a ir a  votar",0.04,0.053,0.093,0.068,0.118,0.117
"P10","Tiene Decidido que no va a ir a votar",0.045,0.037,0.01,0.012,0.017,0.09
"P13","Unión por la Patria",0.79,0.618,0.27,0.109,0.026,0.16
"P13","Juntos por el Cambio ",0.061,0.198,0.36,0.427,0.458,0.414
"P13","Liberales",0.025,0.055,0.213,0.334,0.34,0.13
"P13","Izquierda",0.078,0.059,0.05,0.045,0.093,0
"P13","Hacemos por Nuestro país",0.025,0.015,0.04,0.047,0.035,0.062
"P13","No sabe",0.021,0.055,0.067,0.038,0.048,0.234
"P14","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.694,0.644,0.318,0.124,0.07,0.155
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.086,0.119,0.382,0.549,0.582,0.342
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.153,0.124,0.198,0.286,0.293,0.248
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.043,0.053,0.025,0.005,0.018,0.012
"P14","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.008,0.039,0.047,0.014,0,0
"P14","En blanco",0.01,0.021,0.013,0.012,0.005,0.16
"P14","No sabe",0.006,0,0.017,0.01,0.032,0.083
"P17","Totalmente seguro",0.811,0.674,0.696,0.692,0.673,0.549
"P17","Bastante seguro",0.073,0.179,0.146,0.171,0.13,0.122
"P17","Algo seguro",0.074,0.111,0.086,0.095,0.131,0.21
"P17","Para nada seguro",0.042,0.036,0.072,0.042,0.066,0.119
"P22","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.04,0.103,0.173,0.178,0.12,0.062
"P22","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.025,0.058,0.11,0.078,0.73,0.053
"P22","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.151,0.303,0.152,0.606,0.05,0.146
"P22","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.438,0.269,0.318,0.038,0,0
"P22","En blanco",0.236,0.188,0.13,0,0,0.678
"P22","No sabe",0.11,0.079,0.117,0.1,0.1,0.061
"P25","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.204,0.26,0.094,0.07,0.097,0.067
"P25","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.679,0.37,0.293,0.477,0.339,0.452
"P25","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.068,0.058,0.195,0.126,0.167,0.092
"P25","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.049,0,0.07,0,0.029,0.014
"P25","En blanco",0,0.271,0.252,0.238,0.253,0.212
"P25","No sabe",0,0.041,0.096,0.089,0.115,0.163
"P28","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.441,0.171,0.111,0.243,0.036,0.253
"P28","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.442,0.261,0.58,0.201,0.597,0.218
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.09,0.308,0.151,0.372,0.071,0.048
"P28","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.027,0.017,0.03,0.06,0.084,0
"P28","En blanco",0,0.243,0.092,0.106,0.146,0.334
"P28","No sabe",0,0,0.036,0.018,0.066,0.147
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.137,0.162,0.355,0.43,0.568,0.326
