"var","categoria","Muy positivo","Positivo","Neutral","Algo negativo","Negativo","No sabe"
"P06","Mucho",0.738,0.637,0.601,0.574,0.731,0.495
"P06","Bastante",0.208,0.264,0.285,0.303,0.21,0.334
"P06","Poco",0.048,0.062,0.101,0.123,0.047,0.116
"P06","Nada",0,0.032,0.007,0,0.005,0.033
"P06","No sabe",0.006,0.005,0.006,0,0.007,0.022
"P07","Siempre",0.385,0.285,0.244,0.32,0.392,0.227
"P07","Casi siempre",0.361,0.358,0.459,0.491,0.413,0.476
"P07","Casi nunca",0.207,0.309,0.248,0.138,0.164,0.263
"P07","Nunca, pero esta es una excepción",0.047,0.048,0.049,0.051,0.031,0.034
"P09","Gran excedente habitual",0.053,0.01,0.015,0,0.03,0.003
"P09","Gran excedente excepcional",0.019,0.061,0.025,0.005,0.006,0
"P09","Pequeño excedente habitual",0.075,0.157,0.153,0.043,0.067,0.075
"P09","Pequeño excedente excepcional",0.193,0.162,0.142,0.11,0.196,0.18
"P09","Alcanza gastos familia",0.066,0.158,0.155,0.188,0.155,0.177
"P09","No alcanza gastos familia",0.077,0.035,0.055,0.075,0.077,0.057
"P09","Solo NBFamiliares",0.276,0.22,0.253,0.318,0.278,0.318
"P09","No alcanza NBFamiliares",0.241,0.186,0.19,0.256,0.187,0.158
"P09","No sabe",0,0.011,0.012,0.005,0.004,0.032
"P10","Tiene Decidido que va a ir a votar",0.884,0.905,0.926,0.915,0.811,0.809
"P10","Tiene dudas sobre si va a ir a  votar",0.065,0.064,0.065,0.085,0.124,0.129
"P10","Tiene Decidido que no va a ir a votar",0.051,0.031,0.009,0,0.065,0.062
"P13","Unión por la Patria",0.788,0.58,0.286,0.064,0.053,0.171
"P13","Juntos por el Cambio ",0.107,0.138,0.369,0.534,0.436,0.412
"P13","Liberales",0.036,0.084,0.206,0.244,0.317,0.157
"P13","Izquierda",0.019,0.09,0.051,0.061,0.126,0.054
"P13","Hacemos por Nuestro país",0.023,0.025,0.032,0.06,0.039,0.035
"P13","No sabe",0.027,0.083,0.056,0.037,0.029,0.171
"P14","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.701,0.604,0.309,0.124,0.076,0.185
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.117,0.109,0.4,0.592,0.56,0.427
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.118,0.169,0.195,0.243,0.322,0.161
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.011,0.043,0.028,0.01,0.024,0.041
