"var","categoria","Sergio Massa y Javier Milei","Patricia Bullrich y Javier Milei","Sergio Massa y Patricia Bullrich"
"P06","Mucho",0.622,0.571,0.663
"P06","Bastante",0.257,0.315,0.247
"P06","Poco",0.098,0.087,0.067
"P06","Nada",0.017,0.025,0.015
"P06","No sabe",0.006,0.002,0.008
"P07","Siempre",0.233,0.269,0.259
"P07","Casi siempre",0.412,0.423,0.389
"P07","Casi nunca",0.316,0.237,0.304
"P07","Nunca, pero esta es una excepción",0.039,0.071,0.048
"P09","Gran excedente habitual",0.025,0.009,0.022
"P09","Gran excedente excepcional",0.035,0.033,0.005
"P09","Pequeño excedente habitual",0.142,0.114,0.109
"P09","Pequeño excedente excepcional",0.193,0.164,0.091
"P09","Alcanza gastos familia",0.129,0.15,0.168
"P09","No alcanza gastos familia",0.046,0.063,0.069
"P09","Solo NBFamiliares",0.252,0.244,0.291
"P09","No alcanza NBFamiliares",0.171,0.21,0.244
"P09","No sabe",0.007,0.013,0.001
"P10","Tiene Decidido que va a ir a votar",0.916,0.91,0.85
"P10","Tiene dudas sobre si va a ir a  votar",0.061,0.07,0.096
"P10","Tiene Decidido que no va a ir a votar",0.023,0.02,0.054
"P13","Unión por la Patria",0.613,0.061,0.328
"P13","Juntos por el Cambio ",0.097,0.574,0.311
"P13","Liberales",0.134,0.262,0.155
"P13","Izquierda",0.044,0.037,0.087
"P13","Hacemos por Nuestro país",0.048,0.027,0.033
"P13","No sabe",0.064,0.039,0.086
"P14","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.61,0.088,0.325
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.088,0.647,0.364
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.192,0.218,0.193
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.029,0.01,0.037
"P14","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.04,0.01,0.031
"P14","En blanco",0.027,0.006,0.032
"P14","No sabe",0.014,0.021,0.018
"P17","Totalmente seguro",0.715,0.694,0.612
"P17","Bastante seguro",0.136,0.153,0.196
"P17","Algo seguro",0.084,0.116,0.12
"P17","Para nada seguro",0.065,0.037,0.072
"P22","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.079,0.361,0.115
"P22","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.07,0.233,0.069
"P22","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.165,0.191,0.161
"P22","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.367,0.131,0.308
"P22","En blanco",0.222,0.056,0.241
"P22","No sabe",0.097,0.028,0.106
"P25","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.191,0.074,0.113
"P25","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.327,0.396,0.347
"P25","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.204,0.153,0.171
"P25","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.015,0.025,0.054
"P25","En blanco",0.167,0.245,0.217
"P25","No sabe",0.096,0.107,0.098
"P28","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.166,0.11,0.168
"P28","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.279,0.534,0.331
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.214,0.148,0.241
"P28","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.055,0.058,0.063
"P28","En blanco",0.227,0.138,0.188
"P28","No sabe",0.059,0.012,0.009
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.181,0.486,0.328
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.141,0.297,0.2
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.429,0.138,0.215
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.15,0.013,0.115
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.063,0.034,0.101
"P36","No sabe",0.036,0.032,0.041
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.646,0.107,0.359
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.136,0.745,0.398
"P37","En blanco",0.151,0.108,0.138
"P37","No sabe",0.067,0.04,0.105
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.181,0.639,0.407
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.198,0.26,0.156
"P38","En blanco",0.48,0.058,0.265
"P38","No sabe",0.141,0.043,0.172
"P39","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.675,0.111,0.389
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.194,0.501,0.263
"P39","En blanco",0.091,0.263,0.215
"P39","No sabe",0.04,0.125,0.133
"P40","Lo votaría",0.63,0.104,0.356
"P40","Puede que lo vote",0.124,0.106,0.141
"P40","Nunca lo votaría",0.216,0.755,0.45
"P40","No sabe",0.03,0.035,0.053
"P41","Lo votaría",0.141,0.653,0.353
"P41","Puede que lo vote",0.094,0.138,0.101
"P41","Nunca lo votaría",0.716,0.172,0.487
"P41","No sabe",0.049,0.037,0.059
"P42","Lo votaría",0.168,0.322,0.2
"P42","Puede que lo vote",0.1,0.251,0.099
"P42","Nunca lo votaría",0.702,0.359,0.64
"P42","No sabe",0.03,0.068,0.061
"P43","Lo votaría",0.152,0.052,0.144
"P43","Puede que lo vote",0.336,0.106,0.161
"P43","Nunca lo votaría",0.442,0.817,0.614
"P43","No sabe",0.07,0.025,0.081
"P44","Lo votaría",0.107,0.065,0.038
"P44","Puede que lo vote",0.248,0.322,0.107
"P44","Nunca lo votaría",0.553,0.567,0.742
"P44","No sabe",0.092,0.046,0.113
"P54","Muy buena",0.168,0.014,0.026
"P54","Buena",0.072,0.181,0.051
"P54","Regular",0.273,0.052,0.315
"P54","Mala",0.283,0.173,0.237
"P54","Muy mala",0.204,0.58,0.371
"P55","Muy buena",0.053,0.006,0.055
"P55","Buena",0.196,0.038,0.094
"P55","Regular",0.301,0.064,0.241
"P55","Mala",0.224,0.204,0.178
"P55","Muy mala",0.226,0.688,0.432
"P56","Muy buena",0.145,0.032,0.125
"P56","Buena",0.268,0.135,0.239
"P56","Regular",0.303,0.378,0.314
"P56","Mala",0.147,0.261,0.165
"P56","Muy mala",0.137,0.194,0.157
"P57","Muy buena",0.088,0.019,0.137
"P57","Buena",0.329,0.203,0.2
"P57","Regular",0.412,0.466,0.41
"P57","Mala",0.111,0.22,0.174
"P57","Muy mala",0.06,0.092,0.079
"P58","Muy buena",0.14,0.02,0.176
"P58","Buena",0.293,0.141,0.189
"P58","Regular",0.349,0.318,0.293
"P58","Mala",0.141,0.275,0.197
"P58","Muy mala",0.077,0.246,0.145
"P59","Muy buena",0.165,0.063,0.129
"P59","Buena",0.365,0.258,0.277
"P59","Regular",0.34,0.432,0.342
"P59","Mala",0.084,0.136,0.177
"P59","Muy mala",0.046,0.111,0.075
"P60","Ha aumentado significativamente",0.131,0.04,0.162
"P60","Ha aumentado ligeramente",0.259,0.158,0.214
"P60","Se mantiene igual",0.3,0.263,0.295
"P60","Ha disminuido ligeramente",0.212,0.219,0.156
"P60","Ha disminuido significativamente",0.098,0.32,0.173
"P61","Muy baja",0.044,0.029,0.079
"P61","Baja",0.063,0.057,0.067
"P61","Moderada",0.101,0.04,0.148
"P61","Alta",0.348,0.154,0.203
"P61","Muy alta",0.444,0.72,0.503
"P62","Muy bajas",0.07,0.059,0.068
"P62","Bajas",0.136,0.201,0.113
"P62","Adecuadas",0.381,0.229,0.246
"P62","Altas",0.257,0.255,0.306
"P62","Muy altas",0.156,0.256,0.267
"P63","No, ninguna dificultad",0.527,0.351,0.358
"P63","Alguna dificultad ocasional",0.299,0.327,0.373
"P63","Sí, dificultades frecuentes",0.174,0.322,0.269
"P64","Sí, absolutamente",0.567,0.248,0.455
"P64","Sí, en cierta medida",0.301,0.401,0.34
"P64","No, en absoluto",0.132,0.351,0.205
"P65","Reducir la inflación",0.467,0.345,0.426
"P65","Implementar reformas fiscales",0.146,0.139,0.148
"P65","Establecer políticas de control de precios",0.209,0.082,0.164
"P65","Reducir el gasto público",0.13,0.39,0.209
"P65","Estimular la inversión extranjera",0.026,0.039,0.039
"P65","Aumentar los subsidios a los servicios públicos",0.022,0.005,0.014
"P66","Fomentar la competencia entre proveedores",0.322,0.45,0.312
"P66","Incrementar la inversión en infraestructura",0.259,0.258,0.288
"P66","Implementar políticas de subsidios focalizados en grupos vulnerables",0.147,0.082,0.141
"P66","Realizar auditorías periódicas a las empresas de servicios públicos",0.272,0.21,0.259
"P67","Muy positiva",0.34,0.101,0.183
"P67","Positiva",0.307,0.137,0.262
"P67","Neutral",0.178,0.306,0.232
"P67","Algo negativa",0.087,0.206,0.143
"P67","Negativa",0.047,0.19,0.103
"P67","No sabe",0.041,0.06,0.077
"P68","Muy positivo",0.254,0.071,0.193
"P68","Positivo",0.354,0.102,0.174
"P68","Neutral",0.228,0.338,0.289
"P68","Algo negativo",0.067,0.184,0.089
"P68","Negativo",0.046,0.231,0.132
"P68","No sabe",0.051,0.074,0.123
"P69","Muy positivo",0.164,0.025,0.115
"P69","Positivo",0.28,0.085,0.131
"P69","Neutral",0.437,0.512,0.463
"P69","Algo negativo",0.03,0.125,0.084
"P69","Negativo",0.036,0.154,0.098
"P69","No sabe",0.053,0.099,0.109
"P70","Muy positiva",0.553,0.099,0.313
"P70","Positiva",0.174,0.17,0.185
"P70","Neutral",0.151,0.335,0.254
"P70","Algo negativa",0.054,0.15,0.07
"P70","Negativa",0.042,0.213,0.125
"P70","No sabe",0.026,0.033,0.053
"P71","Muy positivo",0.507,0.114,0.361
"P71","Positivo",0.232,0.161,0.21
"P71","Neutral",0.114,0.324,0.197
"P71","Algo negativo",0.072,0.154,0.06
"P71","Negativo",0.058,0.224,0.124
"P71","No sabe",0.017,0.023,0.048
"P72","Muy positivo",0.417,0.113,0.296
"P72","Positivo",0.299,0.159,0.22
"P72","Neutral",0.186,0.422,0.264
"P72","Algo negativo",0.033,0.091,0.069
"P72","Negativo",0.044,0.19,0.11
"P72","No sabe",0.021,0.025,0.041
"P73","Muy positiva",0.372,0.071,0.265
"P73","Positiva",0.301,0.1,0.227
"P73","Neutral",0.158,0.315,0.16
"P73","Algo negativa",0.052,0.168,0.108
"P73","Negativa",0.051,0.283,0.136
"P73","No sabe",0.066,0.063,0.104
"P74","Muy positivo",0.359,0.038,0.225
"P74","Positivo",0.307,0.078,0.219
"P74","Neutral",0.148,0.324,0.203
"P74","Algo negativo",0.053,0.178,0.143
"P74","Negativo",0.073,0.307,0.13
"P74","No sabe",0.06,0.075,0.08
"P75","Muy positivo",0.24,0.041,0.192
"P75","Positivo",0.296,0.066,0.19
"P75","Neutral",0.289,0.392,0.3
"P75","Algo negativo",0.065,0.152,0.098
"P75","Negativo",0.051,0.267,0.133
"P75","No sabe",0.059,0.082,0.087
"P76","Muy positiva",0.537,0.179,0.325
"P76","Positiva",0.238,0.182,0.163
"P76","Neutral",0.138,0.238,0.207
"P76","Algo negativa",0.045,0.14,0.13
"P76","Negativa",0.021,0.223,0.097
"P76","No sabe",0.021,0.038,0.078
"P77","Muy positivo",0.487,0.158,0.34
"P77","Positivo",0.242,0.193,0.218
"P77","Neutral",0.16,0.209,0.149
"P77","Algo negativo",0.049,0.123,0.122
"P77","Negativo",0.038,0.278,0.087
"P77","No sabe",0.024,0.039,0.084
"P78","Muy positivo",0.449,0.138,0.301
"P78","Positivo",0.184,0.208,0.16
"P78","Neutral",0.279,0.326,0.347
"P78","Algo negativo",0.043,0.1,0.082
"P78","Negativo",0.025,0.174,0.073
"P78","No sabe",0.02,0.054,0.037
"P79","Si",0.558,0.463,0.471
"P79","No",0.442,0.537,0.529
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.61,0.088,0.325
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.088,0.647,0.364
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.192,0.218,0.193
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.029,0.01,0.037
"PRESIDENTE","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.04,0.01,0.031
"PRESIDENTE","En blanco",0.027,0.006,0.032
"PRESIDENTE","No sabe",0.014,0.021,0.018
