"var","categoria","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P06","Mucho",0.658,0.554,0.583,0.521
"P06","Bastante",0.255,0.302,0.312,0.252
"P06","Poco",0.064,0.105,0.084,0.125
"P06","Nada",0.016,0.037,0.021,0.064
"P06","No sabe",0.007,0.002,0,0.038
"P07","Siempre",0.233,0.281,0.246,0.231
"P07","Casi siempre",0.427,0.357,0.446,0.391
"P07","Casi nunca",0.308,0.269,0.265,0.276
"P07","Nunca, pero esta es una excepción",0.032,0.093,0.043,0.102
"P09","Gran excedente habitual",0.024,0.017,0.026,0.004
"P09","Gran excedente excepcional",0.039,0.024,0.008,0.046
"P09","Pequeño excedente habitual",0.144,0.118,0.097,0.063
"P09","Pequeño excedente excepcional",0.173,0.165,0.155,0.126
"P09","Alcanza gastos familia",0.103,0.185,0.168,0.109
"P09","No alcanza gastos familia",0.049,0.058,0.062,0.097
"P09","Solo NBFamiliares",0.249,0.226,0.291,0.263
"P09","No alcanza NBFamiliares",0.21,0.201,0.182,0.279
"P09","No sabe",0.009,0.006,0.011,0.013
"P10","Tiene Decidido que va a ir a votar",0.923,0.917,0.866,0.826
"P10","Tiene dudas sobre si va a ir a  votar",0.056,0.059,0.105,0.106
"P10","Tiene Decidido que no va a ir a votar",0.021,0.024,0.029,0.068
"P13","Unión por la Patria",0.742,0.035,0.142,0.048
"P13","Juntos por el Cambio ",0.099,0.37,0.615,0.435
"P13","Liberales",0.049,0.449,0.1,0.078
"P13","Izquierda",0.045,0.03,0.077,0.113
"P13","Hacemos por Nuestro país",0.015,0.069,0.039,0.032
"P13","No sabe",0.05,0.047,0.027,0.294
"P14","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.754,0.062,0.115,0.087
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.109,0.415,0.698,0.445
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.078,0.474,0.078,0.062
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.017,0.012,0.031,0.076
"P14","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.019,0.011,0.049,0.071
"P14","En blanco",0.013,0.016,0.016,0.13
"P14","No sabe",0.01,0.01,0.013,0.129
"P17","Totalmente seguro",0.711,0.678,0.729,0.543
"P17","Bastante seguro",0.166,0.168,0.13,0.079
"P17","Algo seguro",0.093,0.109,0.092,0.127
"P17","Para nada seguro",0.03,0.045,0.049,0.251
"P22","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.083,0.313,0.172,0.077
"P22","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.06,0.519,0.046,0.207
"P22","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.181,0.042,0.198,0.653
"P22","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.367,0,0.209,0
"P22","En blanco",0.201,0.109,0.319,0
"P22","No sabe",0.108,0.017,0.056,0.063
"P25","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.402,0.038,0.051,0.071
"P25","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.198,0.72,0.13,0.122
"P25","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.236,0.107,0.187,0.158
"P25","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.036,0.026,0.023,0.036
"P25","En blanco",0.066,0.065,0.544,0.113
"P25","No sabe",0.062,0.044,0.065,0.5
"P28","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.277,0.069,0.357,0.436
"P28","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.403,0.435,0.303,0.213
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.244,0.157,0.212,0.213
"P28","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.058,0.054,0.05,0.041
"P28","En blanco",0.018,0.249,0.078,0.097
"P28","No sabe",0,0.036,0,0
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.179,0.525,0.33,0.33
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.116,0.307,0.253,0.167
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.467,0.092,0.224,0.14
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.142,0.023,0.038,0.187
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.062,0.021,0.113,0.077
"P36","No sabe",0.034,0.032,0.042,0.099
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.828,0.066,0.098,0.067
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.086,0.734,0.594,0.477
"P37","En blanco",0.054,0.168,0.28,0.028
"P37","No sabe",0.032,0.032,0.028,0.428
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.239,0.426,0.652,0.438
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.078,0.537,0.055,0.054
"P38","En blanco",0.525,0.02,0.274,0.046
"P38","No sabe",0.158,0.017,0.019,0.462
"P40","Lo votaría",0.769,0.092,0.143,0.068
"P40","Puede que lo vote",0.108,0.147,0.098,0.142
"P40","Nunca lo votaría",0.108,0.743,0.716,0.568
"P40","No sabe",0.015,0.018,0.043,0.222
"P41","Lo votaría",0.178,0.441,0.649,0.48
"P41","Puede que lo vote",0.073,0.197,0.079,0.082
