"var","categoria","Muy buena","Buena","Regular","Mala","Muy mala"
"P06","Mucho",0.724,0.586,0.597,0.54,0.672
"P06","Bastante",0.159,0.348,0.298,0.301,0.205
"P06","Poco",0.054,0.062,0.086,0.139,0.083
"P06","Nada",0.052,0.004,0.009,0.02,0.037
"P06","No sabe",0.011,0,0.01,0,0.003
"P07","Siempre",0.412,0.198,0.255,0.201,0.268
"P07","Casi siempre",0.354,0.483,0.408,0.441,0.35
"P07","Casi nunca",0.167,0.28,0.288,0.306,0.312
"P07","Nunca, pero esta es una excepción",0.067,0.039,0.049,0.052,0.07
"P09","Gran excedente habitual",0.041,0.023,0.008,0.012,0.03
"P09","Gran excedente excepcional",0.01,0.041,0.028,0.023,0.034
"P09","Pequeño excedente habitual",0.08,0.128,0.16,0.108,0.091
"P09","Pequeño excedente excepcional",0.119,0.178,0.169,0.169,0.147
"P09","Alcanza gastos familia",0.115,0.122,0.144,0.154,0.2
"P09","No alcanza gastos familia",0.067,0.024,0.051,0.087,0.068
"P09","Solo NBFamiliares",0.28,0.297,0.264,0.24,0.207
"P09","No alcanza NBFamiliares",0.288,0.18,0.165,0.206,0.203
"P09","No sabe",0,0.007,0.011,0.001,0.02
"P10","Tiene Decidido que va a ir a votar",0.875,0.945,0.918,0.896,0.836
"P10","Tiene dudas sobre si va a ir a  votar",0.081,0.046,0.05,0.083,0.136
"P10","Tiene Decidido que no va a ir a votar",0.044,0.009,0.032,0.021,0.028
"P13","Unión por la Patria",0.606,0.63,0.314,0.181,0.06
"P13","Juntos por el Cambio ",0.118,0.164,0.445,0.431,0.305
"P13","Liberales",0.144,0.139,0.132,0.219,0.348
"P13","Izquierda",0.067,0.025,0.025,0.063,0.105
"P13","Hacemos por Nuestro país",0.027,0.027,0.024,0.041,0.067
"P13","No sabe",0.038,0.015,0.06,0.065,0.115
"P14","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.648,0.568,0.33,0.184,0.127
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.113,0.201,0.455,0.483,0.405
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.182,0.199,0.145,0.204,0.314
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.021,0.022,0.012,0.029,0.043
"P14","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.018,0.01,0.023,0.049,0.027
"P14","En blanco",0.018,0,0.015,0.018,0.059
"P14","No sabe",0,0,0.02,0.033,0.025
"P17","Totalmente seguro",0.805,0.755,0.685,0.627,0.602
"P17","Bastante seguro",0.111,0.156,0.142,0.199,0.156
"P17","Algo seguro",0.068,0.077,0.138,0.099,0.1
"P17","Para nada seguro",0.016,0.012,0.035,0.075,0.142
"P22","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.015,0.041,0.209,0.153,0.266
"P22","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.127,0.049,0.064,0.12,0.245
"P22","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.108,0.191,0.18,0.165,0.181
"P22","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.327,0.363,0.347,0.301,0.162
"P22","En blanco",0.235,0.28,0.134,0.217,0.062
"P22","No sabe",0.188,0.076,0.066,0.044,0.084
"P25","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.17,0.115,0.085,0.065,0.135
"P25","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.556,0.383,0.366,0.373,0.327
"P25","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.18,0.123,0.168,0.195,0.147
"P25","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.051,0.007,0.023,0.003,0.092
"P25","En blanco",0.023,0.249,0.221,0.279,0.217
"P25","No sabe",0.02,0.123,0.137,0.085,0.082
"P28","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.117,0.209,0.209,0.08,0.065
"P28","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.363,0.218,0.487,0.582,0.36
