"var","categoria","No, ninguna dificultad","Alguna dificultad ocasional","Sí, dificultades frecuentes"
"P06","Mucho",0.62,0.624,0.594
"P06","Bastante",0.285,0.286,0.266
"P06","Poco",0.072,0.078,0.113
"P06","Nada",0.023,0.005,0.015
"P06","No sabe",0,0.007,0.012
"P07","Siempre",0.238,0.243,0.284
"P07","Casi siempre",0.444,0.435,0.38
"P07","Casi nunca",0.262,0.288,0.302
"P07","Nunca, pero esta es una excepción",0.056,0.034,0.034
"P09","Gran excedente habitual",0.036,0.005,0.009
"P09","Gran excedente excepcional",0.058,0.012,0.007
"P09","Pequeño excedente habitual",0.207,0.09,0.029
"P09","Pequeño excedente excepcional",0.222,0.159,0.083
"P09","Alcanza gastos familia",0.114,0.209,0.13
"P09","No alcanza gastos familia",0.041,0.068,0.06
"P09","Solo NBFamiliares",0.202,0.309,0.284
"P09","No alcanza NBFamiliares",0.113,0.133,0.395
"P09","No sabe",0.007,0.015,0.003
"P10","Tiene Decidido que va a ir a votar",0.944,0.878,0.859
"P10","Tiene dudas sobre si va a ir a  votar",0.034,0.095,0.115
"P10","Tiene Decidido que no va a ir a votar",0.022,0.027,0.026
"P13","Unión por la Patria",0.457,0.267,0.226
"P13","Juntos por el Cambio ",0.282,0.36,0.377
"P13","Liberales",0.176,0.178,0.199
"P13","Izquierda",0.026,0.083,0.064
"P13","Hacemos por Nuestro país",0.03,0.037,0.039
"P13","No sabe",0.029,0.075,0.095
"P14","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.45,0.275,0.267
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.323,0.384,0.417
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.17,0.211,0.22
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.019,0.031,0.027
"P14","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.017,0.04,0.026
"P14","En blanco",0.011,0.023,0.029
"P14","No sabe",0.01,0.036,0.014
"P17","Totalmente seguro",0.742,0.672,0.622
"P17","Bastante seguro",0.147,0.134,0.185
"P17","Algo seguro",0.08,0.133,0.103
"P17","Para nada seguro",0.031,0.061,0.09
"P22","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.076,0.117,0.21
"P22","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.085,0.097,0.06
"P22","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.165,0.235,0.134
"P22","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.397,0.26,0.228
"P22","En blanco",0.202,0.192,0.227
"P22","No sabe",0.075,0.099,0.141
"P25","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.066,0.103,0.13
"P25","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.392,0.311,0.371
"P25","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.189,0.161,0.175
"P25","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.027,0.002,0.059
"P25","En blanco",0.229,0.301,0.154
"P25","No sabe",0.097,0.122,0.111
"P28","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.16,0.209,0.068
"P28","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.459,0.286,0.453
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.232,0.137,0.155
"P28","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.017,0.054,0.132
"P28","En blanco",0.113,0.259,0.164
"P28","No sabe",0.019,0.055,0.028
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.273,0.297,0.448
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.217,0.266,0.15
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.336,0.248,0.18
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.094,0.067,0.109
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.058,0.074,0.059
"P36","No sabe",0.022,0.048,0.054
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.488,0.322,0.271
