"var","categoria","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda","En blanco","No sabe"
"P06","Mucho",0.619,0.502,0.641,0.568,0.629,0.304
"P06","Bastante",0.324,0.316,0.1,0.395,0.212,0.163
"P06","Poco",0.057,0.169,0.227,0,0.088,0.187
"P06","Nada",0,0.013,0.032,0.037,0.071,0.294
"P06","No sabe",0,0,0,0,0,0.052
"P07","Siempre",0.252,0.266,0.333,0.298,0.397,0.141
"P07","Casi siempre",0.394,0.348,0.298,0.439,0.265,0.308
"P07","Casi nunca",0.309,0.314,0.298,0.083,0.236,0.457
"P07","Nunca, pero esta es una excepción",0.045,0.072,0.071,0.18,0.102,0.094
"P09","Gran excedente habitual",0.011,0.018,0,0,0.036,0
"P09","Gran excedente excepcional",0,0.032,0,0,0.018,0.053
"P09","Pequeño excedente habitual",0.105,0.114,0.076,0.019,0.145,0
"P09","Pequeño excedente excepcional",0.094,0.13,0.135,0.171,0.095,0.159
"P09","Alcanza gastos familia",0.069,0.121,0.065,0.081,0.204,0.288
"P09","No alcanza gastos familia",0.075,0.06,0.036,0.235,0.03,0
"P09","Solo NBFamiliares",0.279,0.259,0.354,0.133,0.171,0.172
"P09","No alcanza NBFamiliares",0.342,0.252,0.334,0.361,0.301,0.328
"P09","No sabe",0.025,0.014,0,0,0,0
"P10","Tiene Decidido que va a ir a votar",0.822,0.852,0.987,0.875,0.898,0.697
"P10","Tiene dudas sobre si va a ir a  votar",0.117,0.106,0.013,0.101,0.102,0.141
"P10","Tiene Decidido que no va a ir a votar",0.061,0.042,0,0.024,0,0.162
"P13","Unión por la Patria",0.291,0.083,0.236,0.272,0.031,0
"P13","Juntos por el Cambio ",0.352,0.16,0.055,0.114,0.012,0
"P13","Liberales",0.196,0.601,0.558,0.501,0.788,0.514
"P13","Izquierda",0.049,0.033,0.019,0.033,0,0.187
"P13","Hacemos por Nuestro país",0.069,0.088,0.095,0.08,0.1,0.258
"P13","No sabe",0.043,0.035,0.037,0,0.069,0.041
"P17","Totalmente seguro",0.659,0.639,0.625,0.394,0.786,0.381
"P17","Bastante seguro",0.182,0.162,0.229,0.268,0.129,0.147
"P17","Algo seguro",0.073,0.177,0.095,0.051,0.026,0.237
"P17","Para nada seguro",0.086,0.022,0.051,0.287,0.059,0.235
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.428,0.629,0.517,0.568,0.554,0.578
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.247,0.167,0.217,0.066,0.195,0.261
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.257,0.132,0.117,0.131,0.047,0.12
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.026,0.036,0.01,0.146,0.017,0
