"var","categoria","Muy positivo","Positivo","Neutral","Algo negativo","Negativo","No sabe"
"P06","Mucho",0.77,0.627,0.536,0.611,0.676,0.502
"P06","Bastante",0.172,0.275,0.327,0.278,0.256,0.337
"P06","Poco",0.049,0.073,0.117,0.111,0.051,0.116
"P06","Nada",0.002,0.021,0.011,0,0.017,0.022
"P06","No sabe",0.007,0.004,0.009,0,0,0.023
"P07","Siempre",0.4,0.242,0.217,0.318,0.327,0.228
"P07","Casi siempre",0.296,0.429,0.455,0.524,0.439,0.523
"P07","Casi nunca",0.264,0.287,0.269,0.146,0.166,0.236
"P07","Nunca, pero esta es una excepción",0.04,0.042,0.059,0.012,0.068,0.013
"P09","Gran excedente habitual",0.046,0.013,0.019,0.007,0.017,0
"P09","Gran excedente excepcional",0.021,0.039,0.024,0.021,0.011,0.02
"P09","Pequeño excedente habitual",0.101,0.161,0.133,0.076,0.12,0.083
"P09","Pequeño excedente excepcional",0.167,0.182,0.131,0.148,0.171,0.152
"P09","Alcanza gastos familia",0.134,0.104,0.164,0.242,0.154,0.163
"P09","No alcanza gastos familia",0.027,0.033,0.095,0.081,0.05,0.032
"P09","Solo NBFamiliares",0.251,0.277,0.236,0.267,0.255,0.35
"P09","No alcanza NBFamiliares",0.248,0.186,0.183,0.155,0.215,0.154
"P09","No sabe",0.005,0.005,0.015,0.003,0.007,0.046
"P10","Tiene Decidido que va a ir a votar",0.911,0.922,0.901,0.954,0.87,0.778
"P10","Tiene dudas sobre si va a ir a  votar",0.052,0.052,0.076,0.042,0.114,0.171
"P10","Tiene Decidido que no va a ir a votar",0.037,0.026,0.023,0.004,0.016,0.051
"P13","Unión por la Patria",0.73,0.579,0.216,0.06,0.03,0.187
"P13","Juntos por el Cambio ",0.074,0.161,0.399,0.576,0.513,0.398
"P13","Liberales",0.089,0.088,0.208,0.263,0.298,0.174
"P13","Izquierda",0.037,0.076,0.062,0.024,0.099,0.056
"P13","Hacemos por Nuestro país",0.033,0.016,0.044,0.046,0.042,0.029
"P13","No sabe",0.037,0.08,0.071,0.031,0.018,0.156
"P14","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.656,0.602,0.264,0.087,0.054,0.188
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.109,0.126,0.438,0.587,0.655,0.386
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.184,0.143,0.198,0.262,0.252,0.191
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.008,0.028,0.037,0.031,0.018,0.042
"P14","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.026,0.057,0.029,0.014,0.011,0.027
"P14","En blanco",0.013,0.035,0.016,0,0.007,0.074
"P14","No sabe",0.004,0.009,0.018,0.019,0.003,0.092
"P17","Totalmente seguro",0.748,0.684,0.654,0.816,0.714,0.637
"P17","Bastante seguro",0.146,0.144,0.157,0.101,0.166,0.121
"P17","Algo seguro",0.05,0.108,0.132,0.047,0.091,0.151
"P17","Para nada seguro",0.056,0.064,0.057,0.036,0.029,0.091
"P22","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.133,0.084,0.093,0.167,0.259,0.059
"P22","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.02,0.064,0.089,0.477,0.352,0.129
"P22","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.138,0.215,0.271,0.22,0.186,0.158
"P22","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.274,0.403,0.367,0.077,0,0.209
"P22","En blanco",0.26,0.16,0.132,0.059,0,0.405
"P22","No sabe",0.175,0.074,0.048,0,0.203,0.04
"P25","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.084,0.137,0.142,0.061,0.049,0.058
"P25","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.648,0.367,0.384,0.371,0.301,0.246
"P25","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.213,0.208,0.196,0.134,0.134,0.178
"P25","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0,0.028,0.008,0.019,0.08,0.023
"P25","En blanco",0.039,0.174,0.152,0.283,0.342,0.3
"P25","No sabe",0.016,0.086,0.118,0.132,0.094,0.195
"P28","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.242,0.21,0.095,0.182,0.118,0.135
"P28","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.311,0.292,0.588,0.243,0.488,0.32
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.208,0.224,0.105,0.394,0.136,0.11
"P28","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.093,0.029,0.035,0.03,0.034,0.033
"P28","En blanco",0.146,0.191,0.14,0.133,0.224,0.234
"P28","No sabe",0,0.054,0.037,0.018,0,0.168
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.168,0.188,0.393,0.495,0.454,0.331
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.084,0.128,0.26,0.29,0.288,0.327
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.454,0.432,0.208,0.12,0.096,0.182
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.167,0.133,0.058,0.059,0.026,0.056
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.119,0.088,0.033,0.008,0.092,0.04
"P36","No sabe",0.008,0.031,0.048,0.028,0.044,0.064
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.659,0.625,0.302,0.099,0.092,0.234
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.114,0.174,0.53,0.779,0.698,0.523
"P37","En blanco",0.193,0.133,0.107,0.089,0.174,0.081
