"var","categoria","Muy buena","Buena","Regular","Mala","Muy mala"
"P06","Mucho",0.607,0.535,0.431,0.416,0.534
"P06","Bastante",0.282,0.351,0.385,0.34,0.247
"P06","Poco",0.104,0.093,0.141,0.215,0.169
"P06","Nada",0.006,0.017,0.034,0.023,0.035
"P06","No sabe",0.001,0.004,0.009,0.006,0.015
"P07","Siempre",0.398,0.286,0.245,0.21,0.331
"P07","Casi siempre",0.377,0.464,0.447,0.444,0.333
"P07","Casi nunca",0.201,0.204,0.237,0.282,0.215
"P07","Nunca, pero esta es una excepción",0.024,0.046,0.071,0.064,0.121
"P09","Gran excedente habitual",0.03,0.022,0.004,0.015,0.003
"P09","Gran excedente excepcional",0.005,0.014,0.01,0.005,0.006
"P09","Pequeño excedente habitual",0.093,0.104,0.044,0.069,0.038
"P09","Pequeño excedente excepcional",0.174,0.153,0.157,0.125,0.085
"P09","Alcanza gastos familia",0.162,0.126,0.088,0.111,0.088
"P09","No alcanza gastos familia",0.048,0.048,0.065,0.078,0.095
"P09","Solo NBFamiliares",0.233,0.309,0.299,0.235,0.277
"P09","No alcanza NBFamiliares",0.255,0.214,0.33,0.358,0.408
"P09","No sabe",0,0.01,0.003,0.004,0
"P10","Tiene Decidido que va a ir a votar",0.96,0.919,0.876,0.898,0.844
"P10","Tiene dudas sobre si va a ir a  votar",0.04,0.067,0.119,0.057,0.089
"P10","Tiene Decidido que no va a ir a votar",0,0.014,0.005,0.045,0.067
"P13","Unión por la Patria",0.733,0.668,0.266,0.133,0.074
"P13","Juntos por el Cambio ",0.041,0.138,0.345,0.488,0.319
"P13","Liberales",0.148,0.129,0.211,0.171,0.364
"P13","Izquierda",0.022,0.013,0.033,0.061,0.063
"P13","Hacemos por Nuestro país",0.033,0.018,0.073,0.049,0.064
"P13","No sabe",0.023,0.034,0.072,0.098,0.116
"P18","Sergio Massa presidente, Agustín Rossi vicepresidente y Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.698,0.634,0.305,0.14,0.109
"P18","Patricia Bullrich presidenta, Luis Petri vicepresidente y Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.105,0.18,0.41,0.551,0.469
"P18","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.164,0.16,0.222,0.155,0.274
"P18","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.002,0.002,0.009,0.039,0.005
"P18","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González por el Frente de Izquierda",0.022,0.001,0.022,0.038,0.062
"P18","En blanco",0.006,0.013,0.022,0.036,0.025
"P18","No sabe",0.003,0.01,0.01,0.041,0.056
"P21","Totalmente seguro",0.878,0.797,0.667,0.653,0.59
"P21","Bastante seguro",0.046,0.118,0.169,0.143,0.149
"P21","Algo seguro",0.073,0.068,0.115,0.118,0.101
"P21","Para nada seguro",0.003,0.017,0.049,0.086,0.16
"P32","Patricia Bullrich a presidente, Luis Petri a vicepresidente, Néstor Grindetti a gobernador y Miguel Fernández a vicegobernador por Juntos por el Cambio",0.031,0.072,0.116,0.288,0.178
"P32","Javier Milei a presidente, Victoria Villarruel a vicepresidente, Carolina Piparo a gobernadora y Francisco Otero a vicegobernador por la Libertad Avanza",0.07,0.072,0.063,0.038,0.091
"P32","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.201,0.223,0.292,0.251,0.34
"P32","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0.227,0.29,0.244,0.161,0.084
"P32","En blanco",0.337,0.214,0.181,0.167,0.208
"P32","No sabe",0.134,0.129,0.104,0.095,0.099
"P33","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por Unión por la Patria",0.611,0.132,0.041,0.047,0.126
"P33","Javier Milei a presidente, Victoria Villarruel a vicepresidente, Carolina Piparo a gobernadora y Francisco Otero a vicegobernador por la Libertad Avanza",0.067,0.295,0.447,0.474,0.388
"P33","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.157,0.129,0.141,0.135,0.091
"P33","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0,0.01,0.016,0.011,0.002
