"var","categoria","Muy buena","Buena","Regular","Mala","Muy mala"
"P06","Mucho",0.554,0.556,0.528,0.442,0.466
"P06","Bastante",0.269,0.333,0.341,0.332,0.356
"P06","Poco",0.163,0.075,0.099,0.186,0.151
"P06","Nada",0.008,0.015,0.021,0.033,0.026
"P06","No sabe",0.006,0.021,0.011,0.007,0.001
"P07","Siempre",0.347,0.36,0.261,0.263,0.268
"P07","Casi siempre",0.318,0.43,0.452,0.444,0.415
"P07","Casi nunca",0.306,0.142,0.25,0.242,0.229
"P07","Nunca, pero esta es una excepción",0.029,0.068,0.037,0.051,0.088
"P09","Gran excedente habitual",0.011,0.032,0.017,0.007,0.01
"P09","Gran excedente excepcional",0.005,0.007,0.015,0.01,0.007
"P09","Pequeño excedente habitual",0.077,0.073,0.099,0.047,0.057
"P09","Pequeño excedente excepcional",0.102,0.119,0.189,0.139,0.134
"P09","Alcanza gastos familia",0.053,0.134,0.138,0.085,0.123
"P09","No alcanza gastos familia",0.072,0.076,0.035,0.087,0.063
"P09","Solo NBFamiliares",0.277,0.357,0.265,0.312,0.245
"P09","No alcanza NBFamiliares",0.4,0.187,0.24,0.309,0.358
"P09","No sabe",0.003,0.015,0.002,0.004,0.003
"P10","Tiene Decidido que va a ir a votar",0.838,0.875,0.917,0.895,0.905
"P10","Tiene dudas sobre si va a ir a  votar",0.159,0.112,0.068,0.091,0.065
"P10","Tiene Decidido que no va a ir a votar",0.003,0.013,0.015,0.014,0.03
"P13","Unión por la Patria",0.57,0.663,0.819,0.334,0.067
"P13","Juntos por el Cambio ",0.069,0.151,0.033,0.337,0.438
"P13","Liberales",0.266,0.085,0.042,0.165,0.315
"P13","Izquierda",0.017,0.045,0.026,0.033,0.039
"P13","Hacemos por Nuestro país",0.035,0.042,0.034,0.036,0.067
"P13","No sabe",0.043,0.014,0.046,0.095,0.074
"P18","Sergio Massa presidente, Agustín Rossi vicepresidente y Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.41,0.63,0.808,0.361,0.098
"P18","Patricia Bullrich presidenta, Luis Petri vicepresidente y Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.314,0.213,0.05,0.409,0.511
"P18","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.228,0.088,0.098,0.132,0.31
"P18","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.015,0.003,0.002,0.019,0.013
"P18","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González por el Frente de Izquierda",0.007,0.053,0.011,0.03,0.02
"P18","En blanco",0.026,0.011,0.018,0.025,0.02
"P18","No sabe",0,0.002,0.013,0.024,0.028
"P21","Totalmente seguro",0.666,0.766,0.794,0.63,0.726
"P21","Bastante seguro",0.115,0.121,0.108,0.156,0.134
"P21","Algo seguro",0.121,0.081,0.073,0.139,0.087
"P21","Para nada seguro",0.098,0.032,0.025,0.075,0.053
"P32","Patricia Bullrich a presidente, Luis Petri a vicepresidente, Néstor Grindetti a gobernador y Miguel Fernández a vicegobernador por Juntos por el Cambio",0.084,0.068,0.044,0.179,0.131
"P32","Javier Milei a presidente, Victoria Villarruel a vicepresidente, Carolina Piparo a gobernadora y Francisco Otero a vicegobernador por la Libertad Avanza",0.218,0.049,0.042,0.078,0.133
"P32","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.181,0.185,0.246,0.216,0.367
"P32","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0.281,0.257,0.299,0.197,0.148
"P32","En blanco",0.195,0.243,0.253,0.194,0.188
"P32","No sabe",0.041,0.198,0.116,0.136,0.033
"P33","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por Unión por la Patria",0.442,0.198,0.22,0.095,0.045
"P33","Javier Milei a presidente, Victoria Villarruel a vicepresidente, Carolina Piparo a gobernadora y Francisco Otero a vicegobernador por la Libertad Avanza",0.479,0.43,0.314,0.421,0.404
