"var","categoria","Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria","Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio","Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza","Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda.","En blanco","No sabe"
"P06","Mucho",0.521,0.441,0.423,0.418,0.264,0.238
"P06","Bastante",0.328,0.382,0.353,0.229,0.404,0.412
"P06","Poco",0.111,0.142,0.159,0.273,0.193,0.194
"P06","Nada",0.028,0.029,0.062,0.042,0.116,0.14
"P06","No sabe",0.012,0.006,0.003,0.038,0.023,0.016
"P07","Siempre",0.272,0.257,0.28,0.202,0.171,0.218
"P07","Casi siempre",0.435,0.444,0.355,0.246,0.467,0.358
"P07","Casi nunca",0.24,0.232,0.23,0.489,0.246,0.334
"P07","Nunca, pero esta es una excepción",0.053,0.067,0.135,0.063,0.116,0.09
"P09","Gran excedente habitual",0.019,0.008,0.014,0.027,0,0.012
"P09","Gran excedente excepcional",0.008,0.009,0.013,0.005,0.003,0.005
"P09","Pequeño excedente habitual",0.098,0.053,0.028,0.017,0,0.049
"P09","Pequeño excedente excepcional",0.142,0.113,0.134,0.224,0.119,0.08
"P09","Alcanza gastos familia",0.108,0.109,0.089,0.165,0.089,0.084
"P09","No alcanza gastos familia",0.079,0.065,0.081,0.106,0.123,0.145
"P09","Solo NBFamiliares",0.269,0.285,0.238,0.247,0.273,0.249
"P09","No alcanza NBFamiliares",0.27,0.353,0.398,0.204,0.383,0.376
"P09","No sabe",0.007,0.005,0.005,0.005,0.01,0
"P10","Tiene Decidido que va a ir a votar",0.924,0.907,0.915,0.771,0.669,0.739
"P10","Tiene dudas sobre si va a ir a  votar",0.061,0.076,0.056,0.147,0.272,0.148
"P10","Tiene Decidido que no va a ir a votar",0.015,0.017,0.029,0.082,0.059,0.113
"P13","Unión por la Patria",0.734,0.068,0.117,0.301,0.08,0.139
"P13","Juntos por el Cambio ",0.104,0.632,0.087,0.099,0.076,0.164
"P13","Liberales",0.068,0.198,0.515,0.079,0.01,0.096
"P13","Izquierda",0.022,0.036,0.022,0.186,0.085,0.073
"P13","Hacemos por Nuestro país",0.027,0.027,0.194,0.199,0.097,0.108
"P13","No sabe",0.045,0.039,0.065,0.136,0.652,0.42
"P18","Sergio Massa presidente, Agustín Rossi vicepresidente y Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.849,0.032,0.015,0.294,0.029,0.126
"P18","Patricia Bullrich presidenta, Luis Petri vicepresidente y Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.081,0.857,0.03,0.018,0.034,0.091
"P18","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.043,0.083,0.931,0.11,0.01,0.088
"P18","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.009,0.006,0,0.004,0.064,0.028
"P18","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González por el Frente de Izquierda",0.009,0.006,0.005,0.494,0.045,0
"P18","En blanco",0.003,0.007,0.016,0.032,0.779,0.03
"P18","No sabe",0.006,0.009,0.003,0.048,0.039,0.637
"P21","Totalmente seguro",0.744,0.685,0.695,0.499,0.244,0.406
"P21","Bastante seguro",0.123,0.167,0.149,0.11,0.153,0.091
"P21","Algo seguro",0.101,0.107,0.111,0.11,0.067,0.092
"P21","Para nada seguro",0.032,0.041,0.045,0.281,0.536,0.411
"P32","Patricia Bullrich a presidente, Luis Petri a vicepresidente, Néstor Grindetti a gobernador y Miguel Fernández a vicegobernador por Juntos por el Cambio",0.097,0.189,0.278,0.087,0,0.057
"P32","Javier Milei a presidente, Victoria Villarruel a vicepresidente, Carolina Piparo a gobernadora y Francisco Otero a vicegobernador por la Libertad Avanza",0.073,0.307,0,0.019,0,0
"P32","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.251,0.089,0.488,0.196,0,0.44
"P32","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0.215,0.218,0.055,0.482,1,0.21
"P32","En blanco",0.219,0.184,0.179,0.072,0,0.293
"P32","No sabe",0.145,0.013,0,0.144,0,0
"P33","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por Unión por la Patria",0.101,0.096,0.425,0,0,0.055
"P33","Javier Milei a presidente, Victoria Villarruel a vicepresidente, Carolina Piparo a gobernadora y Francisco Otero a vicegobernador por la Libertad Avanza",0.481,0.357,0.211,0.322,0.623,0.357
"P33","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.256,0.13,0.154,0.299,0,0.26
"P33","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0.019,0.017,0,0,0,0
