"var","categoria","Muy positivo","Positivo","Neutral","Algo negativo","Negativo","No sabe"
"P06","Mucho",0.69,0.497,0.457,0.39,0.53,0.381
"P06","Bastante",0.214,0.384,0.367,0.408,0.338,0.344
"P06","Poco",0.075,0.11,0.134,0.132,0.109,0.247
"P06","Nada",0.02,0.006,0.033,0.035,0.021,0.026
"P06","No sabe",0.001,0.003,0.009,0.035,0.002,0.002
"P07","Siempre",0.4,0.258,0.276,0.19,0.348,0.218
"P07","Casi siempre",0.337,0.537,0.382,0.507,0.46,0.511
"P07","Casi nunca",0.229,0.172,0.252,0.269,0.165,0.189
"P07","Nunca, pero esta es una excepción",0.034,0.033,0.09,0.034,0.027,0.082
"P09","Gran excedente habitual",0.057,0.007,0.004,0.002,0.017,0
"P09","Gran excedente excepcional",0.011,0.007,0.004,0.008,0.011,0.004
"P09","Pequeño excedente habitual",0.119,0.118,0.068,0.041,0.072,0.021
"P09","Pequeño excedente excepcional",0.239,0.143,0.169,0.093,0.102,0.169
"P09","Alcanza gastos familia",0.076,0.09,0.108,0.146,0.098,0.149
"P09","No alcanza gastos familia",0.071,0.062,0.08,0.067,0.088,0.078
"P09","Solo NBFamiliares",0.224,0.316,0.252,0.287,0.294,0.251
"P09","No alcanza NBFamiliares",0.202,0.251,0.313,0.346,0.318,0.324
"P09","No sabe",0.001,0.006,0.002,0.01,0,0.004
"P10","Tiene Decidido que va a ir a votar",0.917,0.886,0.856,0.9,0.906,0.92
"P10","Tiene dudas sobre si va a ir a  votar",0.076,0.101,0.109,0.066,0.062,0.069
"P10","Tiene Decidido que no va a ir a votar",0.007,0.013,0.035,0.034,0.032,0.011
"P13","Unión por la Patria",0.823,0.632,0.231,0.087,0.029,0.269
"P13","Juntos por el Cambio ",0.032,0.144,0.341,0.488,0.499,0.3
"P13","Liberales",0.042,0.12,0.235,0.291,0.379,0.151
"P13","Izquierda",0.03,0.052,0.035,0.029,0.026,0.041
"P13","Hacemos por Nuestro país",0.018,0.037,0.062,0.061,0.03,0.117
"P13","No sabe",0.055,0.015,0.096,0.044,0.037,0.122
"P18","Sergio Massa presidente, Agustín Rossi vicepresidente y Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.774,0.642,0.26,0.121,0.045,0.252
"P18","Patricia Bullrich presidenta, Luis Petri vicepresidente y Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.078,0.152,0.451,0.622,0.611,0.374
"P18","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.072,0.136,0.214,0.218,0.285,0.212
"P18","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0,0.016,0.012,0.006,0.02,0.028
